x,Адаптивный шаг,Фиксированный шаг,Точное решение,Ошибка адапт.,Ошибка фикс.
8.4259666794e-02,-1.6898298560e+00,0.0000000000e+00,-1.6898298560e+00,2.3803181648e-13,1.6898298560e+00
8.6174666794e-02,-1.6833701859e+00,0.0000000000e+00,-1.6833701859e+00,2.4846791291e-13,1.6833701859e+00
8.8089666794e-02,-1.6769352089e+00,0.0000000000e+00,-1.6769352089e+00,2.4980018054e-13,1.6769352089e+00
9.0004666794e-02,-1.6705248308e+00,0.0000000000e+00,-1.6705248308e+00,2.5424107264e-13,1.6705248308e+00
9.1919666794e-02,-1.6641389574e+00,0.0000000000e+00,-1.6641389574e+00,2.7089441801e-13,1.6641389574e+00
9.3834666794e-02,-1.6577774952e+00,0.0000000000e+00,-1.6577774952e+00,2.7200464103e-13,1.6577774952e+00
9.5749666794e-02,-1.6514403508e+00,0.0000000000e+00,-1.6514403508e+00,2.6689761512e-13,1.6514403508e+00
9.7664666794e-02,-1.6451274312e+00,0.0000000000e+00,-1.6451274312e+00,2.7866597918e-13,1.6451274312e+00
9.9579666794e-02,-1.6388386438e+00,0.0000000000e+00,-1.6388386438e+00,2.8732571877e-13,1.6388386438e+00
1.0149466679e-01,-1.6325738965e+00,0.0000000000e+00,-1.6325738965e+00,3.0464519796e-13,1.6325738965e+00
1.0340966679e-01,-1.6263330972e+00,0.0000000000e+00,-1.6263330972e+00,3.0886404545e-13,1.6263330972e+00
1.0532466679e-01,-1.6201161545e+00,0.0000000000e+00,-1.6201161545e+00,3.2107649872e-13,1.6201161545e+00
1.0723966679e-01,-1.6139229771e+00,0.0000000000e+00,-1.6139229771e+00,3.3373304120e-13,1.6139229771e+00
1.0915466679e-01,-1.6077534743e+00,0.0000000000e+00,-1.6077534743e+00,3.4550140526e-13,1.6077534743e+00
1.1106966679e-01,-1.6016075554e+00,0.0000000000e+00,-1.6016075554e+00,3.5549341248e-13,1.6016075554e+00
1.1298466679e-01,-1.5954851304e+00,0.0000000000e+00,-1.5954851304e+00,3.5949021537e-13,1.5954851304e+00
1.1489966679e-01,-1.5893861094e+00,0.0000000000e+00,-1.5893861094e+00,3.6770586576e-13,1.5893861094e+00
1.1681466679e-01,-1.5833104030e+00,0.0000000000e+00,-1.5833104030e+00,3.7636560535e-13,1.5833104030e+00
1.1872966679e-01,-1.5772579221e+00,0.0000000000e+00,-1.5772579221e+00,3.8968828164e-13,1.5772579221e+00
1.2064466679e-01,-1.5712285778e+00,0.0000000000e+00,-1.5712285778e+00,3.9879211045e-13,1.5712285778e+00
1.2255966679e-01,-1.5652222817e+00,0.0000000000e+00,-1.5652222817e+00,4.0478731478e-13,1.5652222817e+00
1.2447466679e-01,-1.5592389458e+00,0.0000000000e+00,-1.5592389458e+00,4.0167869031e-13,1.5592389458e+00
1.2638966679e-01,-1.5532784822e+00,0.0000000000e+00,-1.5532784822e+00,3.9657166440e-13,1.5532784822e+00
1.2830466679e-01,-1.5473408036e+00,0.0000000000e+00,-1.5473408035e+00,4.1366909898e-13,1.5473408035e+00
1.3021966679e-01,-1.5414258227e+00,0.0000000000e+00,-1.5414258227e+00,4.1588954502e-13,1.5414258227e+00
1.3213466679e-01,-1.5355334529e+00,0.0000000000e+00,-1.5355334529e+00,4.2299497238e-13,1.5355334529e+00
1.3404966679e-01,-1.5296636077e+00,0.0000000000e+00,-1.5296636077e+00,4.2743586448e-13,1.5296636077e+00
1.3596466679e-01,-1.5238162010e+00,0.0000000000e+00,-1.5238162010e+00,4.3320902421e-13,1.5238162010e+00
1.3787966679e-01,-1.5179911470e+00,0.0000000000e+00,-1.5179911470e+00,4.4164671920e-13,1.5179911470e+00
1.3979466679e-01,-1.5121883604e+00,0.0000000000e+00,-1.5121883604e+00,4.3320902421e-13,1.5121883604e+00
1.4170966679e-01,-1.5064077559e+00,0.0000000000e+00,-1.5064077559e+00,4.3609560407e-13,1.5064077559e+00
1.4362466679e-01,-1.5006492488e+00,0.0000000000e+00,-1.5006492488e+00,4.3076653355e-13,1.5006492488e+00
1.4553966679e-01,-1.4949127545e+00,0.0000000000e+00,-1.4949127545e+00,4.4453329906e-13,1.4949127545e+00
1.4745466679e-01,-1.4891981891e+00,0.0000000000e+00,-1.4891981891e+00,4.6096459982e-13,1.4891981891e+00
1.4936966679e-01,-1.4835054685e+00,0.0000000000e+00,-1.4835054685e+00,4.5941028759e-13,1.4835054685e+00
1.5128466679e-01,-1.4778345094e+00,0.0000000000e+00,-1.4778345094e+00,4.5474735089e-13,1.4778345094e+00
1.5319966679e-01,-1.4721852285e+00,0.0000000000e+00,-1.4721852285e+00,4.6918025021e-13,1.4721852285e+00
1.5511466679e-01,-1.4665575430e+00,0.0000000000e+00,-1.4665575430e+00,4.6673775955e-13,1.4665575430e+00
1.5702966679e-01,-1.4609513703e+00,0.0000000000e+00,-1.4609513703e+00,4.7317705310e-13,1.4609513703e+00
1.5894466679e-01,-1.4553666281e+00,0.0000000000e+00,-1.4553666281e+00,4.7140069626e-13,1.4553666281e+00
1.6085966679e-01,-1.4498032346e+00,0.0000000000e+00,-1.4498032346e+00,4.7162274086e-13,1.4498032346e+00
1.6277466679e-01,-1.4442611082e+00,0.0000000000e+00,-1.4442611082e+00,4.6829207179e-13,1.4442611082e+00
1.6468966679e-01,-1.4387401675e+00,0.0000000000e+00,-1.4387401675e+00,4.7895021282e-13,1.4387401675e+00
1.6660466679e-01,-1.4332403316e+00,0.0000000000e+00,-1.4332403316e+00,4.6784798258e-13,1.4332403316e+00
1.6851966679e-01,-1.4277615197e+00,0.0000000000e+00,-1.4277615197e+00,4.8183679269e-13,1.4277615197e+00
1.7043466679e-01,-1.4223036516e+00,0.0000000000e+00,-1.4223036516e+00,4.7850612361e-13,1.4223036516e+00
1.7234966679e-01,-1.4168666471e+00,0.0000000000e+00,-1.4168666471e+00,4.8516746176e-13,1.4168666471e+00
1.7426466679e-01,-1.4114504265e+00,0.0000000000e+00,-1.4114504265e+00,5.0026649490e-13,1.4114504265e+00
1.7617966679e-01,-1.4060549104e+00,0.0000000000e+00,-1.4060549104e+00,5.1181281435e-13,1.4060549104e+00
1.7809466679e-01,-1.4006800196e+00,0.0000000000e+00,-1.4006800196e+00,5.1203485896e-13,1.4006800196e+00
1.8000966679e-01,-1.3953256752e+00,0.0000000000e+00,-1.3953256752e+00,5.1469939422e-13,1.3953256752e+00
1.8192466679e-01,-1.3899917988e+00,0.0000000000e+00,-1.3899917988e+00,5.1958437552e-13,1.3899917988e+00
1.8383966679e-01,-1.3846783120e+00,0.0000000000e+00,-1.3846783120e+00,5.1447734961e-13,1.3846783120e+00
1.8575466679e-01,-1.3793851370e+00,0.0000000000e+00,-1.3793851370e+00,5.0470738699e-13,1.3793851370e+00
1.8766966679e-01,-1.3741121960e+00,0.0000000000e+00,-1.3741121960e+00,5.1625370645e-13,1.3741121960e+00
1.8958466679e-01,-1.3688594118e+00,0.0000000000e+00,-1.3688594118e+00,5.2668980288e-13,1.3688594118e+00
1.9149966679e-01,-1.3636267073e+00,0.0000000000e+00,-1.3636267073e+00,5.2247095539e-13,1.3636267073e+00
1.9341466679e-01,-1.3584140057e+00,0.0000000000e+00,-1.3584140057e+00,5.3135273959e-13,1.3584140057e+00
1.9532966679e-01,-1.3532212306e+00,0.0000000000e+00,-1.3532212306e+00,5.3512749787e-13,1.3532212306e+00
1.9724466679e-01,-1.3480483057e+00,0.0000000000e+00,-1.3480483057e+00,5.4778404035e-13,1.3480483057e+00
1.9915966679e-01,-1.3428951553e+00,0.0000000000e+00,-1.3428951553e+00,5.5555560152e-13,1.3428951553e+00
2.0107466679e-01,-1.3377617037e+00,0.0000000000e+00,-1.3377617037e+00,5.5044857561e-13,1.3377617037e+00
2.0298966679e-01,-1.3326478756e+00,0.0000000000e+00,-1.3326478756e+00,5.4978244179e-13,1.3326478756e+00
2.0490466679e-01,-1.3275535960e+00,0.0000000000e+00,-1.3275535960e+00,5.4134474681e-13,1.3275535960e+00
2.0681966679e-01,-1.3224787902e+00,0.0000000000e+00,-1.3224787902e+00,5.5311311087e-13,1.3224787902e+00
2.0873466679e-01,-1.3174233837e+00,0.0000000000e+00,-1.3174233837e+00,5.5000448640e-13,1.3174233837e+00
2.1064966679e-01,-1.3123873024e+00,0.0000000000e+00,-1.3123873024e+00,5.6066262744e-13,1.3123873024e+00
2.1256466679e-01,-1.3073704724e+00,0.0000000000e+00,-1.3073704724e+00,5.6665783177e-13,1.3073704724e+00
2.1447966679e-01,-1.3023728201e+00,0.0000000000e+00,-1.3023728201e+00,5.6221693967e-13,1.3023728201e+00
2.1639466679e-01,-1.2973942722e+00,0.0000000000e+00,-1.2973942722e+00,5.6288307348e-13,1.2973942722e+00
2.1830966679e-01,-1.2924347557e+00,0.0000000000e+00,-1.2924347557e+00,5.5400128929e-13,1.2924347557e+00
2.2022466679e-01,-1.2874941978e+00,0.0000000000e+00,-1.2874941978e+00,5.5533355692e-13,1.2874941978e+00
2.2213966679e-01,-1.2825725260e+00,0.0000000000e+00,-1.2825725260e+00,5.5822013678e-13,1.2825725260e+00
2.2405466679e-01,-1.2776696682e+00,0.0000000000e+00,-1.2776696682e+00,5.5266902166e-13,1.2776696682e+00
2.2596966679e-01,-1.2727855524e+00,0.0000000000e+00,-1.2727855524e+00,5.6177285046e-13,1.2727855524e+00
2.2788466679e-01,-1.2679201071e+00,0.0000000000e+00,-1.2679201071e+00,5.6887827782e-13,1.2679201071e+00
2.2979966679e-01,-1.2630732607e+00,0.0000000000e+00,-1.2630732607e+00,5.7243099150e-13,1.2630732607e+00
2.3171466679e-01,-1.2582449422e+00,0.0000000000e+00,-1.2582449422e+00,5.6354920730e-13,1.2582449422e+00
2.3362966679e-01,-1.2534350809e+00,0.0000000000e+00,-1.2534350809e+00,5.6821214400e-13,1.2534350809e+00
2.3554466679e-01,-1.2486436060e+00,0.0000000000e+00,-1.2486436060e+00,5.6732396558e-13,1.2486436060e+00
2.3745966679e-01,-1.2438704475e+00,0.0000000000e+00,-1.2438704474e+00,5.6932236703e-13,1.2438704474e+00
2.3937466679e-01,-1.2391155351e+00,0.0000000000e+00,-1.2391155351e+00,5.6799009940e-13,1.2391155351e+00
2.4128966679e-01,-1.2343787992e+00,0.0000000000e+00,-1.2343787992e+00,5.6887827782e-13,1.2343787992e+00
2.4320466679e-01,-1.2296601704e+00,0.0000000000e+00,-1.2296601704e+00,5.7354121452e-13,1.2296601704e+00
2.4511966679e-01,-1.2249595793e+00,0.0000000000e+00,-1.2249595793e+00,5.8508753398e-13,1.2249595793e+00
2.4703466679e-01,-1.2202769571e+00,0.0000000000e+00,-1.2202769571e+00,5.9130478292e-13,1.2202769571e+00
2.4894966679e-01,-1.2156122350e+00,0.0000000000e+00,-1.2156122350e+00,5.8708593542e-13,1.2156122350e+00
2.5086466679e-01,-1.2109653446e+00,0.0000000000e+00,-1.2109653446e+00,5.3601567629e-13,1.2109653446e+00
2.5277966679e-01,-1.2063362178e+00,0.0000000000e+00,-1.2063362178e+00,3.9945824426e-13,1.2063362178e+00
2.5469466679e-01,-1.2017247866e+00,0.0000000000e+00,-1.2017247866e+00,2.7688962234e-13,1.2017247866e+00
2.5660966679e-01,-1.1971309834e+00,0.0000000000e+00,-1.1971309834e+00,1.4721557307e-13,1.1971309834e+00
2.5852466679e-01,-1.1925547408e+00,0.0000000000e+00,-1.1925547408e+00,2.3314683517e-14,1.1925547408e+00
2.6043966679e-01,-1.1879959917e+00,0.0000000000e+00,-1.1879959917e+00,1.0147438445e-13,1.1879959917e+00
2.6235466679e-01,-1.1834546693e+00,0.0000000000e+00,-1.1834546693e+00,2.3114843373e-13,1.1834546693e+00
2.6426966679e-01,-1.1789307068e+00,0.0000000000e+00,-1.1789307068e+00,3.6237679524e-13,1.1789307068e+00
2.6618466679e-01,-1.1744240380e+00,0.0000000000e+00,-1.1744240380e+00,4.8028248045e-13,1.1744240380e+00
2.6809966679e-01,-1.1699345967e+00,0.0000000000e+00,-1.1699345967e+00,5.9974247790e-13,1.1699345967e+00
2.7001466679e-01,-1.1654623171e+00,0.0000000000e+00,-1.1654623171e+00,7.0743411129e-13,1.1654623171e+00
2.7192966679e-01,-1.1610071335e+00,0.0000000000e+00,-1.1610071335e+00,8.2800433177e-13,1.1610071335e+00
2.7384466679e-01,-1.1565689807e+00,0.0000000000e+00,-1.1565689807e+00,9.4479979396e-13,1.1565689807e+00
2.7575966679e-01,-1.1521477935e+00,0.0000000000e+00,-1.1521477935e+00,1.0667022821e-12,1.1521477935e+00
2.7767466679e-01,-1.1477435070e+00,0.0000000000e+00,-1.1477435070e+00,1.1830536550e-12,1.1477435070e+00
2.7958966679e-01,-1.1433560567e+00,0.0000000000e+00,-1.1433560567e+00,1.2949641359e-12,1.1433560567e+00
2.8150466679e-01,-1.1389853782e+00,0.0000000000e+00,-1.1389853782e+00,1.3991030556e-12,1.1389853782e+00
2.8341966679e-01,-1.1346314074e+00,0.0000000000e+00,-1.1346314074e+00,1.5134560272e-12,1.1346314074e+00
2.8533466679e-01,-1.1302940804e+00,0.0000000000e+00,-1.1302940804e+00,1.6242562850e-12,1.1302940804e+00
2.8724966679e-01,-1.1259733335e+00,0.0000000000e+00,-1.1259733335e+00,1.7295054278e-12,1.1259733335e+00
2.8916466679e-01,-1.1216691035e+00,0.0000000000e+00,-1.1216691035e+00,1.8367529719e-12,1.1216691035e+00
2.9107966679e-01,-1.1173813272e+00,0.0000000000e+00,-1.1173813272e+00,1.9495516312e-12,1.1173813272e+00
2.9299466679e-01,-1.1131099416e+00,0.0000000000e+00,-1.1131099417e+00,2.0532464617e-12,1.1131099417e+00
2.9490966679e-01,-1.1088548842e+00,0.0000000000e+00,-1.1088548842e+00,2.1558310692e-12,1.1088548842e+00
2.9682466679e-01,-1.1046160925e+00,0.0000000000e+00,-1.1046160925e+00,2.2606361227e-12,1.1046160925e+00
2.9873966679e-01,-1.1003935043e+00,0.0000000000e+00,-1.1003935043e+00,2.3667734439e-12,1.1003935043e+00
3.0065466679e-01,-1.0961870576e+00,0.0000000000e+00,-1.0961870576e+00,2.4704682744e-12,1.0961870576e+00
3.0256966679e-01,-1.0919966909e+00,0.0000000000e+00,-1.0919966909e+00,2.5739410603e-12,1.0919966909e+00
3.0448466679e-01,-1.0878223425e+00,0.0000000000e+00,-1.0878223425e+00,2.6878499426e-12,1.0878223425e+00
3.0639966679e-01,-1.0836639513e+00,0.0000000000e+00,-1.0836639514e+00,2.7906565947e-12,1.0836639514e+00
3.0831466679e-01,-1.0795214564e+00,0.0000000000e+00,-1.0795214564e+00,2.8896884885e-12,1.0795214564e+00
3.1022966679e-01,-1.0753947968e+00,0.0000000000e+00,-1.0753947968e+00,2.9933833190e-12,1.0753947968e+00
3.1214466679e-01,-1.0712839121e+00,0.0000000000e+00,-1.0712839121e+00,3.0977442833e-12,1.0712839121e+00
3.1405966679e-01,-1.0671887419e+00,0.0000000000e+00,-1.0671887419e+00,3.1967761771e-12,1.0671887419e+00
3.1597466679e-01,-1.0631092263e+00,0.0000000000e+00,-1.0631092263e+00,3.2938096695e-12,1.0631092263e+00
3.1788966679e-01,-1.0590453054e+00,0.0000000000e+00,-1.0590453054e+00,3.3804070654e-12,1.0590453054e+00
3.1980466679e-01,-1.0549969195e+00,0.0000000000e+00,-1.0549969195e+00,3.4876546096e-12,1.0549969195e+00
3.2171966679e-01,-1.0509640092e+00,0.0000000000e+00,-1.0509640092e+00,3.5846881019e-12,1.0509640092e+00
3.2363466679e-01,-1.0469465155e+00,0.0000000000e+00,-1.0469465155e+00,3.6795011482e-12,1.0469465155e+00
3.2554966679e-01,-1.0429443793e+00,0.0000000000e+00,-1.0429443793e+00,3.7727598823e-12,1.0429443793e+00
3.2746466679e-01,-1.0389575420e+00,0.0000000000e+00,-1.0389575420e+00,3.8604675012e-12,1.0389575420e+00
3.2937966679e-01,-1.0349859451e+00,0.0000000000e+00,-1.0349859451e+00,3.9490632986e-12,1.0349859451e+00
3.3129466679e-01,-1.0310295303e+00,0.0000000000e+00,-1.0310295303e+00,4.0427661219e-12,1.0310295303e+00
3.3320966679e-01,-1.0270882395e+00,0.0000000000e+00,-1.0270882396e+00,4.1329162315e-12,1.0270882396e+00
3.3512466679e-01,-1.0231620151e+00,0.0000000000e+00,-1.0231620151e+00,4.2252867871e-12,1.0231620151e+00
3.3703966679e-01,-1.0192507994e+00,0.0000000000e+00,-1.0192507994e+00,4.3200998334e-12,1.0192507994e+00
3.3895466679e-01,-1.0153545349e+00,0.0000000000e+00,-1.0153545349e+00,4.4124703891e-12,1.0153545349e+00
3.4086966679e-01,-1.0114731646e+00,0.0000000000e+00,-1.0114731646e+00,4.4928505361e-12,1.0114731646e+00
3.4278466679e-01,-1.0076066315e+00,0.0000000000e+00,-1.0076066315e+00,4.5803361104e-12,1.0076066315e+00
3.4469966679e-01,-1.0037548789e+00,0.0000000000e+00,-1.0037548789e+00,4.6751491567e-12,1.0037548789e+00
