x,u_numerical,u_analytical
0.00000000,0.92387953,0.95105652
0.12500000,0.95105652,0.97236992
0.25000000,0.97236992,0.98768834
0.37500000,0.98768834,0.99691733
0.50000000,0.99691733,1.00000000
0.62500000,1.00000000,0.99691733
0.75000000,0.99691733,0.98768834
0.87500000,0.98768834,0.97236992
1.00000000,0.97236992,0.95105652
1.12500000,0.95105652,0.92387953
1.25000000,0.92387953,0.89100652
1.37500000,0.89100652,0.85264016
1.50000000,0.85264016,0.80901699
1.62500000,0.80901699,0.76040597
1.75000000,0.76040597,0.70710678
1.87500000,0.70710678,0.64944805
2.00000000,0.64944805,0.58778525
2.12500000,0.58778525,0.52249856
2.25000000,0.52249856,0.45399050
2.37500000,0.45399050,0.38268343
2.50000000,0.38268343,0.30901699
2.62500000,0.30901699,0.23344536
2.75000000,0.23344536,0.15643447
2.87500000,0.15643447,0.07845910
3.00000000,0.07845910,0.00000000
3.12500000,0.00000000,-0.07845910
3.25000000,-0.07845910,-0.15643447
3.37500000,-0.15643447,-0.23344536
3.50000000,-0.23344536,-0.30901699
3.62500000,-0.30901699,-0.38268343
3.75000000,-0.38268343,-0.45399050
3.87500000,-0.45399050,-0.52249856
4.00000000,-0.52249856,-0.58778525
4.12500000,-0.58778525,-0.64944805
4.25000000,-0.64944805,-0.70710678
4.37500000,-0.70710678,-0.76040597
4.50000000,-0.76040597,-0.80901699
4.62500000,-0.80901699,-0.85264016
4.75000000,-0.85264016,-0.89100652
4.87500000,-0.89100652,-0.92387953
5.00000000,-0.92387953,-0.95105652
5.12500000,-0.95105652,-0.97236992
5.25000000,-0.97236992,-0.98768834
5.37500000,-0.98768834,-0.99691733
5.50000000,-0.99691733,-1.00000000
5.62500000,-1.00000000,-0.99691733
5.75000000,-0.99691733,-0.98768834
5.87500000,-0.98768834,-0.97236992
6.00000000,-0.97236992,-0.95105652
6.12500000,-0.95105652,-0.92387953
6.25000000,-0.92387953,-0.89100652
6.37500000,-0.89100652,-0.85264016
6.50000000,-0.85264016,-0.80901699
6.62500000,-0.80901699,-0.76040597
6.75000000,-0.76040597,-0.70710678
6.87500000,-0.70710678,-0.64944805
7.00000000,-0.64944805,-0.58778525
7.12500000,-0.58778525,-0.52249856
7.25000000,-0.52249856,-0.45399050
7.37500000,-0.45399050,-0.38268343
7.50000000,-0.38268343,-0.30901699
7.62500000,-0.30901699,-0.23344536
7.75000000,-0.23344536,-0.15643447
7.87500000,-0.15643447,-0.07845910
8.00000000,-0.07845910,-0.00000000
8.12500000,-0.00000000,0.07845910
8.25000000,0.07845910,0.15643447
8.37500000,0.15643447,0.23344536
8.50000000,0.23344536,0.30901699
8.62500000,0.30901699,0.38268343
8.75000000,0.38268343,0.45399050
8.87500000,0.45399050,0.52249856
9.00000000,0.52249856,0.58778525
9.12500000,0.58778525,0.64944805
9.25000000,0.64944805,0.70710678
9.37500000,0.70710678,0.76040597
9.50000000,0.76040597,0.80901699
9.62500000,0.80901699,0.85264016
9.75000000,0.85264016,0.89100652
9.87500000,0.89100652,0.92387953
10.00000000,0.92387953,0.95105652
10.12500000,0.95105652,0.97236992
10.25000000,0.97236992,0.98768834
10.37500000,0.98768834,0.99691733
10.50000000,0.99691733,1.00000000
10.62500000,1.00000000,0.99691733
10.75000000,0.99691733,0.98768834
10.87500000,0.98768834,0.97236992
11.00000000,0.97236992,0.95105652
11.12500000,0.95105652,0.92387953
