x,u_numerical,u_analytical
0.00000000,0.94817282,0.95105652
0.25000000,0.98546621,0.98768834
0.50000000,0.99849415,1.00000000
0.75000000,0.98693586,0.98768834
1.00000000,0.95107593,0.95105652
1.25000000,0.89179735,0.89100652
1.50000000,0.81055976,0.80901699
1.75000000,0.70936350,0.70710678
2.00000000,0.59070036,0.58778525
2.25000000,0.45749221,0.45399050
2.50000000,0.31301909,0.30901699
2.75000000,0.16083840,0.15643447
3.00000000,0.00469733,0.00000000
3.25000000,-0.15155940,-0.15643447
3.50000000,-0.30408424,-0.30901699
3.75000000,-0.44912151,-0.45399050
4.00000000,-0.58309992,-0.58778525
4.25000000,-0.70272047,-0.70710678
4.50000000,-0.80503772,-0.80901699
4.75000000,-0.88753226,-0.89100652
5.00000000,-0.94817282,-0.95105652
5.25000000,-0.98546621,-0.98768834
5.50000000,-0.99849415,-1.00000000
5.75000000,-0.98693586,-0.98768834
6.00000000,-0.95107593,-0.95105652
6.25000000,-0.89179735,-0.89100652
6.50000000,-0.81055976,-0.80901699
6.75000000,-0.70936350,-0.70710678
7.00000000,-0.59070036,-0.58778525
7.25000000,-0.45749221,-0.45399050
7.50000000,-0.31301909,-0.30901699
7.75000000,-0.16083840,-0.15643447
8.00000000,-0.00469733,-0.00000000
8.25000000,0.15155940,0.15643447
8.50000000,0.30408424,0.30901699
8.75000000,0.44912151,0.45399050
9.00000000,0.58309992,0.58778525
9.25000000,0.70272047,0.70710678
9.50000000,0.80503772,0.80901699
9.75000000,0.88753226,0.89100652
10.00000000,0.94817282,0.95105652
10.25000000,0.98546621,0.98768834
10.50000000,0.99849415,1.00000000
10.75000000,0.98693586,0.98768834
11.00000000,0.95107593,0.95105652
11.25000000,0.89179735,0.89100652
11.50000000,0.81055976,0.80901699
11.75000000,0.70936350,0.70710678
12.00000000,0.59070036,0.58778525
12.25000000,0.45749221,0.45399050
12.50000000,0.31301909,0.30901699
12.75000000,0.16083840,0.15643447
13.00000000,0.00469733,0.00000000
13.25000000,-0.15155940,-0.15643447
13.50000000,-0.30408424,-0.30901699
13.75000000,-0.44912151,-0.45399050
14.00000000,-0.58309992,-0.58778525
14.25000000,-0.70272047,-0.70710678
14.50000000,-0.80503772,-0.80901699
14.75000000,-0.88753226,-0.89100652
15.00000000,-0.94817282,-0.95105652
15.25000000,-0.98546621,-0.98768834
15.50000000,-0.99849415,-1.00000000
15.75000000,-0.98693586,-0.98768834
16.00000000,-0.95107593,-0.95105652
16.25000000,-0.89179735,-0.89100652
16.50000000,-0.81055976,-0.80901699
16.75000000,-0.70936350,-0.70710678
17.00000000,-0.59070036,-0.58778525
17.25000000,-0.45749221,-0.45399050
17.50000000,-0.31301909,-0.30901699
17.75000000,-0.16083840,-0.15643447
18.00000000,-0.00469733,0.00000000
18.25000000,0.15155940,0.15643447
18.50000000,0.30408424,0.30901699
18.75000000,0.44912151,0.45399050
19.00000000,0.58309992,0.58778525
19.25000000,0.70272047,0.70710678
19.50000000,0.80503772,0.80901699
19.75000000,0.88753226,0.89100652
20.00000000,0.94817282,0.95105652
