x,u_numerical,u_analytical
0.00000000,0.93780926,0.95105652
0.12500000,0.96209578,0.97236992
0.25000000,0.98045066,0.98768834
0.37500000,0.99276074,0.99691733
0.50000000,0.99895011,1.00000000
0.62500000,0.99898063,0.99691733
0.75000000,0.99285210,0.98768834
0.87500000,0.98060230,0.97236992
1.00000000,0.96230677,0.95105652
1.12500000,0.93807829,0.92387953
1.25000000,0.90806625,0.89100652
1.37500000,0.87245568,0.85264016
1.50000000,0.83146613,0.80901699
1.62500000,0.78535031,0.76040597
1.75000000,0.73439255,0.70710678
1.87500000,0.67890702,0.64944805
2.00000000,0.61923579,0.58778525
2.12500000,0.55574678,0.52249856
2.25000000,0.48883139,0.45399050
2.37500000,0.41890220,0.38268343
2.50000000,0.34639034,0.30901699
2.62500000,0.27174287,0.23344536
2.75000000,0.19542001,0.15643447
2.87500000,0.11789233,0.07845910
3.00000000,0.03963779,0.00000000
3.12500000,-0.03886112,-0.07845910
3.25000000,-0.11712044,-0.15643447
3.37500000,-0.19465767,-0.23344536
3.50000000,-0.27099478,-0.30901699
3.62500000,-0.34566111,-0.38268343
3.75000000,-0.41819633,-0.45399050
3.87500000,-0.48815322,-0.52249856
4.00000000,-0.55510049,-0.58778525
4.12500000,-0.61862538,-0.64944805
4.25000000,-0.67833624,-0.70710678
4.37500000,-0.73386494,-0.76040597
4.50000000,-0.78486911,-0.80901699
4.62500000,-0.83103430,-0.85264016
4.75000000,-0.87207588,-0.89100652
4.87500000,-0.90774083,-0.92387953
5.00000000,-0.93780926,-0.95105652
5.12500000,-0.96209578,-0.97236992
5.25000000,-0.98045066,-0.98768834
5.37500000,-0.99276074,-0.99691733
5.50000000,-0.99895011,-1.00000000
5.62500000,-0.99898063,-0.99691733
5.75000000,-0.99285210,-0.98768834
5.87500000,-0.98060230,-0.97236992
6.00000000,-0.96230677,-0.95105652
6.12500000,-0.93807829,-0.92387953
6.25000000,-0.90806625,-0.89100652
6.37500000,-0.87245568,-0.85264016
6.50000000,-0.83146613,-0.80901699
6.62500000,-0.78535031,-0.76040597
6.75000000,-0.73439255,-0.70710678
6.87500000,-0.67890702,-0.64944805
7.00000000,-0.61923579,-0.58778525
7.12500000,-0.55574678,-0.52249856
7.25000000,-0.48883139,-0.45399050
7.37500000,-0.41890220,-0.38268343
7.50000000,-0.34639034,-0.30901699
7.62500000,-0.27174287,-0.23344536
7.75000000,-0.19542001,-0.15643447
7.87500000,-0.11789233,-0.07845910
8.00000000,-0.03963779,-0.00000000
8.12500000,0.03886112,0.07845910
8.25000000,0.11712044,0.15643447
8.37500000,0.19465767,0.23344536
8.50000000,0.27099478,0.30901699
8.62500000,0.34566111,0.38268343
8.75000000,0.41819633,0.45399050
8.87500000,0.48815322,0.52249856
9.00000000,0.55510049,0.58778525
9.12500000,0.61862538,0.64944805
9.25000000,0.67833624,0.70710678
9.37500000,0.73386494,0.76040597
9.50000000,0.78486911,0.80901699
9.62500000,0.83103430,0.85264016
9.75000000,0.87207588,0.89100652
9.87500000,0.90774083,0.92387953
10.00000000,0.93780926,0.95105652
10.12500000,0.96209578,0.97236992
10.25000000,0.98045066,0.98768834
10.37500000,0.99276074,0.99691733
10.50000000,0.99895011,1.00000000
10.62500000,0.99898063,0.99691733
10.75000000,0.99285210,0.98768834
10.87500000,0.98060230,0.97236992
11.00000000,0.96230677,0.95105652
11.12500000,0.93807829,0.92387953
11.25000000,0.90806625,0.89100652
11.37500000,0.87245568,0.85264016
11.50000000,0.83146613,0.80901699
11.62500000,0.78535031,0.76040597
11.75000000,0.73439255,0.70710678
11.87500000,0.67890702,0.64944805
12.00000000,0.61923579,0.58778525
12.12500000,0.55574678,0.52249856
12.25000000,0.48883139,0.45399050
12.37500000,0.41890220,0.38268343
12.50000000,0.34639034,0.30901699
12.62500000,0.27174287,0.23344536
12.75000000,0.19542001,0.15643447
12.87500000,0.11789233,0.07845910
13.00000000,0.03963779,0.00000000
13.12500000,-0.03886112,-0.07845910
13.25000000,-0.11712044,-0.15643447
13.37500000,-0.19465767,-0.23344536
13.50000000,-0.27099478,-0.30901699
13.62500000,-0.34566111,-0.38268343
13.75000000,-0.41819633,-0.45399050
13.87500000,-0.48815322,-0.52249856
14.00000000,-0.55510049,-0.58778525
14.12500000,-0.61862538,-0.64944805
14.25000000,-0.67833624,-0.70710678
14.37500000,-0.73386494,-0.76040597
14.50000000,-0.78486911,-0.80901699
14.62500000,-0.83103430,-0.85264016
14.75000000,-0.87207588,-0.89100652
14.87500000,-0.90774083,-0.92387953
15.00000000,-0.93780926,-0.95105652
15.12500000,-0.96209578,-0.97236992
15.25000000,-0.98045066,-0.98768834
15.37500000,-0.99276074,-0.99691733
15.50000000,-0.99895011,-1.00000000
15.62500000,-0.99898063,-0.99691733
15.75000000,-0.99285210,-0.98768834
15.87500000,-0.98060230,-0.97236992
16.00000000,-0.96230677,-0.95105652
16.12500000,-0.93807829,-0.92387953
16.25000000,-0.90806625,-0.89100652
16.37500000,-0.87245568,-0.85264016
16.50000000,-0.83146613,-0.80901699
16.62500000,-0.78535031,-0.76040597
16.75000000,-0.73439255,-0.70710678
16.87500000,-0.67890702,-0.64944805
17.00000000,-0.61923579,-0.58778525
17.12500000,-0.55574678,-0.52249856
17.25000000,-0.48883139,-0.45399050
17.37500000,-0.41890220,-0.38268343
17.50000000,-0.34639034,-0.30901699
17.62500000,-0.27174287,-0.23344536
17.75000000,-0.19542001,-0.15643447
17.87500000,-0.11789233,-0.07845910
18.00000000,-0.03963779,0.00000000
18.12500000,0.03886112,0.07845910
18.25000000,0.11712044,0.15643447
18.37500000,0.19465767,0.23344536
18.50000000,0.27099478,0.30901699
18.62500000,0.34566111,0.38268343
18.75000000,0.41819633,0.45399050
18.87500000,0.48815322,0.52249856
19.00000000,0.55510049,0.58778525
19.12500000,0.61862538,0.64944805
19.25000000,0.67833624,0.70710678
19.37500000,0.73386494,0.76040597
19.50000000,0.78486911,0.80901699
19.62500000,0.83103430,0.85264016
19.75000000,0.87207588,0.89100652
19.87500000,0.90774083,0.92387953
20.00000000,0.93780926,0.95105652
