x,u_numerical,u_analytical
0.00000000,0.92725528,0.95105652
0.25000000,0.97352533,0.98768834
0.50000000,0.99582395,1.00000000
0.75000000,0.99360209,0.98768834
1.00000000,0.96691444,0.95105652
1.25000000,0.91641816,0.89100652
1.50000000,0.84335661,0.80901699
1.75000000,0.74952883,0.70710678
2.00000000,0.63724516,0.58778525
2.25000000,0.50927040,0.45399050
2.50000000,0.36875571,0.30901699
2.75000000,0.21916103,0.15643447
3.00000000,0.06416988,0.00000000
3.25000000,-0.09240135,-0.15643447
3.50000000,-0.24669734,-0.30901699
3.75000000,-0.39491883,-0.45399050
4.00000000,-0.53341611,-0.58778525
4.25000000,-0.65877891,-0.70710678
4.50000000,-0.76792039,-0.80901699
4.75000000,-0.85815312,-0.89100652
5.00000000,-0.92725528,-0.95105652
5.25000000,-0.97352533,-0.98768834
5.50000000,-0.99582395,-1.00000000
5.75000000,-0.99360209,-0.98768834
6.00000000,-0.96691444,-0.95105652
6.25000000,-0.91641816,-0.89100652
6.50000000,-0.84335661,-0.80901699
6.75000000,-0.74952883,-0.70710678
7.00000000,-0.63724516,-0.58778525
7.25000000,-0.50927040,-0.45399050
7.50000000,-0.36875571,-0.30901699
7.75000000,-0.21916103,-0.15643447
8.00000000,-0.06416988,-0.00000000
8.25000000,0.09240135,0.15643447
8.50000000,0.24669734,0.30901699
8.75000000,0.39491883,0.45399050
9.00000000,0.53341611,0.58778525
9.25000000,0.65877891,0.70710678
9.50000000,0.76792039,0.80901699
9.75000000,0.85815312,0.89100652
10.00000000,0.92725528,0.95105652
10.25000000,0.97352533,0.98768834
10.50000000,0.99582395,1.00000000
10.75000000,0.99360209,0.98768834
11.00000000,0.96691444,0.95105652
11.25000000,0.91641816,0.89100652
11.50000000,0.84335661,0.80901699
11.75000000,0.74952883,0.70710678
12.00000000,0.63724516,0.58778525
12.25000000,0.50927040,0.45399050
12.50000000,0.36875571,0.30901699
12.75000000,0.21916103,0.15643447
13.00000000,0.06416988,0.00000000
13.25000000,-0.09240135,-0.15643447
13.50000000,-0.24669734,-0.30901699
13.75000000,-0.39491883,-0.45399050
14.00000000,-0.53341611,-0.58778525
14.25000000,-0.65877891,-0.70710678
14.50000000,-0.76792039,-0.80901699
14.75000000,-0.85815312,-0.89100652
15.00000000,-0.92725528,-0.95105652
15.25000000,-0.97352533,-0.98768834
15.50000000,-0.99582395,-1.00000000
15.75000000,-0.99360209,-0.98768834
16.00000000,-0.96691444,-0.95105652
16.25000000,-0.91641816,-0.89100652
16.50000000,-0.84335661,-0.80901699
16.75000000,-0.74952883,-0.70710678
17.00000000,-0.63724516,-0.58778525
17.25000000,-0.50927040,-0.45399050
17.50000000,-0.36875571,-0.30901699
17.75000000,-0.21916103,-0.15643447
18.00000000,-0.06416988,0.00000000
18.25000000,0.09240135,0.15643447
18.50000000,0.24669734,0.30901699
18.75000000,0.39491883,0.45399050
19.00000000,0.53341611,0.58778525
19.25000000,0.65877891,0.70710678
19.50000000,0.76792039,0.80901699
19.75000000,0.85815312,0.89100652
20.00000000,0.92725528,0.95105652
