x,rho,u,P,t
-10,5.91458,238.66,207876,0.0122946
-9.8,5.91458,238.66,207876,0.0122946
-9.6,5.91407,238.681,207836,0.0122946
-9.4,5.91331,238.712,207777,0.0122946
-9.2,5.91242,238.748,207707,0.0122946
-9,5.91146,238.788,207633,0.0122946
-8.8,5.91047,238.828,207556,0.0122946
-8.6,5.90947,238.869,207477,0.0122946
-8.4,5.90846,238.91,207398,0.0122946
-8.2,5.90745,238.952,207319,0.0122946
-8,5.90643,238.993,207240,0.0122946
-7.8,5.90541,239.035,207161,0.0122946
-7.6,5.90439,239.077,207081,0.0122946
-7.4,5.90338,239.119,207002,0.0122946
-7.2,5.90236,239.16,206923,0.0122946
-7,5.90134,239.202,206843,0.0122946
-6.8,5.90032,239.244,206764,0.0122946
-6.6,5.8993,239.285,206685,0.0122946
-6.4,5.89829,239.327,206606,0.0122946
-6.2,5.89727,239.369,206526,0.0122946
-6,5.89625,239.41,206447,0.0122946
-5.8,5.89523,239.452,206368,0.0122946
-5.6,5.89421,239.494,206289,0.0122946
-5.4,5.8932,239.535,206210,0.0122946
-5.2,5.89218,239.577,206131,0.0122946
-5,5.89116,239.619,206052,0.0122946
-4.8,5.89014,239.661,205973,0.0122946
-4.6,5.88913,239.702,205894,0.0122946
-4.4,5.88811,239.744,205814,0.0122946
-4.2,5.88709,239.786,205735,0.0122946
-4,5.88607,239.827,205657,0.0122946
-3.8,5.88506,239.869,205578,0.0122946
-3.6,5.88404,239.911,205499,0.0122946
-3.4,5.88302,239.952,205420,0.0122946
-3.2,5.88201,239.994,205341,0.0122946
-3,5.88099,240.036,205262,0.0122946
-2.8,5.87997,240.078,205183,0.0122946
-2.6,5.87896,240.119,205104,0.0122946
-2.4,5.87794,240.161,205026,0.0122946
-2.2,5.87692,240.203,204947,0.0122946
-2,5.87591,240.244,204868,0.0122946
-1.8,5.87489,240.286,204789,0.0122946
-1.6,5.87387,240.328,204711,0.0122946
-1.4,5.87286,240.369,204632,0.0122946
-1.2,5.87184,240.411,204553,0.0122946
-1,5.87083,240.453,204475,0.0122946
-0.8,5.86981,240.494,204396,0.0122946
-0.6,5.86879,240.536,204317,0.0122946
-0.4,5.86778,240.578,204239,0.0122946
-0.2,5.86676,240.619,204160,0.0122946
0,5.86575,240.661,204082,0.0122946
0.2,5.86473,240.703,204003,0.0122946
0.4,5.86372,240.745,203925,0.0122946
0.6,5.8627,240.786,203846,0.0122946
0.8,5.86169,240.828,203768,0.0122946
1,5.86067,240.869,203690,0.0122946
1.2,5.85966,240.911,203612,0.0122946
1.4,5.85865,240.953,203533,0.0122946
1.6,5.85764,240.994,203455,0.0122946
1.8,5.85662,241.036,203377,0.0122946
2,5.85561,241.077,203299,0.0122946
2.2,5.8546,241.119,203221,0.0122946
2.4,5.85358,241.161,203143,0.0122946
2.6,5.85257,241.202,203065,0.0122946
2.8,5.85156,241.244,202987,0.0122946
3,5.85055,241.285,202909,0.0122946
3.2,5.84954,241.327,202831,0.0122946
3.4,5.84852,241.368,202753,0.0122946
3.6,5.84751,241.41,202675,0.0122946
3.8,5.8465,241.452,202597,0.0122946
4,5.84549,241.493,202519,0.0122946
4.2,5.84448,241.535,202441,0.0122946
4.4,5.84347,241.576,202363,0.0122946
4.6,5.84246,241.618,202286,0.0122946
4.8,5.84144,241.66,202208,0.0122946
5,5.84043,241.701,202130,0.0122946
5.2,5.83942,241.743,202052,0.0122946
5.4,5.83841,241.784,201975,0.0122946
5.6,5.8374,241.826,201897,0.0122946
5.8,5.83639,241.867,201819,0.0122946
6,5.83538,241.909,201742,0.0122946
6.2,5.83437,241.95,201664,0.0122946
6.4,5.83336,241.992,201586,0.0122946
6.6,5.83235,242.034,201509,0.0122946
6.8,5.83134,242.075,201431,0.0122946
7,5.83033,242.117,201354,0.0122946
7.2,5.82932,242.158,201276,0.0122946
7.4,5.82831,242.2,201199,0.0122946
7.6,5.8273,242.241,201121,0.0122946
7.8,5.82629,242.283,201044,0.0122946
8,5.82528,242.325,200967,0.0122946
8.2,5.82427,242.366,200889,0.0122946
8.4,5.82326,242.408,200812,0.0122946
8.6,5.82225,242.449,200734,0.0122946
8.8,5.82124,242.491,200657,0.0122946
9,5.82023,242.532,200580,0.0122946
9.2,5.81922,242.574,200503,0.0122946
9.4,5.81821,242.615,200425,0.0122946
9.6,5.8172,242.657,200348,0.0122946
9.8,5.81619,242.699,200271,0.0122946
10,5.81619,242.699,200271,0.0122946
