x,rho,u,P,t
-10,5.91467,238.656,207883,0.0122739
-9.8,5.91467,238.656,207883,0.0122739
-9.6,5.91416,238.677,207843,0.0122739
-9.4,5.91339,238.709,207783,0.0122739
-9.2,5.9125,238.745,207714,0.0122739
-9,5.91154,238.784,207639,0.0122739
-8.8,5.91055,238.825,207562,0.0122739
-8.6,5.90955,238.866,207483,0.0122739
-8.4,5.90854,238.907,207404,0.0122739
-8.2,5.90752,238.949,207325,0.0122739
-8,5.9065,238.991,207246,0.0122739
-7.8,5.90548,239.032,207166,0.0122739
-7.6,5.90446,239.074,207087,0.0122739
-7.4,5.90344,239.116,207007,0.0122739
-7.2,5.90242,239.158,206928,0.0122739
-7,5.9014,239.199,206848,0.0122739
-6.8,5.90038,239.241,206769,0.0122739
-6.6,5.89936,239.283,206690,0.0122739
-6.4,5.89834,239.325,206610,0.0122739
-6.2,5.89732,239.366,206531,0.0122739
-6,5.8963,239.408,206452,0.0122739
-5.8,5.89528,239.45,206372,0.0122739
-5.6,5.89427,239.492,206293,0.0122739
-5.4,5.89325,239.533,206214,0.0122739
-5.2,5.89223,239.575,206134,0.0122739
-5,5.89121,239.617,206055,0.0122739
-4.8,5.89019,239.659,205976,0.0122739
-4.6,5.88917,239.7,205897,0.0122739
-4.4,5.88815,239.742,205818,0.0122739
-4.2,5.88713,239.784,205739,0.0122739
-4,5.88611,239.826,205659,0.0122739
-3.8,5.88509,239.868,205580,0.0122739
-3.6,5.88407,239.909,205501,0.0122739
-3.4,5.88306,239.951,205422,0.0122739
-3.2,5.88204,239.993,205343,0.0122739
-3,5.88102,240.035,205264,0.0122739
-2.8,5.88,240.076,205185,0.0122739
-2.6,5.87898,240.118,205106,0.0122739
-2.4,5.87796,240.16,205027,0.0122739
-2.2,5.87695,240.202,204948,0.0122739
-2,5.87593,240.243,204870,0.0122739
-1.8,5.87491,240.285,204791,0.0122739
-1.6,5.87389,240.327,204712,0.0122739
-1.4,5.87287,240.369,204633,0.0122739
-1.2,5.87186,240.41,204554,0.0122739
-1,5.87084,240.452,204476,0.0122739
-0.8,5.86982,240.494,204397,0.0122739
-0.6,5.8688,240.536,204318,0.0122739
-0.4,5.86778,240.578,204239,0.0122739
-0.2,5.86677,240.619,204161,0.0122739
0,5.86575,240.661,204082,0.0122739
0.2,5.86473,240.703,204003,0.0122739
0.4,5.86372,240.745,203925,0.0122739
0.6,5.8627,240.786,203846,0.0122739
0.8,5.86168,240.828,203768,0.0122739
1,5.86067,240.87,203690,0.0122739
1.2,5.85965,240.911,203611,0.0122739
1.4,5.85864,240.953,203533,0.0122739
1.6,5.85763,240.995,203455,0.0122739
1.8,5.85661,241.036,203376,0.0122739
2,5.8556,241.078,203298,0.0122739
2.2,5.85458,241.12,203220,0.0122739
2.4,5.85357,241.161,203142,0.0122739
2.6,5.85255,241.203,203063,0.0122739
2.8,5.85154,241.245,202985,0.0122739
3,5.85053,241.286,202907,0.0122739
3.2,5.84951,241.328,202829,0.0122739
3.4,5.8485,241.37,202751,0.0122739
3.6,5.84749,241.411,202673,0.0122739
3.8,5.84647,241.453,202595,0.0122739
4,5.84546,241.494,202517,0.0122739
4.2,5.84445,241.536,202439,0.0122739
4.4,5.84343,241.578,202361,0.0122739
4.6,5.84242,241.619,202283,0.0122739
4.8,5.84141,241.661,202205,0.0122739
5,5.84039,241.703,202127,0.0122739
5.2,5.83938,241.744,202049,0.0122739
5.4,5.83837,241.786,201971,0.0122739
5.6,5.83736,241.828,201894,0.0122739
5.8,5.83634,241.869,201816,0.0122739
6,5.83533,241.911,201738,0.0122739
6.2,5.83432,241.953,201660,0.0122739
6.4,5.83331,241.994,201583,0.0122739
6.6,5.8323,242.036,201505,0.0122739
6.8,5.83128,242.077,201427,0.0122739
7,5.83027,242.119,201350,0.0122739
7.2,5.82926,242.161,201272,0.0122739
7.4,5.82825,242.202,201194,0.0122739
7.6,5.82724,242.244,201117,0.0122739
7.8,5.82622,242.286,201039,0.0122739
8,5.82521,242.327,200962,0.0122739
8.2,5.8242,242.369,200884,0.0122739
8.4,5.82319,242.41,200807,0.0122739
8.6,5.82218,242.452,200729,0.0122739
8.8,5.82117,242.494,200652,0.0122739
9,5.82016,242.535,200574,0.0122739
9.2,5.81915,242.577,200497,0.0122739
9.4,5.81814,242.619,200420,0.0122739
9.6,5.81712,242.66,200342,0.0122739
9.8,5.81611,242.702,200265,0.0122739
10,5.81611,242.702,200265,0.0122739
