x,rho,u,P,t
-10,5.89992,239.26,206733,0.0172724
-9.8,5.89992,239.26,206733,0.0172724
-9.6,5.89956,239.275,206704,0.0172724
-9.4,5.89901,239.297,206662,0.0172724
-9.2,5.89838,239.323,206613,0.0172724
-9,5.8977,239.351,206560,0.0172724
-8.8,5.89699,239.38,206505,0.0172724
-8.6,5.89628,239.409,206449,0.0172724
-8.4,5.89556,239.439,206393,0.0172724
-8.2,5.89484,239.468,206337,0.0172724
-8,5.89411,239.498,206281,0.0172724
-7.8,5.89339,239.528,206225,0.0172724
-7.6,5.89266,239.557,206168,0.0172724
-7.4,5.89194,239.587,206112,0.0172724
-7.2,5.89121,239.617,206055,0.0172724
-7,5.89049,239.647,205999,0.0172724
-6.8,5.88976,239.676,205943,0.0172724
-6.6,5.88904,239.706,205886,0.0172724
-6.4,5.88831,239.736,205830,0.0172724
-6.2,5.88759,239.765,205774,0.0172724
-6,5.88686,239.795,205717,0.0172724
-5.8,5.88614,239.825,205661,0.0172724
-5.6,5.88541,239.855,205605,0.0172724
-5.4,5.88469,239.884,205549,0.0172724
-5.2,5.88396,239.914,205492,0.0172724
-5,5.88324,239.944,205436,0.0172724
-4.8,5.88251,239.973,205380,0.0172724
-4.6,5.88179,240.003,205324,0.0172724
-4.4,5.88106,240.033,205267,0.0172724
-4.2,5.88034,240.063,205211,0.0172724
-4,5.87961,240.092,205155,0.0172724
-3.8,5.87889,240.122,205099,0.0172724
-3.6,5.87816,240.152,205043,0.0172724
-3.4,5.87744,240.182,204987,0.0172724
-3.2,5.87671,240.211,204930,0.0172724
-3,5.87599,240.241,204874,0.0172724
-2.8,5.87527,240.271,204818,0.0172724
-2.6,5.87454,240.3,204762,0.0172724
-2.4,5.87382,240.33,204706,0.0172724
-2.2,5.87309,240.36,204650,0.0172724
-2,5.87237,240.39,204594,0.0172724
-1.8,5.87164,240.419,204538,0.0172724
-1.6,5.87092,240.449,204482,0.0172724
-1.4,5.8702,240.479,204426,0.0172724
-1.2,5.86947,240.508,204370,0.0172724
-1,5.86875,240.538,204314,0.0172724
-0.8,5.86802,240.568,204258,0.0172724
-0.6,5.8673,240.598,204202,0.0172724
-0.4,5.86657,240.627,204146,0.0172724
-0.2,5.86585,240.657,204090,0.0172724
0,5.86513,240.687,204034,0.0172724
0.2,5.8644,240.716,203978,0.0172724
0.4,5.86368,240.746,203922,0.0172724
0.6,5.86296,240.776,203866,0.0172724
0.8,5.86223,240.806,203810,0.0172724
1,5.86151,240.835,203754,0.0172724
1.2,5.86079,240.865,203698,0.0172724
1.4,5.86007,240.895,203643,0.0172724
1.6,5.85934,240.924,203587,0.0172724
1.8,5.85862,240.954,203531,0.0172724
2,5.8579,240.984,203475,0.0172724
2.2,5.85718,241.013,203419,0.0172724
2.4,5.85645,241.043,203364,0.0172724
2.6,5.85573,241.073,203308,0.0172724
2.8,5.85501,241.102,203252,0.0172724
3,5.85429,241.132,203197,0.0172724
3.2,5.85356,241.162,203141,0.0172724
3.4,5.85284,241.191,203085,0.0172724
3.6,5.85212,241.221,203030,0.0172724
3.8,5.8514,241.251,202974,0.0172724
4,5.85068,241.28,202918,0.0172724
4.2,5.84996,241.31,202863,0.0172724
4.4,5.84923,241.34,202807,0.0172724
4.6,5.84851,241.369,202752,0.0172724
4.8,5.84779,241.399,202696,0.0172724
5,5.84707,241.428,202640,0.0172724
5.2,5.84635,241.458,202585,0.0172724
5.4,5.84563,241.488,202529,0.0172724
5.6,5.8449,241.517,202474,0.0172724
5.8,5.84418,241.547,202418,0.0172724
6,5.84346,241.577,202363,0.0172724
6.2,5.84274,241.606,202307,0.0172724
6.4,5.84202,241.636,202252,0.0172724
6.6,5.8413,241.666,202196,0.0172724
6.8,5.84058,241.695,202141,0.0172724
7,5.83985,241.725,202085,0.0172724
7.2,5.83913,241.755,202030,0.0172724
7.4,5.83841,241.784,201974,0.0172724
7.6,5.83769,241.814,201919,0.0172724
7.8,5.83697,241.844,201864,0.0172724
8,5.83625,241.873,201808,0.0172724
8.2,5.83553,241.903,201753,0.0172724
8.4,5.83481,241.933,201697,0.0172724
8.6,5.83409,241.962,201642,0.0172724
8.8,5.83337,241.992,201587,0.0172724
9,5.83265,242.022,201531,0.0172724
9.2,5.83192,242.051,201476,0.0172724
9.4,5.8312,242.081,201421,0.0172724
9.6,5.83048,242.11,201365,0.0172724
9.8,5.82976,242.14,201310,0.0172724
10,5.82976,242.14,201310,0.0172724
