x,rho,u,P,t
-10,5.91796,238.521,208140,0.0115274
-9.8,5.91796,238.521,208140,0.0115274
-9.6,5.91742,238.544,208098,0.0115274
-9.4,5.91661,238.577,208034,0.0115274
-9.2,5.91566,238.616,207960,0.0115274
-9,5.91464,238.658,207881,0.0115274
-8.8,5.91359,238.701,207798,0.0115274
-8.6,5.91252,238.744,207715,0.0115274
-8.4,5.91144,238.788,207631,0.0115274
-8.2,5.91036,238.833,207546,0.0115274
-8,5.90927,238.877,207462,0.0115274
-7.8,5.90819,238.922,207377,0.0115274
-7.6,5.9071,238.966,207292,0.0115274
-7.4,5.90601,239.01,207208,0.0115274
-7.2,5.90493,239.055,207123,0.0115274
-7,5.90384,239.099,207039,0.0115274
-6.8,5.90276,239.144,206954,0.0115274
-6.6,5.90167,239.188,206869,0.0115274
-6.4,5.90059,239.233,206785,0.0115274
-6.2,5.8995,239.277,206700,0.0115274
-6,5.89841,239.322,206616,0.0115274
-5.8,5.89733,239.366,206531,0.0115274
-5.6,5.89624,239.411,206447,0.0115274
-5.4,5.89516,239.455,206362,0.0115274
-5.2,5.89407,239.499,206278,0.0115274
-5,5.89299,239.544,206194,0.0115274
-4.8,5.8919,239.588,206109,0.0115274
-4.6,5.89082,239.633,206025,0.0115274
-4.4,5.88973,239.677,205941,0.0115274
-4.2,5.88865,239.722,205857,0.0115274
-4,5.88756,239.766,205772,0.0115274
-3.8,5.88648,239.811,205688,0.0115274
-3.6,5.8854,239.855,205604,0.0115274
-3.4,5.88431,239.9,205520,0.0115274
-3.2,5.88323,239.944,205436,0.0115274
-3,5.88214,239.989,205351,0.0115274
-2.8,5.88106,240.033,205267,0.0115274
-2.6,5.87997,240.077,205183,0.0115274
-2.4,5.87889,240.122,205099,0.0115274
-2.2,5.87781,240.166,205015,0.0115274
-2,5.87672,240.211,204931,0.0115274
-1.8,5.87564,240.255,204847,0.0115274
-1.6,5.87455,240.3,204763,0.0115274
-1.4,5.87347,240.344,204679,0.0115274
-1.2,5.87239,240.389,204596,0.0115274
-1,5.8713,240.433,204512,0.0115274
-0.8,5.87022,240.477,204428,0.0115274
-0.6,5.86914,240.522,204344,0.0115274
-0.4,5.86805,240.566,204260,0.0115274
-0.2,5.86697,240.611,204177,0.0115274
0,5.86589,240.655,204093,0.0115274
0.2,5.86481,240.7,204009,0.0115274
0.4,5.86372,240.744,203926,0.0115274
0.6,5.86264,240.789,203842,0.0115274
0.8,5.86156,240.833,203759,0.0115274
1,5.86048,240.877,203675,0.0115274
1.2,5.8594,240.922,203592,0.0115274
1.4,5.85832,240.966,203508,0.0115274
1.6,5.85724,241.01,203425,0.0115274
1.8,5.85616,241.055,203342,0.0115274
2,5.85508,241.099,203258,0.0115274
2.2,5.854,241.143,203175,0.0115274
2.4,5.85292,241.188,203092,0.0115274
2.6,5.85184,241.232,203009,0.0115274
2.8,5.85077,241.276,202926,0.0115274
3,5.84969,241.321,202842,0.0115274
3.2,5.84861,241.365,202759,0.0115274
3.4,5.84753,241.409,202676,0.0115274
3.6,5.84645,241.454,202593,0.0115274
3.8,5.84537,241.498,202510,0.0115274
4,5.84429,241.542,202427,0.0115274
4.2,5.84322,241.587,202344,0.0115274
4.4,5.84214,241.631,202261,0.0115274
4.6,5.84106,241.675,202178,0.0115274
4.8,5.83998,241.72,202096,0.0115274
5,5.8389,241.764,202013,0.0115274
5.2,5.83783,241.808,201930,0.0115274
5.4,5.83675,241.853,201847,0.0115274
5.6,5.83567,241.897,201764,0.0115274
5.8,5.83459,241.941,201682,0.0115274
6,5.83352,241.985,201599,0.0115274
6.2,5.83244,242.03,201516,0.0115274
6.4,5.83136,242.074,201433,0.0115274
6.6,5.83029,242.118,201351,0.0115274
6.8,5.82921,242.163,201268,0.0115274
7,5.82813,242.207,201186,0.0115274
7.2,5.82706,242.251,201103,0.0115274
7.4,5.82598,242.296,201021,0.0115274
7.6,5.8249,242.34,200938,0.0115274
7.8,5.82383,242.384,200856,0.0115274
8,5.82275,242.428,200773,0.0115274
8.2,5.82167,242.473,200691,0.0115274
8.4,5.8206,242.517,200608,0.0115274
8.6,5.81952,242.561,200526,0.0115274
8.8,5.81845,242.606,200443,0.0115274
9,5.81737,242.65,200361,0.0115274
9.2,5.8163,242.694,200279,0.0115274
9.4,5.81522,242.739,200197,0.0115274
9.6,5.81414,242.783,200114,0.0115274
9.8,5.81307,242.827,200032,0.0115274
10,5.81307,242.827,200032,0.0115274
