x,rho,u,P,t
-10,5.93908,237.658,209794,0.00829392
-9.8,5.93908,237.658,209794,0.00829392
-9.6,5.93833,237.689,209735,0.00829392
-9.4,5.93719,237.735,209646,0.00829392
-9.2,5.93587,237.789,209543,0.00829392
-9,5.93446,237.847,209432,0.00829392
-8.8,5.933,237.907,209317,0.00829392
-8.6,5.93151,237.967,209201,0.00829392
-8.4,5.93001,238.029,209083,0.00829392
-8.2,5.92851,238.09,208966,0.00829392
-8,5.927,238.152,208848,0.00829392
-7.8,5.9255,238.213,208730,0.00829392
-7.6,5.92399,238.275,208612,0.00829392
-7.4,5.92248,238.337,208494,0.00829392
-7.2,5.92097,238.398,208376,0.00829392
-7,5.91946,238.46,208258,0.00829392
-6.8,5.91796,238.522,208140,0.00829392
-6.6,5.91645,238.583,208022,0.00829392
-6.4,5.91494,238.645,207905,0.00829392
-6.2,5.91343,238.707,207787,0.00829392
-6,5.91193,238.768,207669,0.00829392
-5.8,5.91042,238.83,207552,0.00829392
-5.6,5.90891,238.892,207434,0.00829392
-5.4,5.9074,238.953,207316,0.00829392
-5.2,5.9059,239.015,207199,0.00829392
-5,5.90439,239.077,207082,0.00829392
-4.8,5.90288,239.138,206964,0.00829392
-4.6,5.90138,239.2,206847,0.00829392
-4.4,5.89987,239.262,206730,0.00829392
-4.2,5.89837,239.323,206612,0.00829392
-4,5.89686,239.385,206495,0.00829392
-3.8,5.89535,239.447,206378,0.00829392
-3.6,5.89385,239.508,206261,0.00829392
-3.4,5.89234,239.57,206144,0.00829392
-3.2,5.89084,239.632,206027,0.00829392
-3,5.88933,239.693,205910,0.00829392
-2.8,5.88783,239.755,205793,0.00829392
-2.6,5.88632,239.817,205676,0.00829392
-2.4,5.88482,239.878,205560,0.00829392
-2.2,5.88332,239.94,205443,0.00829392
-2,5.88181,240.002,205326,0.00829392
-1.8,5.88031,240.063,205210,0.00829392
-1.6,5.8788,240.125,205093,0.00829392
-1.4,5.8773,240.187,204977,0.00829392
-1.2,5.8758,240.248,204860,0.00829392
-1,5.87429,240.31,204744,0.00829392
-0.8,5.87279,240.372,204627,0.00829392
-0.6,5.87129,240.433,204511,0.00829392
-0.4,5.86978,240.495,204395,0.00829392
-0.2,5.86828,240.557,204278,0.00829392
0,5.86678,240.618,204162,0.00829392
0.2,5.86528,240.68,204046,0.00829392
0.4,5.86378,240.742,203930,0.00829392
0.6,5.86228,240.803,203814,0.00829392
0.8,5.86078,240.865,203699,0.00829392
1,5.85928,240.926,203583,0.00829392
1.2,5.85778,240.988,203467,0.00829392
1.4,5.85629,241.049,203352,0.00829392
1.6,5.85479,241.111,203236,0.00829392
1.8,5.85329,241.172,203121,0.00829392
2,5.8518,241.234,203006,0.00829392
2.2,5.8503,241.295,202890,0.00829392
2.4,5.84881,241.357,202775,0.00829392
2.6,5.84731,241.418,202660,0.00829392
2.8,5.84582,241.479,202545,0.00829392
3,5.84432,241.541,202430,0.00829392
3.2,5.84283,241.602,202315,0.00829392
3.4,5.84133,241.664,202200,0.00829392
3.6,5.83984,241.725,202085,0.00829392
3.8,5.83834,241.787,201970,0.00829392
4,5.83685,241.848,201856,0.00829392
4.2,5.83536,241.909,201741,0.00829392
4.4,5.83386,241.971,201626,0.00829392
4.6,5.83237,242.032,201512,0.00829392
4.8,5.83088,242.094,201397,0.00829392
5,5.82939,242.155,201283,0.00829392
5.2,5.82789,242.216,201168,0.00829392
5.4,5.8264,242.278,201054,0.00829392
5.6,5.82491,242.339,200939,0.00829392
5.8,5.82342,242.401,200825,0.00829392
6,5.82193,242.462,200711,0.00829392
6.2,5.82044,242.523,200597,0.00829392
6.4,5.81895,242.585,200483,0.00829392
6.6,5.81745,242.646,200368,0.00829392
6.8,5.81596,242.707,200254,0.00829392
7,5.81447,242.769,200140,0.00829392
7.2,5.81298,242.83,200026,0.00829392
7.4,5.81149,242.892,199913,0.00829392
7.6,5.81,242.953,199799,0.00829392
7.8,5.80851,243.014,199685,0.00829392
8,5.80702,243.076,199571,0.00829392
8.2,5.80554,243.137,199458,0.00829392
8.4,5.80405,243.198,199344,0.00829392
8.6,5.80256,243.26,199230,0.00829392
8.8,5.80107,243.321,199117,0.00829392
9,5.79958,243.383,199003,0.00829392
9.2,5.79809,243.444,198890,0.00829392
9.4,5.7966,243.505,198777,0.00829392
9.6,5.79512,243.567,198663,0.00829392
9.8,5.79363,243.628,198550,0.00829392
10,5.79363,243.628,198550,0.00829392
