x,rho,u,P,t
-10,6.17003,228.293,228341,0.00202795
-9.8,6.17003,228.293,228341,0.00202795
-9.6,6.16695,228.417,228089,0.00202795
-9.4,6.16232,228.603,227710,0.00202795
-9.2,6.15693,228.82,227268,0.00202795
-9,6.15114,229.053,226795,0.00202795
-8.8,6.14517,229.294,226306,0.00202795
-8.6,6.1391,229.538,225811,0.00202795
-8.4,6.13298,229.785,225312,0.00202795
-8.2,6.12684,230.032,224813,0.00202795
-8,6.12069,230.28,224313,0.00202795
-7.8,6.11454,230.529,223813,0.00202795
-7.6,6.10839,230.777,223314,0.00202795
-7.4,6.10224,231.026,222815,0.00202795
-7.2,6.09609,231.274,222317,0.00202795
-7,6.08994,231.523,221820,0.00202795
-6.8,6.08379,231.771,221324,0.00202795
-6.6,6.07765,232.02,220828,0.00202795
-6.4,6.07151,232.268,220334,0.00202795
-6.2,6.06537,232.516,219840,0.00202795
-6,6.05923,232.765,219347,0.00202795
-5.8,6.0531,233.013,218854,0.00202795
-5.6,6.04697,233.262,218363,0.00202795
-5.4,6.04084,233.51,217872,0.00202795
-5.2,6.03472,233.759,217382,0.00202795
-5,6.02859,234.007,216893,0.00202795
-4.8,6.02247,234.256,216405,0.00202795
-4.6,6.01636,234.504,215917,0.00202795
-4.4,6.01024,234.752,215430,0.00202795
-4.2,6.00413,235.001,214945,0.00202795
-4,5.99802,235.249,214459,0.00202795
-3.8,5.99191,235.498,213975,0.00202795
-3.6,5.9858,235.746,213491,0.00202795
-3.4,5.9797,235.995,213009,0.00202795
-3.2,5.9736,236.243,212527,0.00202795
-3,5.9675,236.491,212045,0.00202795
-2.8,5.96141,236.74,211565,0.00202795
-2.6,5.95532,236.988,211085,0.00202795
-2.4,5.94923,237.236,210606,0.00202795
-2.2,5.94314,237.485,210128,0.00202795
-2,5.93705,237.733,209651,0.00202795
-1.8,5.93097,237.982,209175,0.00202795
-1.6,5.92489,238.23,208699,0.00202795
-1.4,5.91881,238.478,208224,0.00202795
-1.2,5.91274,238.727,207750,0.00202795
-1,5.90667,238.975,207277,0.00202795
-0.8,5.9006,239.223,206804,0.00202795
-0.6,5.89453,239.471,206333,0.00202795
-0.4,5.88847,239.72,205862,0.00202795
-0.2,5.88241,239.968,205392,0.00202795
0,5.87636,240.216,204923,0.00202795
0.2,5.8703,240.464,204454,0.00202795
0.4,5.86426,240.712,203987,0.00202795
0.6,5.85824,240.959,203523,0.00202795
0.8,5.85224,241.205,203060,0.00202795
1,5.84625,241.451,202599,0.00202795
1.2,5.84027,241.697,202140,0.00202795
1.4,5.8343,241.942,201681,0.00202795
1.6,5.82834,242.187,201224,0.00202795
1.8,5.82238,242.432,200768,0.00202795
2,5.81643,242.677,200312,0.00202795
2.2,5.81048,242.922,199858,0.00202795
2.4,5.80454,243.166,199405,0.00202795
2.6,5.79861,243.411,198953,0.00202795
2.8,5.79268,243.655,198501,0.00202795
3,5.78675,243.899,198051,0.00202795
3.2,5.78083,244.144,197602,0.00202795
3.4,5.77492,244.388,197153,0.00202795
3.6,5.76901,244.632,196705,0.00202795
3.8,5.7631,244.875,196259,0.00202795
4,5.7572,245.119,195813,0.00202795
4.2,5.7513,245.363,195368,0.00202795
4.4,5.74541,245.606,194924,0.00202795
4.6,5.73952,245.85,194481,0.00202795
4.8,5.73364,246.093,194039,0.00202795
5,5.72776,246.337,193598,0.00202795
5.2,5.72189,246.58,193158,0.00202795
5.4,5.71602,246.823,192719,0.00202795
5.6,5.71016,247.066,192280,0.00202795
5.8,5.7043,247.309,191843,0.00202795
6,5.69844,247.552,191406,0.00202795
6.2,5.69259,247.794,190970,0.00202795
6.4,5.68675,248.037,190536,0.00202795
6.6,5.68091,248.279,190102,0.00202795
6.8,5.67507,248.522,189669,0.00202795
7,5.66924,248.764,189237,0.00202795
7.2,5.66342,249.006,188806,0.00202795
7.4,5.6576,249.248,188376,0.00202795
7.6,5.65178,249.49,187947,0.00202795
7.8,5.64598,249.732,187519,0.00202795
8,5.64017,249.973,187092,0.00202795
8.2,5.63438,250.215,186666,0.00202795
8.4,5.62859,250.456,186241,0.00202795
8.6,5.6228,250.697,185817,0.00202795
8.8,5.61702,250.938,185394,0.00202795
9,5.61125,251.179,184972,0.00202795
9.2,5.60548,251.42,184551,0.00202795
9.4,5.59973,251.66,184131,0.00202795
9.6,5.59397,251.9,183712,0.00202795
9.8,5.58823,252.14,183294,0.00202795
10,5.58823,252.14,183294,0.00202795
