x,rho,u,P,t
-10,6.05096,233.104,218675,0.00332701
-9.8,6.05096,233.104,218675,0.00332701
-9.6,6.04908,233.18,218524,0.00332701
-9.4,6.04626,233.294,218298,0.00332701
-9.2,6.04297,233.428,218035,0.00332701
-9,6.03945,233.571,217753,0.00332701
-8.8,6.03581,233.719,217461,0.00332701
-8.6,6.03211,233.869,217165,0.00332701
-8.4,6.02838,234.02,216868,0.00332701
-8.2,6.02464,234.172,216569,0.00332701
-8,6.02089,234.324,216270,0.00332701
-7.8,6.01714,234.477,215971,0.00332701
-7.6,6.01339,234.629,215672,0.00332701
-7.4,6.00964,234.781,215373,0.00332701
-7.2,6.00588,234.934,215075,0.00332701
-7,6.00213,235.086,214777,0.00332701
-6.8,5.99838,235.239,214479,0.00332701
-6.6,5.99463,235.392,214181,0.00332701
-6.4,5.99089,235.544,213884,0.00332701
-6.2,5.98714,235.697,213587,0.00332701
-6,5.98339,235.849,213291,0.00332701
-5.8,5.97965,236.002,212994,0.00332701
-5.6,5.9759,236.154,212698,0.00332701
-5.4,5.97216,236.307,212402,0.00332701
-5.2,5.96842,236.459,212107,0.00332701
-5,5.96467,236.612,211812,0.00332701
-4.8,5.96093,236.764,211517,0.00332701
-4.6,5.95719,236.917,211222,0.00332701
-4.4,5.95346,237.069,210928,0.00332701
-4.2,5.94972,237.222,210634,0.00332701
-4,5.94598,237.374,210341,0.00332701
-3.8,5.94225,237.527,210047,0.00332701
-3.6,5.93851,237.679,209754,0.00332701
-3.4,5.93478,237.832,209461,0.00332701
-3.2,5.93104,237.984,209169,0.00332701
-3,5.92731,238.137,208877,0.00332701
-2.8,5.92358,238.289,208585,0.00332701
-2.6,5.91985,238.442,208293,0.00332701
-2.4,5.91612,238.594,208002,0.00332701
-2.2,5.91239,238.747,207711,0.00332701
-2,5.90867,238.899,207420,0.00332701
-1.8,5.90494,239.052,207130,0.00332701
-1.6,5.90122,239.204,206840,0.00332701
-1.4,5.89749,239.356,206550,0.00332701
-1.2,5.89377,239.509,206261,0.00332701
-1,5.89005,239.661,205971,0.00332701
-0.8,5.88633,239.814,205683,0.00332701
-0.6,5.88261,239.966,205394,0.00332701
-0.4,5.87889,240.119,205106,0.00332701
-0.2,5.87517,240.271,204818,0.00332701
0,5.87145,240.423,204530,0.00332701
0.2,5.86774,240.576,204243,0.00332701
0.4,5.86403,240.728,203956,0.00332701
0.6,5.86033,240.88,203670,0.00332701
0.8,5.85663,241.032,203385,0.00332701
1,5.85294,241.183,203101,0.00332701
1.2,5.84926,241.335,202817,0.00332701
1.4,5.84557,241.486,202533,0.00332701
1.6,5.84189,241.637,202250,0.00332701
1.8,5.83821,241.788,201967,0.00332701
2,5.83453,241.94,201685,0.00332701
2.2,5.83086,242.091,201403,0.00332701
2.4,5.82719,242.242,201121,0.00332701
2.6,5.82351,242.393,200840,0.00332701
2.8,5.81984,242.544,200559,0.00332701
3,5.81618,242.695,200278,0.00332701
3.2,5.81251,242.846,199998,0.00332701
3.4,5.80884,242.997,199718,0.00332701
3.6,5.80518,243.148,199439,0.00332701
3.8,5.80152,243.298,199159,0.00332701
4,5.79786,243.449,198880,0.00332701
4.2,5.7942,243.6,198602,0.00332701
4.4,5.79054,243.751,198324,0.00332701
4.6,5.78689,243.902,198046,0.00332701
4.8,5.78323,244.052,197768,0.00332701
5,5.77958,244.203,197491,0.00332701
5.2,5.77593,244.354,197214,0.00332701
5.4,5.77228,244.504,196937,0.00332701
5.6,5.76863,244.655,196661,0.00332701
5.8,5.76499,244.806,196385,0.00332701
6,5.76134,244.956,196110,0.00332701
6.2,5.7577,245.107,195834,0.00332701
6.4,5.75405,245.257,195559,0.00332701
6.6,5.75041,245.408,195285,0.00332701
6.8,5.74677,245.559,195010,0.00332701
7,5.74313,245.709,194736,0.00332701
7.2,5.7395,245.86,194463,0.00332701
7.4,5.73586,246.01,194189,0.00332701
7.6,5.73223,246.16,193916,0.00332701
7.8,5.7286,246.311,193643,0.00332701
8,5.72496,246.461,193371,0.00332701
8.2,5.72133,246.612,193099,0.00332701
8.4,5.71771,246.762,192827,0.00332701
8.6,5.71408,246.912,192556,0.00332701
8.8,5.71045,247.062,192285,0.00332701
9,5.70683,247.213,192014,0.00332701
9.2,5.70321,247.363,191744,0.00332701
9.4,5.69959,247.513,191473,0.00332701
9.6,5.69597,247.663,191204,0.00332701
9.8,5.69235,247.814,190934,0.00332701
10,5.69235,247.814,190934,0.00332701
