x,rho,u,P,t
-10,6.00953,234.787,215363,0.00427756
-9.8,6.00953,234.787,215363,0.00427756
-9.6,6.00806,234.846,215247,0.00427756
-9.4,6.00587,234.935,215072,0.00427756
-9.2,6.00331,235.039,214869,0.00427756
-9,6.00057,235.151,214651,0.00427756
-8.8,5.99774,235.266,214426,0.00427756
-8.6,5.99486,235.383,214198,0.00427756
-8.4,5.99196,235.501,213968,0.00427756
-8.2,5.98905,235.62,213737,0.00427756
-8,5.98613,235.738,213506,0.00427756
-7.8,5.98322,235.857,213275,0.00427756
-7.6,5.9803,235.976,213044,0.00427756
-7.4,5.97738,236.095,212813,0.00427756
-7.2,5.97446,236.214,212582,0.00427756
-7,5.97154,236.333,212351,0.00427756
-6.8,5.96862,236.452,212121,0.00427756
-6.6,5.9657,236.571,211891,0.00427756
-6.4,5.96278,236.69,211661,0.00427756
-6.2,5.95987,236.809,211431,0.00427756
-6,5.95695,236.928,211201,0.00427756
-5.8,5.95403,237.047,210971,0.00427756
-5.6,5.95112,237.166,210742,0.00427756
-5.4,5.9482,237.285,210513,0.00427756
-5.2,5.94529,237.404,210284,0.00427756
-5,5.94237,237.523,210055,0.00427756
-4.8,5.93946,237.641,209826,0.00427756
-4.6,5.93655,237.76,209598,0.00427756
-4.4,5.93364,237.879,209370,0.00427756
-4.2,5.93073,237.998,209142,0.00427756
-4,5.92782,238.117,208914,0.00427756
-3.8,5.92491,238.236,208686,0.00427756
-3.6,5.922,238.355,208458,0.00427756
-3.4,5.91909,238.474,208231,0.00427756
-3.2,5.91618,238.593,208004,0.00427756
-3,5.91327,238.712,207777,0.00427756
-2.8,5.91036,238.831,207550,0.00427756
-2.6,5.90746,238.95,207323,0.00427756
-2.4,5.90455,239.069,207097,0.00427756
-2.2,5.90165,239.188,206871,0.00427756
-2,5.89874,239.307,206645,0.00427756
-1.8,5.89584,239.426,206419,0.00427756
-1.6,5.89293,239.544,206193,0.00427756
-1.4,5.89003,239.663,205967,0.00427756
-1.2,5.88713,239.782,205742,0.00427756
-1,5.88423,239.901,205517,0.00427756
-0.8,5.88133,240.02,205292,0.00427756
-0.6,5.87843,240.139,205067,0.00427756
-0.4,5.87553,240.258,204843,0.00427756
-0.2,5.87263,240.377,204618,0.00427756
0,5.86973,240.496,204394,0.00427756
0.2,5.86683,240.615,204170,0.00427756
0.4,5.86394,240.733,203946,0.00427756
0.6,5.86105,240.852,203723,0.00427756
0.8,5.85817,240.97,203501,0.00427756
1,5.85528,241.089,203278,0.00427756
1.2,5.8524,241.207,203056,0.00427756
1.4,5.84953,241.325,202834,0.00427756
1.6,5.84665,241.443,202613,0.00427756
1.8,5.84377,241.561,202392,0.00427756
2,5.8409,241.68,202171,0.00427756
2.2,5.83803,241.798,201950,0.00427756
2.4,5.83515,241.916,201729,0.00427756
2.6,5.83228,242.034,201509,0.00427756
2.8,5.82941,242.152,201289,0.00427756
3,5.82654,242.27,201069,0.00427756
3.2,5.82367,242.388,200849,0.00427756
3.4,5.82081,242.506,200629,0.00427756
3.6,5.81794,242.624,200410,0.00427756
3.8,5.81508,242.742,200191,0.00427756
4,5.81221,242.86,199972,0.00427756
4.2,5.80935,242.978,199753,0.00427756
4.4,5.80649,243.096,199534,0.00427756
4.6,5.80362,243.214,199316,0.00427756
4.8,5.80076,243.332,199098,0.00427756
5,5.7979,243.449,198880,0.00427756
5.2,5.79504,243.567,198662,0.00427756
5.4,5.79219,243.685,198445,0.00427756
5.6,5.78933,243.803,198227,0.00427756
5.8,5.78647,243.921,198010,0.00427756
6,5.78362,244.039,197793,0.00427756
6.2,5.78076,244.156,197576,0.00427756
6.4,5.77791,244.274,197360,0.00427756
6.6,5.77505,244.392,197143,0.00427756
6.8,5.7722,244.51,196927,0.00427756
7,5.76935,244.628,196711,0.00427756
7.2,5.7665,244.745,196495,0.00427756
7.4,5.76365,244.863,196280,0.00427756
7.6,5.7608,244.981,196064,0.00427756
7.8,5.75795,245.099,195849,0.00427756
8,5.7551,245.216,195634,0.00427756
8.2,5.75225,245.334,195419,0.00427756
8.4,5.74941,245.452,195205,0.00427756
8.6,5.74656,245.569,194990,0.00427756
8.8,5.74372,245.687,194776,0.00427756
9,5.74087,245.805,194562,0.00427756
9.2,5.73803,245.922,194348,0.00427756
9.4,5.73519,246.04,194134,0.00427756
9.6,5.73235,246.158,193921,0.00427756
9.8,5.72951,246.275,193707,0.00427756
10,5.72951,246.275,193707,0.00427756
