x,rho,u,P,t
-10,5.96245,236.704,211633,0.00632613
-9.8,5.96245,236.704,211633,0.00632613
-9.6,5.96146,236.744,211555,0.00632613
-9.4,5.95998,236.805,211438,0.00632613
-9.2,5.95825,236.875,211302,0.00632613
-9,5.9564,236.951,211156,0.00632613
-8.8,5.95448,237.029,211005,0.00632613
-8.6,5.95253,237.109,210852,0.00632613
-8.4,5.95057,237.189,210697,0.00632613
-8.2,5.9486,237.269,210542,0.00632613
-8,5.94663,237.35,210387,0.00632613
-7.8,5.94465,237.43,210232,0.00632613
-7.6,5.94268,237.511,210077,0.00632613
-7.4,5.9407,237.592,209922,0.00632613
-7.2,5.93872,237.672,209767,0.00632613
-7,5.93675,237.753,209612,0.00632613
-6.8,5.93477,237.834,209457,0.00632613
-6.6,5.9328,237.915,209302,0.00632613
-6.4,5.93082,237.995,209147,0.00632613
-6.2,5.92885,238.076,208993,0.00632613
-6,5.92687,238.157,208838,0.00632613
-5.8,5.9249,238.237,208683,0.00632613
-5.6,5.92292,238.318,208529,0.00632613
-5.4,5.92095,238.399,208375,0.00632613
-5.2,5.91898,238.48,208220,0.00632613
-5,5.917,238.56,208066,0.00632613
-4.8,5.91503,238.641,207912,0.00632613
-4.6,5.91306,238.722,207758,0.00632613
-4.4,5.91109,238.802,207604,0.00632613
-4.2,5.90911,238.883,207450,0.00632613
-4,5.90714,238.964,207297,0.00632613
-3.8,5.90517,239.045,207143,0.00632613
-3.6,5.9032,239.125,206989,0.00632613
-3.4,5.90123,239.206,206836,0.00632613
-3.2,5.89926,239.287,206682,0.00632613
-3,5.89729,239.367,206529,0.00632613
-2.8,5.89531,239.448,206376,0.00632613
-2.6,5.89334,239.529,206223,0.00632613
-2.4,5.89138,239.609,206070,0.00632613
-2.2,5.88941,239.69,205917,0.00632613
-2,5.88744,239.771,205764,0.00632613
-1.8,5.88547,239.852,205611,0.00632613
-1.6,5.8835,239.932,205458,0.00632613
-1.4,5.88153,240.013,205305,0.00632613
-1.2,5.87956,240.094,205153,0.00632613
-1,5.87759,240.174,205000,0.00632613
-0.8,5.87563,240.255,204848,0.00632613
-0.6,5.87366,240.336,204696,0.00632613
-0.4,5.87169,240.416,204543,0.00632613
-0.2,5.86973,240.497,204391,0.00632613
0,5.86776,240.578,204239,0.00632613
0.2,5.8658,240.658,204087,0.00632613
0.4,5.86383,240.739,203935,0.00632613
0.6,5.86187,240.82,203784,0.00632613
0.8,5.85991,240.9,203633,0.00632613
1,5.85795,240.98,203481,0.00632613
1.2,5.85599,241.061,203330,0.00632613
1.4,5.85404,241.141,203179,0.00632613
1.6,5.85208,241.221,203029,0.00632613
1.8,5.85013,241.302,202878,0.00632613
2,5.84817,241.382,202727,0.00632613
2.2,5.84622,241.462,202577,0.00632613
2.4,5.84426,241.543,202426,0.00632613
2.6,5.84231,241.623,202276,0.00632613
2.8,5.84035,241.703,202126,0.00632613
3,5.8384,241.784,201976,0.00632613
3.2,5.83645,241.864,201826,0.00632613
3.4,5.8345,241.944,201676,0.00632613
3.6,5.83254,242.025,201526,0.00632613
3.8,5.83059,242.105,201376,0.00632613
4,5.82864,242.185,201227,0.00632613
4.2,5.82669,242.265,201077,0.00632613
4.4,5.82474,242.346,200928,0.00632613
4.6,5.82279,242.426,200778,0.00632613
4.8,5.82084,242.506,200629,0.00632613
5,5.81889,242.586,200480,0.00632613
5.2,5.81695,242.666,200331,0.00632613
5.4,5.815,242.747,200182,0.00632613
5.6,5.81305,242.827,200033,0.00632613
5.8,5.8111,242.907,199884,0.00632613
6,5.80916,242.987,199735,0.00632613
6.2,5.80721,243.068,199586,0.00632613
6.4,5.80526,243.148,199438,0.00632613
6.6,5.80332,243.228,199289,0.00632613
6.8,5.80137,243.308,199141,0.00632613
7,5.79943,243.388,198993,0.00632613
7.2,5.79748,243.468,198844,0.00632613
7.4,5.79554,243.549,198696,0.00632613
7.6,5.79359,243.629,198548,0.00632613
7.8,5.79165,243.709,198400,0.00632613
8,5.7897,243.789,198253,0.00632613
8.2,5.78776,243.869,198105,0.00632613
8.4,5.78582,243.95,197957,0.00632613
8.6,5.78387,244.03,197809,0.00632613
8.8,5.78193,244.11,197662,0.00632613
9,5.77999,244.19,197514,0.00632613
9.2,5.77805,244.27,197367,0.00632613
9.4,5.77611,244.35,197220,0.00632613
9.6,5.77417,244.43,197073,0.00632613
9.8,5.77223,244.511,196926,0.00632613
10,5.77223,244.511,196926,0.00632613
