x,rho,u,P,t
-10,5.92084,238.404,208365,0.0109469
-9.8,5.92084,238.404,208365,0.0109469
-9.6,5.92027,238.427,208320,0.0109469
-9.4,5.91941,238.462,208253,0.0109469
-9.2,5.91841,238.503,208175,0.0109469
-9,5.91734,238.547,208091,0.0109469
-8.8,5.91623,238.592,208005,0.0109469
-8.6,5.9151,238.639,207917,0.0109469
-8.4,5.91397,238.685,207828,0.0109469
-8.2,5.91283,238.732,207739,0.0109469
-8,5.91169,238.778,207650,0.0109469
-7.8,5.91054,238.825,207561,0.0109469
-7.6,5.9094,238.872,207472,0.0109469
-7.4,5.90826,238.919,207383,0.0109469
-7.2,5.90711,238.965,207293,0.0109469
-7,5.90597,239.012,207204,0.0109469
-6.8,5.90483,239.059,207115,0.0109469
-6.6,5.90368,239.106,207026,0.0109469
-6.4,5.90254,239.153,206937,0.0109469
-6.2,5.9014,239.199,206848,0.0109469
-6,5.90025,239.246,206759,0.0109469
-5.8,5.89911,239.293,206670,0.0109469
-5.6,5.89797,239.34,206581,0.0109469
-5.4,5.89683,239.387,206492,0.0109469
-5.2,5.89568,239.434,206403,0.0109469
-5,5.89454,239.48,206315,0.0109469
-4.8,5.8934,239.527,206226,0.0109469
-4.6,5.89226,239.574,206137,0.0109469
-4.4,5.89111,239.621,206048,0.0109469
-4.2,5.88997,239.668,205959,0.0109469
-4,5.88883,239.714,205871,0.0109469
-3.8,5.88769,239.761,205782,0.0109469
-3.6,5.88655,239.808,205693,0.0109469
-3.4,5.8854,239.855,205605,0.0109469
-3.2,5.88426,239.902,205516,0.0109469
-3,5.88312,239.948,205428,0.0109469
-2.8,5.88198,239.995,205339,0.0109469
-2.6,5.88084,240.042,205250,0.0109469
-2.4,5.8797,240.089,205162,0.0109469
-2.2,5.87856,240.136,205073,0.0109469
-2,5.87742,240.182,204985,0.0109469
-1.8,5.87627,240.229,204897,0.0109469
-1.6,5.87513,240.276,204808,0.0109469
-1.4,5.87399,240.323,204720,0.0109469
-1.2,5.87285,240.37,204632,0.0109469
-1,5.87171,240.416,204543,0.0109469
-0.8,5.87057,240.463,204455,0.0109469
-0.6,5.86943,240.51,204367,0.0109469
-0.4,5.86829,240.557,204279,0.0109469
-0.2,5.86715,240.603,204190,0.0109469
0,5.86601,240.65,204102,0.0109469
0.2,5.86487,240.697,204014,0.0109469
0.4,5.86373,240.744,203926,0.0109469
0.6,5.86259,240.791,203838,0.0109469
0.8,5.86146,240.837,203750,0.0109469
1,5.86032,240.884,203663,0.0109469
1.2,5.85918,240.931,203575,0.0109469
1.4,5.85804,240.977,203487,0.0109469
1.6,5.85691,241.024,203399,0.0109469
1.8,5.85577,241.071,203312,0.0109469
2,5.85463,241.117,203224,0.0109469
2.2,5.8535,241.164,203136,0.0109469
2.4,5.85236,241.211,203049,0.0109469
2.6,5.85123,241.257,202961,0.0109469
2.8,5.85009,241.304,202874,0.0109469
3,5.84896,241.351,202786,0.0109469
3.2,5.84782,241.397,202699,0.0109469
3.4,5.84668,241.444,202611,0.0109469
3.6,5.84555,241.491,202524,0.0109469
3.8,5.84441,241.537,202437,0.0109469
4,5.84328,241.584,202349,0.0109469
4.2,5.84214,241.631,202262,0.0109469
4.4,5.84101,241.677,202175,0.0109469
4.6,5.83988,241.724,202087,0.0109469
4.8,5.83874,241.771,202000,0.0109469
5,5.83761,241.817,201913,0.0109469
5.2,5.83647,241.864,201826,0.0109469
5.4,5.83534,241.91,201739,0.0109469
5.6,5.8342,241.957,201652,0.0109469
5.8,5.83307,242.004,201565,0.0109469
6,5.83194,242.05,201478,0.0109469
6.2,5.8308,242.097,201391,0.0109469
6.4,5.82967,242.144,201304,0.0109469
6.6,5.82854,242.19,201217,0.0109469
6.8,5.8274,242.237,201130,0.0109469
7,5.82627,242.284,201043,0.0109469
7.2,5.82514,242.33,200956,0.0109469
7.4,5.824,242.377,200869,0.0109469
7.6,5.82287,242.423,200782,0.0109469
7.8,5.82174,242.47,200696,0.0109469
8,5.82061,242.517,200609,0.0109469
8.2,5.81947,242.563,200522,0.0109469
8.4,5.81834,242.61,200435,0.0109469
8.6,5.81721,242.657,200349,0.0109469
8.8,5.81608,242.703,200262,0.0109469
9,5.81494,242.75,200176,0.0109469
9.2,5.81381,242.796,200089,0.0109469
9.4,5.81268,242.843,200003,0.0109469
9.6,5.81155,242.89,199916,0.0109469
9.8,5.81042,242.936,199830,0.0109469
10,5.81042,242.936,199830,0.0109469
