x,rho,u,P,t
-10,5.89552,239.44,206390,0.0196583
-9.8,5.89552,239.44,206390,0.0196583
-9.6,5.8952,239.453,206365,0.0196583
-9.4,5.89472,239.473,206328,0.0196583
-9.2,5.89416,239.496,206285,0.0196583
-9,5.89357,239.52,206238,0.0196583
-8.8,5.89295,239.546,206190,0.0196583
-8.6,5.89232,239.571,206141,0.0196583
-8.4,5.89169,239.597,206092,0.0196583
-8.2,5.89105,239.623,206043,0.0196583
-8,5.89042,239.649,205994,0.0196583
-7.8,5.88978,239.676,205944,0.0196583
-7.6,5.88914,239.702,205895,0.0196583
-7.4,5.88851,239.728,205845,0.0196583
-7.2,5.88787,239.754,205796,0.0196583
-7,5.88723,239.78,205746,0.0196583
-6.8,5.88659,239.806,205697,0.0196583
-6.6,5.88596,239.832,205647,0.0196583
-6.4,5.88532,239.858,205598,0.0196583
-6.2,5.88468,239.885,205548,0.0196583
-6,5.88404,239.911,205499,0.0196583
-5.8,5.88341,239.937,205449,0.0196583
-5.6,5.88277,239.963,205400,0.0196583
-5.4,5.88213,239.989,205350,0.0196583
-5.2,5.8815,240.015,205301,0.0196583
-5,5.88086,240.041,205252,0.0196583
-4.8,5.88022,240.067,205202,0.0196583
-4.6,5.87958,240.094,205153,0.0196583
-4.4,5.87895,240.12,205103,0.0196583
-4.2,5.87831,240.146,205054,0.0196583
-4,5.87767,240.172,205005,0.0196583
-3.8,5.87704,240.198,204955,0.0196583
-3.6,5.8764,240.224,204906,0.0196583
-3.4,5.87576,240.25,204857,0.0196583
-3.2,5.87513,240.276,204807,0.0196583
-3,5.87449,240.303,204758,0.0196583
-2.8,5.87385,240.329,204709,0.0196583
-2.6,5.87322,240.355,204659,0.0196583
-2.4,5.87258,240.381,204610,0.0196583
-2.2,5.87194,240.407,204561,0.0196583
-2,5.87131,240.433,204511,0.0196583
-1.8,5.87067,240.459,204462,0.0196583
-1.6,5.87003,240.485,204413,0.0196583
-1.4,5.8694,240.512,204364,0.0196583
-1.2,5.86876,240.538,204314,0.0196583
-1,5.86812,240.564,204265,0.0196583
-0.8,5.86749,240.59,204216,0.0196583
-0.6,5.86685,240.616,204167,0.0196583
-0.4,5.86621,240.642,204118,0.0196583
-0.2,5.86558,240.668,204068,0.0196583
0,5.86494,240.694,204019,0.0196583
0.2,5.8643,240.721,203970,0.0196583
0.4,5.86367,240.747,203921,0.0196583
0.6,5.86303,240.773,203872,0.0196583
0.8,5.8624,240.799,203823,0.0196583
1,5.86176,240.825,203773,0.0196583
1.2,5.86113,240.851,203724,0.0196583
1.4,5.86049,240.877,203675,0.0196583
1.6,5.85986,240.903,203626,0.0196583
1.8,5.85922,240.929,203577,0.0196583
2,5.85859,240.955,203528,0.0196583
2.2,5.85795,240.981,203479,0.0196583
2.4,5.85732,241.008,203430,0.0196583
2.6,5.85668,241.034,203381,0.0196583
2.8,5.85605,241.06,203332,0.0196583
3,5.85541,241.086,203283,0.0196583
3.2,5.85478,241.112,203234,0.0196583
3.4,5.85414,241.138,203185,0.0196583
3.6,5.85351,241.164,203136,0.0196583
3.8,5.85287,241.19,203087,0.0196583
4,5.85224,241.216,203038,0.0196583
4.2,5.8516,241.242,202990,0.0196583
4.4,5.85097,241.268,202941,0.0196583
4.6,5.85033,241.294,202892,0.0196583
4.8,5.8497,241.32,202843,0.0196583
5,5.84906,241.347,202794,0.0196583
5.2,5.84843,241.373,202745,0.0196583
5.4,5.84779,241.399,202696,0.0196583
5.6,5.84716,241.425,202647,0.0196583
5.8,5.84653,241.451,202598,0.0196583
6,5.84589,241.477,202550,0.0196583
6.2,5.84526,241.503,202501,0.0196583
6.4,5.84462,241.529,202452,0.0196583
6.6,5.84399,241.555,202403,0.0196583
6.8,5.84335,241.581,202354,0.0196583
7,5.84272,241.607,202306,0.0196583
7.2,5.84209,241.633,202257,0.0196583
7.4,5.84145,241.659,202208,0.0196583
7.6,5.84082,241.686,202159,0.0196583
7.8,5.84018,241.712,202110,0.0196583
8,5.83955,241.738,202062,0.0196583
8.2,5.83891,241.764,202013,0.0196583
8.4,5.83828,241.79,201964,0.0196583
8.6,5.83765,241.816,201915,0.0196583
8.8,5.83701,241.842,201867,0.0196583
9,5.83638,241.868,201818,0.0196583
9.2,5.83575,241.894,201769,0.0196583
9.4,5.83511,241.92,201721,0.0196583
9.6,5.83448,241.946,201672,0.0196583
9.8,5.83384,241.972,201623,0.0196583
10,5.83384,241.972,201623,0.0196583
