x,rho,u,P,t
-10,5.92073,238.408,208357,0.0109676
-9.8,5.92073,238.408,208357,0.0109676
-9.6,5.92016,238.432,208312,0.0109676
-9.4,5.9193,238.467,208245,0.0109676
-9.2,5.91831,238.508,208167,0.0109676
-9,5.91723,238.551,208083,0.0109676
-8.8,5.91613,238.597,207997,0.0109676
-8.6,5.915,238.643,207909,0.0109676
-8.4,5.91387,238.689,207821,0.0109676
-8.2,5.91273,238.735,207732,0.0109676
-8,5.91159,238.782,207643,0.0109676
-7.8,5.91045,238.829,207554,0.0109676
-7.6,5.90931,238.875,207465,0.0109676
-7.4,5.90817,238.922,207376,0.0109676
-7.2,5.90703,238.969,207287,0.0109676
-7,5.90589,239.016,207198,0.0109676
-6.8,5.90475,239.062,207109,0.0109676
-6.6,5.90361,239.109,207020,0.0109676
-6.4,5.90247,239.156,206931,0.0109676
-6.2,5.90133,239.202,206843,0.0109676
-6,5.90019,239.249,206754,0.0109676
-5.8,5.89904,239.296,206665,0.0109676
-5.6,5.8979,239.343,206576,0.0109676
-5.4,5.89676,239.389,206487,0.0109676
-5.2,5.89562,239.436,206399,0.0109676
-5,5.89448,239.483,206310,0.0109676
-4.8,5.89334,239.529,206221,0.0109676
-4.6,5.8922,239.576,206133,0.0109676
-4.4,5.89106,239.623,206044,0.0109676
-4.2,5.88992,239.67,205956,0.0109676
-4,5.88878,239.716,205867,0.0109676
-3.8,5.88764,239.763,205778,0.0109676
-3.6,5.8865,239.81,205690,0.0109676
-3.4,5.88536,239.856,205601,0.0109676
-3.2,5.88422,239.903,205513,0.0109676
-3,5.88308,239.95,205425,0.0109676
-2.8,5.88195,239.997,205336,0.0109676
-2.6,5.88081,240.043,205248,0.0109676
-2.4,5.87967,240.09,205160,0.0109676
-2.2,5.87853,240.137,205071,0.0109676
-2,5.87739,240.183,204983,0.0109676
-1.8,5.87625,240.23,204895,0.0109676
-1.6,5.87511,240.277,204807,0.0109676
-1.4,5.87397,240.324,204718,0.0109676
-1.2,5.87283,240.37,204630,0.0109676
-1,5.8717,240.417,204542,0.0109676
-0.8,5.87056,240.464,204454,0.0109676
-0.6,5.86942,240.51,204366,0.0109676
-0.4,5.86828,240.557,204278,0.0109676
-0.2,5.86714,240.604,204190,0.0109676
0,5.86601,240.65,204102,0.0109676
0.2,5.86487,240.697,204014,0.0109676
0.4,5.86373,240.744,203926,0.0109676
0.6,5.86259,240.79,203838,0.0109676
0.8,5.86146,240.837,203751,0.0109676
1,5.86032,240.884,203663,0.0109676
1.2,5.85919,240.93,203575,0.0109676
1.4,5.85805,240.977,203488,0.0109676
1.6,5.85692,241.023,203400,0.0109676
1.8,5.85579,241.07,203313,0.0109676
2,5.85465,241.117,203225,0.0109676
2.2,5.85352,241.163,203138,0.0109676
2.4,5.85238,241.21,203050,0.0109676
2.6,5.85125,241.256,202963,0.0109676
2.8,5.85012,241.303,202876,0.0109676
3,5.84898,241.35,202788,0.0109676
3.2,5.84785,241.396,202701,0.0109676
3.4,5.84672,241.443,202614,0.0109676
3.6,5.84558,241.489,202527,0.0109676
3.8,5.84445,241.536,202439,0.0109676
4,5.84332,241.582,202352,0.0109676
4.2,5.84218,241.629,202265,0.0109676
4.4,5.84105,241.676,202178,0.0109676
4.6,5.83992,241.722,202091,0.0109676
4.8,5.83879,241.769,202004,0.0109676
5,5.83766,241.815,201917,0.0109676
5.2,5.83652,241.862,201830,0.0109676
5.4,5.83539,241.908,201743,0.0109676
5.6,5.83426,241.955,201656,0.0109676
5.8,5.83313,242.001,201569,0.0109676
6,5.832,242.048,201482,0.0109676
6.2,5.83086,242.095,201395,0.0109676
6.4,5.82973,242.141,201308,0.0109676
6.6,5.8286,242.188,201222,0.0109676
6.8,5.82747,242.234,201135,0.0109676
7,5.82634,242.281,201048,0.0109676
7.2,5.82521,242.327,200962,0.0109676
7.4,5.82408,242.374,200875,0.0109676
7.6,5.82295,242.42,200788,0.0109676
7.8,5.82182,242.467,200702,0.0109676
8,5.82069,242.513,200615,0.0109676
8.2,5.81956,242.56,200528,0.0109676
8.4,5.81843,242.606,200442,0.0109676
8.6,5.8173,242.653,200355,0.0109676
8.8,5.81617,242.7,200269,0.0109676
9,5.81504,242.746,200183,0.0109676
9.2,5.81391,242.793,200096,0.0109676
9.4,5.81278,242.839,200010,0.0109676
9.6,5.81165,242.886,199923,0.0109676
9.8,5.81052,242.932,199837,0.0109676
10,5.81052,242.932,199837,0.0109676
