x,rho,u,P,t
-10,5.92403,238.273,208615,0.0103665
-9.8,5.92403,238.273,208615,0.0103665
-9.6,5.92343,238.298,208568,0.0103665
-9.4,5.92252,238.335,208497,0.0103665
-9.2,5.92147,238.378,208414,0.0103665
-9,5.92034,238.424,208326,0.0103665
-8.8,5.91916,238.472,208234,0.0103665
-8.6,5.91798,238.521,208141,0.0103665
-8.4,5.91678,238.57,208048,0.0103665
-8.2,5.91557,238.619,207954,0.0103665
-8,5.91437,238.669,207860,0.0103665
-7.8,5.91316,238.718,207765,0.0103665
-7.6,5.91196,238.767,207671,0.0103665
-7.4,5.91075,238.817,207577,0.0103665
-7.2,5.90954,238.866,207483,0.0103665
-7,5.90833,238.915,207389,0.0103665
-6.8,5.90713,238.965,207295,0.0103665
-6.6,5.90592,239.014,207200,0.0103665
-6.4,5.90471,239.064,207106,0.0103665
-6.2,5.90351,239.113,207012,0.0103665
-6,5.9023,239.163,206918,0.0103665
-5.8,5.90109,239.212,206824,0.0103665
-5.6,5.89989,239.261,206730,0.0103665
-5.4,5.89868,239.311,206637,0.0103665
-5.2,5.89747,239.36,206543,0.0103665
-5,5.89627,239.41,206449,0.0103665
-4.8,5.89506,239.459,206355,0.0103665
-4.6,5.89385,239.508,206261,0.0103665
-4.4,5.89265,239.558,206167,0.0103665
-4.2,5.89144,239.607,206074,0.0103665
-4,5.89024,239.657,205980,0.0103665
-3.8,5.88903,239.706,205886,0.0103665
-3.6,5.88783,239.755,205793,0.0103665
-3.4,5.88662,239.805,205699,0.0103665
-3.2,5.88542,239.854,205606,0.0103665
-3,5.88421,239.904,205512,0.0103665
-2.8,5.88301,239.953,205419,0.0103665
-2.6,5.8818,240.002,205325,0.0103665
-2.4,5.8806,240.052,205232,0.0103665
-2.2,5.87939,240.101,205138,0.0103665
-2,5.87819,240.151,205045,0.0103665
-1.8,5.87698,240.2,204951,0.0103665
-1.6,5.87578,240.249,204858,0.0103665
-1.4,5.87457,240.299,204765,0.0103665
-1.2,5.87337,240.348,204672,0.0103665
-1,5.87216,240.398,204578,0.0103665
-0.8,5.87096,240.447,204485,0.0103665
-0.6,5.86976,240.497,204392,0.0103665
-0.4,5.86855,240.546,204299,0.0103665
-0.2,5.86735,240.595,204206,0.0103665
0,5.86615,240.645,204113,0.0103665
0.2,5.86494,240.694,204020,0.0103665
0.4,5.86374,240.743,203927,0.0103665
0.6,5.86254,240.793,203834,0.0103665
0.8,5.86134,240.842,203741,0.0103665
1,5.86014,240.891,203649,0.0103665
1.2,5.85894,240.941,203556,0.0103665
1.4,5.85774,240.99,203463,0.0103665
1.6,5.85654,241.039,203371,0.0103665
1.8,5.85534,241.088,203278,0.0103665
2,5.85414,241.138,203186,0.0103665
2.2,5.85294,241.187,203093,0.0103665
2.4,5.85174,241.236,203001,0.0103665
2.6,5.85054,241.286,202908,0.0103665
2.8,5.84934,241.335,202816,0.0103665
3,5.84814,241.384,202724,0.0103665
3.2,5.84694,241.433,202631,0.0103665
3.4,5.84575,241.483,202539,0.0103665
3.6,5.84455,241.532,202447,0.0103665
3.8,5.84335,241.581,202355,0.0103665
4,5.84215,241.63,202263,0.0103665
4.2,5.84095,241.68,202170,0.0103665
4.4,5.83976,241.729,202078,0.0103665
4.6,5.83856,241.778,201986,0.0103665
4.8,5.83736,241.827,201894,0.0103665
5,5.83616,241.876,201802,0.0103665
5.2,5.83497,241.926,201710,0.0103665
5.4,5.83377,241.975,201618,0.0103665
5.6,5.83257,242.024,201527,0.0103665
5.8,5.83138,242.073,201435,0.0103665
6,5.83018,242.123,201343,0.0103665
6.2,5.82898,242.172,201251,0.0103665
6.4,5.82779,242.221,201159,0.0103665
6.6,5.82659,242.27,201068,0.0103665
6.8,5.8254,242.319,200976,0.0103665
7,5.8242,242.369,200884,0.0103665
7.2,5.823,242.418,200793,0.0103665
7.4,5.82181,242.467,200701,0.0103665
7.6,5.82061,242.516,200610,0.0103665
7.8,5.81942,242.566,200518,0.0103665
8,5.81822,242.615,200427,0.0103665
8.2,5.81703,242.664,200335,0.0103665
8.4,5.81583,242.713,200244,0.0103665
8.6,5.81464,242.762,200152,0.0103665
8.8,5.81344,242.812,200061,0.0103665
9,5.81225,242.861,199970,0.0103665
9.2,5.81105,242.91,199878,0.0103665
9.4,5.80986,242.959,199787,0.0103665
9.6,5.80867,243.008,199696,0.0103665
9.8,5.80747,243.058,199605,0.0103665
10,5.80747,243.058,199605,0.0103665
