x,rho,u,P,t
-10,6.17633,228.039,228859,0.0019868
-9.8,6.17633,228.039,228859,0.0019868
-9.6,6.17319,228.166,228601,0.0019868
-9.4,6.16847,228.356,228214,0.0019868
-9.2,6.16296,228.577,227762,0.0019868
-9,6.15706,228.815,227279,0.0019868
-8.8,6.15096,229.06,226780,0.0019868
-8.6,6.14476,229.31,226274,0.0019868
-8.4,6.13852,229.562,225764,0.0019868
-8.2,6.13225,229.814,225253,0.0019868
-8,6.12597,230.067,224742,0.0019868
-7.8,6.11969,230.321,224232,0.0019868
-7.6,6.11341,230.574,223722,0.0019868
-7.4,6.10713,230.828,223212,0.0019868
-7.2,6.10086,231.081,222704,0.0019868
-7,6.09458,231.335,222196,0.0019868
-6.8,6.08831,231.588,221689,0.0019868
-6.6,6.08204,231.842,221183,0.0019868
-6.4,6.07577,232.095,220678,0.0019868
-6.2,6.06951,232.349,220173,0.0019868
-6,6.06324,232.602,219670,0.0019868
-5.8,6.05698,232.856,219167,0.0019868
-5.6,6.05073,233.109,218665,0.0019868
-5.4,6.04447,233.363,218163,0.0019868
-5.2,6.03822,233.616,217663,0.0019868
-5,6.03197,233.87,217164,0.0019868
-4.8,6.02572,234.123,216665,0.0019868
-4.6,6.01948,234.377,216167,0.0019868
-4.4,6.01324,234.63,215670,0.0019868
-4.2,6.007,234.884,215174,0.0019868
-4,6.00076,235.137,214678,0.0019868
-3.8,5.99453,235.391,214184,0.0019868
-3.6,5.9883,235.644,213690,0.0019868
-3.4,5.98207,235.898,213197,0.0019868
-3.2,5.97585,236.151,212705,0.0019868
-3,5.96962,236.405,212213,0.0019868
-2.8,5.9634,236.658,211723,0.0019868
-2.6,5.95719,236.911,211233,0.0019868
-2.4,5.95097,237.165,210744,0.0019868
-2.2,5.94476,237.418,210256,0.0019868
-2,5.93855,237.672,209769,0.0019868
-1.8,5.93234,237.925,209283,0.0019868
-1.6,5.92614,238.178,208797,0.0019868
-1.4,5.91994,238.432,208313,0.0019868
-1.2,5.91374,238.685,207829,0.0019868
-1,5.90755,238.939,207346,0.0019868
-0.8,5.90135,239.192,206864,0.0019868
-0.6,5.89516,239.445,206382,0.0019868
-0.4,5.88898,239.699,205902,0.0019868
-0.2,5.88279,239.952,205422,0.0019868
0,5.87661,240.205,204944,0.0019868
0.2,5.87044,240.458,204466,0.0019868
0.4,5.86427,240.711,203989,0.0019868
0.6,5.85813,240.963,203515,0.0019868
0.8,5.85201,241.214,203043,0.0019868
1,5.8459,241.465,202573,0.0019868
1.2,5.8398,241.716,202104,0.0019868
1.4,5.83371,241.966,201637,0.0019868
1.6,5.82763,242.216,201170,0.0019868
1.8,5.82155,242.466,200705,0.0019868
2,5.81548,242.716,200241,0.0019868
2.2,5.80941,242.965,199777,0.0019868
2.4,5.80336,243.215,199315,0.0019868
2.6,5.7973,243.464,198854,0.0019868
2.8,5.79125,243.713,198394,0.0019868
3,5.78521,243.963,197935,0.0019868
3.2,5.77917,244.212,197477,0.0019868
3.4,5.77314,244.46,197019,0.0019868
3.6,5.76711,244.709,196563,0.0019868
3.8,5.76109,244.958,196108,0.0019868
4,5.75507,245.207,195653,0.0019868
4.2,5.74906,245.455,195200,0.0019868
4.4,5.74305,245.704,194748,0.0019868
4.6,5.73705,245.952,194296,0.0019868
4.8,5.73105,246.2,193846,0.0019868
5,5.72505,246.448,193396,0.0019868
5.2,5.71906,246.696,192948,0.0019868
5.4,5.71308,246.944,192500,0.0019868
5.6,5.7071,247.192,192053,0.0019868
5.8,5.70113,247.44,191607,0.0019868
6,5.69516,247.687,191163,0.0019868
6.2,5.68919,247.935,190719,0.0019868
6.4,5.68324,248.182,190276,0.0019868
6.6,5.67728,248.429,189834,0.0019868
6.8,5.67134,248.676,189393,0.0019868
7,5.66539,248.923,188954,0.0019868
7.2,5.65946,249.17,188515,0.0019868
7.4,5.65352,249.417,188077,0.0019868
7.6,5.6476,249.663,187640,0.0019868
7.8,5.64168,249.91,187204,0.0019868
8,5.63577,250.156,186769,0.0019868
8.2,5.62986,250.402,186336,0.0019868
8.4,5.62396,250.648,185903,0.0019868
8.6,5.61806,250.894,185471,0.0019868
8.8,5.61218,251.14,185041,0.0019868
9,5.60629,251.385,184611,0.0019868
9.2,5.60042,251.63,184183,0.0019868
9.4,5.59455,251.875,183755,0.0019868
9.6,5.5887,252.12,183329,0.0019868
9.8,5.58284,252.365,182904,0.0019868
10,5.58284,252.365,182904,0.0019868
