x,rho,u,P,t
-10,6.01846,234.423,216075,0.00402949
-9.8,6.01846,234.423,216075,0.00402949
-9.6,6.01691,234.487,215951,0.00402949
-9.4,6.01458,234.581,215766,0.00402949
-9.2,6.01187,234.691,215549,0.00402949
-9,6.00896,234.81,215318,0.00402949
-8.8,6.00595,234.932,215079,0.00402949
-8.6,6.0029,235.056,214836,0.00402949
-8.4,5.99982,235.181,214591,0.00402949
-8.2,5.99673,235.307,214346,0.00402949
-8,5.99363,235.433,214100,0.00402949
-7.8,5.99053,235.559,213855,0.00402949
-7.6,5.98743,235.685,213609,0.00402949
-7.4,5.98433,235.812,213364,0.00402949
-7.2,5.98124,235.938,213118,0.00402949
-7,5.97814,236.064,212873,0.00402949
-6.8,5.97504,236.19,212628,0.00402949
-6.6,5.97194,236.316,212384,0.00402949
-6.4,5.96885,236.443,212139,0.00402949
-6.2,5.96575,236.569,211895,0.00402949
-6,5.96265,236.695,211651,0.00402949
-5.8,5.95956,236.821,211407,0.00402949
-5.6,5.95646,236.947,211163,0.00402949
-5.4,5.95337,237.074,210920,0.00402949
-5.2,5.95028,237.2,210676,0.00402949
-5,5.94719,237.326,210433,0.00402949
-4.8,5.94409,237.452,210191,0.00402949
-4.6,5.941,237.578,209948,0.00402949
-4.4,5.93791,237.704,209705,0.00402949
-4.2,5.93482,237.831,209463,0.00402949
-4,5.93174,237.957,209221,0.00402949
-3.8,5.92865,238.083,208979,0.00402949
-3.6,5.92556,238.209,208738,0.00402949
-3.4,5.92247,238.335,208496,0.00402949
-3.2,5.91939,238.462,208255,0.00402949
-3,5.9163,238.588,208014,0.00402949
-2.8,5.91322,238.714,207773,0.00402949
-2.6,5.91013,238.84,207532,0.00402949
-2.4,5.90705,238.966,207292,0.00402949
-2.2,5.90397,239.092,207052,0.00402949
-2,5.90088,239.219,206812,0.00402949
-1.8,5.8978,239.345,206572,0.00402949
-1.6,5.89472,239.471,206332,0.00402949
-1.4,5.89164,239.597,206093,0.00402949
-1.2,5.88856,239.723,205854,0.00402949
-1,5.88548,239.849,205615,0.00402949
-0.8,5.88241,239.976,205376,0.00402949
-0.6,5.87933,240.102,205138,0.00402949
-0.4,5.87625,240.228,204899,0.00402949
-0.2,5.87318,240.354,204661,0.00402949
0,5.8701,240.48,204423,0.00402949
0.2,5.86703,240.606,204186,0.00402949
0.4,5.86396,240.732,203948,0.00402949
0.6,5.86089,240.858,203712,0.00402949
0.8,5.85783,240.984,203476,0.00402949
1,5.85478,241.109,203240,0.00402949
1.2,5.85172,241.234,203004,0.00402949
1.4,5.84867,241.36,202769,0.00402949
1.6,5.84562,241.485,202534,0.00402949
1.8,5.84257,241.611,202300,0.00402949
2,5.83952,241.736,202066,0.00402949
2.2,5.83648,241.861,201831,0.00402949
2.4,5.83343,241.986,201598,0.00402949
2.6,5.83039,242.111,201364,0.00402949
2.8,5.82734,242.237,201131,0.00402949
3,5.8243,242.362,200898,0.00402949
3.2,5.82126,242.487,200665,0.00402949
3.4,5.81822,242.612,200432,0.00402949
3.6,5.81518,242.737,200200,0.00402949
3.8,5.81214,242.862,199967,0.00402949
4,5.80911,242.987,199735,0.00402949
4.2,5.80607,243.112,199504,0.00402949
4.4,5.80304,243.237,199272,0.00402949
4.6,5.8,243.362,199041,0.00402949
4.8,5.79697,243.487,198810,0.00402949
5,5.79394,243.612,198579,0.00402949
5.2,5.79091,243.737,198348,0.00402949
5.4,5.78788,243.862,198118,0.00402949
5.6,5.78485,243.987,197888,0.00402949
5.8,5.78182,244.112,197658,0.00402949
6,5.7788,244.237,197428,0.00402949
6.2,5.77577,244.362,197199,0.00402949
6.4,5.77274,244.487,196969,0.00402949
6.6,5.76972,244.612,196740,0.00402949
6.8,5.7667,244.737,196511,0.00402949
7,5.76367,244.862,196283,0.00402949
7.2,5.76065,244.986,196054,0.00402949
7.4,5.75763,245.111,195826,0.00402949
7.6,5.75461,245.236,195598,0.00402949
7.8,5.75159,245.361,195370,0.00402949
8,5.74858,245.486,195143,0.00402949
8.2,5.74556,245.61,194915,0.00402949
8.4,5.74254,245.735,194688,0.00402949
8.6,5.73953,245.86,194461,0.00402949
8.8,5.73651,245.985,194235,0.00402949
9,5.7335,246.109,194008,0.00402949
9.2,5.73049,246.234,193782,0.00402949
9.4,5.72748,246.359,193556,0.00402949
9.6,5.72447,246.484,193330,0.00402949
9.8,5.72146,246.608,193105,0.00402949
10,5.72146,246.608,193105,0.00402949
