x,rho,u,P,t
-10,5.9215,238.377,208416,0.0108225
-9.8,5.9215,238.377,208416,0.0108225
-9.6,5.92092,238.401,208371,0.0108225
-9.4,5.92005,238.436,208303,0.0108225
-9.2,5.91904,238.478,208224,0.0108225
-9,5.91795,238.522,208139,0.0108225
-8.8,5.91683,238.568,208052,0.0108225
-8.6,5.91569,238.614,207963,0.0108225
-8.4,5.91454,238.661,207873,0.0108225
-8.2,5.91339,238.709,207783,0.0108225
-8,5.91224,238.756,207693,0.0108225
-7.8,5.91108,238.803,207603,0.0108225
-7.6,5.90992,238.85,207513,0.0108225
-7.4,5.90877,238.898,207422,0.0108225
-7.2,5.90761,238.945,207332,0.0108225
-7,5.90646,238.992,207242,0.0108225
-6.8,5.9053,239.04,207152,0.0108225
-6.6,5.90414,239.087,207062,0.0108225
-6.4,5.90299,239.134,206972,0.0108225
-6.2,5.90183,239.182,206882,0.0108225
-6,5.90067,239.229,206792,0.0108225
-5.8,5.89952,239.276,206702,0.0108225
-5.6,5.89836,239.324,206612,0.0108225
-5.4,5.89721,239.371,206522,0.0108225
-5.2,5.89605,239.418,206432,0.0108225
-5,5.8949,239.466,206342,0.0108225
-4.8,5.89374,239.513,206252,0.0108225
-4.6,5.89258,239.56,206162,0.0108225
-4.4,5.89143,239.608,206073,0.0108225
-4.2,5.89027,239.655,205983,0.0108225
-4,5.88912,239.702,205893,0.0108225
-3.8,5.88796,239.75,205803,0.0108225
-3.6,5.88681,239.797,205714,0.0108225
-3.4,5.88565,239.844,205624,0.0108225
-3.2,5.8845,239.892,205534,0.0108225
-3,5.88335,239.939,205445,0.0108225
-2.8,5.88219,239.986,205355,0.0108225
-2.6,5.88104,240.034,205266,0.0108225
-2.4,5.87988,240.081,205176,0.0108225
-2.2,5.87873,240.128,205087,0.0108225
-2,5.87757,240.176,204997,0.0108225
-1.8,5.87642,240.223,204908,0.0108225
-1.6,5.87527,240.27,204819,0.0108225
-1.4,5.87411,240.318,204729,0.0108225
-1.2,5.87296,240.365,204640,0.0108225
-1,5.8718,240.412,204551,0.0108225
-0.8,5.87065,240.46,204461,0.0108225
-0.6,5.8695,240.507,204372,0.0108225
-0.4,5.86834,240.554,204283,0.0108225
-0.2,5.86719,240.602,204194,0.0108225
0,5.86604,240.649,204104,0.0108225
0.2,5.86489,240.696,204015,0.0108225
0.4,5.86373,240.744,203926,0.0108225
0.6,5.86258,240.791,203837,0.0108225
0.8,5.86143,240.838,203748,0.0108225
1,5.86028,240.885,203660,0.0108225
1.2,5.85913,240.933,203571,0.0108225
1.4,5.85798,240.98,203482,0.0108225
1.6,5.85683,241.027,203393,0.0108225
1.8,5.85568,241.074,203305,0.0108225
2,5.85453,241.122,203216,0.0108225
2.2,5.85338,241.169,203127,0.0108225
2.4,5.85223,241.216,203039,0.0108225
2.6,5.85109,241.263,202950,0.0108225
2.8,5.84994,241.31,202862,0.0108225
3,5.84879,241.358,202773,0.0108225
3.2,5.84764,241.405,202685,0.0108225
3.4,5.84649,241.452,202596,0.0108225
3.6,5.84534,241.499,202508,0.0108225
3.8,5.8442,241.546,202420,0.0108225
4,5.84305,241.593,202331,0.0108225
4.2,5.8419,241.641,202243,0.0108225
4.4,5.84075,241.688,202155,0.0108225
4.6,5.83961,241.735,202067,0.0108225
4.8,5.83846,241.782,201978,0.0108225
5,5.83731,241.829,201890,0.0108225
5.2,5.83616,241.877,201802,0.0108225
5.4,5.83502,241.924,201714,0.0108225
5.6,5.83387,241.971,201626,0.0108225
5.8,5.83272,242.018,201538,0.0108225
6,5.83158,242.065,201450,0.0108225
6.2,5.83043,242.112,201362,0.0108225
6.4,5.82928,242.16,201274,0.0108225
6.6,5.82814,242.207,201186,0.0108225
6.8,5.82699,242.254,201098,0.0108225
7,5.82584,242.301,201010,0.0108225
7.2,5.8247,242.348,200922,0.0108225
7.4,5.82355,242.395,200835,0.0108225
7.6,5.82241,242.443,200747,0.0108225
7.8,5.82126,242.49,200659,0.0108225
8,5.82012,242.537,200571,0.0108225
8.2,5.81897,242.584,200484,0.0108225
8.4,5.81783,242.631,200396,0.0108225
8.6,5.81668,242.678,200308,0.0108225
8.8,5.81554,242.725,200221,0.0108225
9,5.81439,242.773,200133,0.0108225
9.2,5.81325,242.82,200046,0.0108225
9.4,5.8121,242.867,199958,0.0108225
9.6,5.81096,242.914,199871,0.0108225
9.8,5.80981,242.961,199783,0.0108225
10,5.80981,242.961,199783,0.0108225
