x,rho,u,P,t
-10,5.90146,239.197,206853,0.0165671
-9.8,5.90146,239.197,206853,0.0165671
-9.6,5.90108,239.212,206823,0.0165671
-9.4,5.90052,239.236,206779,0.0165671
-9.2,5.89985,239.263,206728,0.0165671
-9,5.89914,239.292,206672,0.0165671
-8.8,5.89841,239.322,206615,0.0165671
-8.6,5.89767,239.352,206557,0.0165671
-8.4,5.89692,239.383,206499,0.0165671
-8.2,5.89616,239.414,206440,0.0165671
-8,5.89541,239.445,206382,0.0165671
-7.8,5.89465,239.476,206323,0.0165671
-7.6,5.8939,239.507,206264,0.0165671
-7.4,5.89314,239.538,206205,0.0165671
-7.2,5.89239,239.569,206147,0.0165671
-7,5.89163,239.6,206088,0.0165671
-6.8,5.89087,239.631,206029,0.0165671
-6.6,5.89012,239.662,205970,0.0165671
-6.4,5.88936,239.693,205912,0.0165671
-6.2,5.88861,239.724,205853,0.0165671
-6,5.88785,239.755,205794,0.0165671
-5.8,5.88709,239.786,205735,0.0165671
-5.6,5.88634,239.817,205677,0.0165671
-5.4,5.88558,239.848,205618,0.0165671
-5.2,5.88483,239.879,205559,0.0165671
-5,5.88407,239.91,205501,0.0165671
-4.8,5.88332,239.941,205442,0.0165671
-4.6,5.88256,239.972,205384,0.0165671
-4.4,5.8818,240.003,205325,0.0165671
-4.2,5.88105,240.033,205266,0.0165671
-4,5.88029,240.064,205208,0.0165671
-3.8,5.87954,240.095,205149,0.0165671
-3.6,5.87878,240.126,205091,0.0165671
-3.4,5.87803,240.157,205032,0.0165671
-3.2,5.87727,240.188,204974,0.0165671
-3,5.87652,240.219,204915,0.0165671
-2.8,5.87576,240.25,204857,0.0165671
-2.6,5.87501,240.281,204798,0.0165671
-2.4,5.87425,240.312,204740,0.0165671
-2.2,5.8735,240.343,204681,0.0165671
-2,5.87274,240.374,204623,0.0165671
-1.8,5.87199,240.405,204564,0.0165671
-1.6,5.87123,240.436,204506,0.0165671
-1.4,5.87048,240.467,204447,0.0165671
-1.2,5.86972,240.498,204389,0.0165671
-1,5.86897,240.529,204330,0.0165671
-0.8,5.86821,240.56,204272,0.0165671
-0.6,5.86746,240.591,204214,0.0165671
-0.4,5.8667,240.622,204155,0.0165671
-0.2,5.86595,240.653,204097,0.0165671
0,5.86519,240.684,204039,0.0165671
0.2,5.86444,240.715,203980,0.0165671
0.4,5.86368,240.746,203922,0.0165671
0.6,5.86293,240.777,203864,0.0165671
0.8,5.86218,240.808,203806,0.0165671
1,5.86142,240.839,203747,0.0165671
1.2,5.86067,240.87,203689,0.0165671
1.4,5.85992,240.901,203631,0.0165671
1.6,5.85916,240.932,203573,0.0165671
1.8,5.85841,240.963,203515,0.0165671
2,5.85766,240.993,203457,0.0165671
2.2,5.8569,241.024,203399,0.0165671
2.4,5.85615,241.055,203340,0.0165671
2.6,5.8554,241.086,203282,0.0165671
2.8,5.85465,241.117,203224,0.0165671
3,5.85389,241.148,203166,0.0165671
3.2,5.85314,241.179,203108,0.0165671
3.4,5.85239,241.21,203050,0.0165671
3.6,5.85164,241.241,202992,0.0165671
3.8,5.85088,241.272,202934,0.0165671
4,5.85013,241.303,202876,0.0165671
4.2,5.84938,241.334,202818,0.0165671
4.4,5.84863,241.364,202760,0.0165671
4.6,5.84787,241.395,202702,0.0165671
4.8,5.84712,241.426,202644,0.0165671
5,5.84637,241.457,202587,0.0165671
5.2,5.84562,241.488,202529,0.0165671
5.4,5.84487,241.519,202471,0.0165671
5.6,5.84411,241.55,202413,0.0165671
5.8,5.84336,241.581,202355,0.0165671
6,5.84261,241.612,202297,0.0165671
6.2,5.84186,241.643,202239,0.0165671
6.4,5.84111,241.674,202182,0.0165671
6.6,5.84035,241.704,202124,0.0165671
6.8,5.8396,241.735,202066,0.0165671
7,5.83885,241.766,202008,0.0165671
7.2,5.8381,241.797,201950,0.0165671
7.4,5.83735,241.828,201893,0.0165671
7.6,5.8366,241.859,201835,0.0165671
7.8,5.83584,241.89,201777,0.0165671
8,5.83509,241.921,201719,0.0165671
8.2,5.83434,241.952,201662,0.0165671
8.4,5.83359,241.983,201604,0.0165671
8.6,5.83284,242.014,201546,0.0165671
8.8,5.83209,242.044,201489,0.0165671
9,5.83134,242.075,201431,0.0165671
9.2,5.83059,242.106,201373,0.0165671
9.4,5.82983,242.137,201316,0.0165671
9.6,5.82908,242.168,201258,0.0165671
9.8,5.82833,242.199,201200,0.0165671
10,5.82833,242.199,201200,0.0165671
