x,rho,u,P,t
-10,6.40402,218.943,247969,0.00114543
-9.8,6.40402,218.943,247969,0.00114543
-9.6,6.39855,219.16,247502,0.00114543
-9.4,6.39035,219.485,246801,0.00114543
-9.2,6.38077,219.865,245984,0.00114543
-9,6.3705,220.273,245110,0.00114543
-8.8,6.3599,220.694,244209,0.00114543
-8.6,6.34912,221.122,243296,0.00114543
-8.4,6.33827,221.554,242377,0.00114543
-8.2,6.32738,221.987,241458,0.00114543
-8,6.31647,222.421,240538,0.00114543
-7.8,6.30556,222.856,239621,0.00114543
-7.6,6.29465,223.291,238705,0.00114543
-7.4,6.28375,223.725,237791,0.00114543
-7.2,6.27286,224.16,236880,0.00114543
-7,6.26197,224.595,235971,0.00114543
-6.8,6.25109,225.03,235065,0.00114543
-6.6,6.24022,225.465,234161,0.00114543
-6.4,6.22935,225.9,233259,0.00114543
-6.2,6.21849,226.335,232360,0.00114543
-6,6.20765,226.77,231464,0.00114543
-5.8,6.1968,227.205,230569,0.00114543
-5.6,6.18597,227.64,229678,0.00114543
-5.4,6.17514,228.074,228788,0.00114543
-5.2,6.16432,228.509,227902,0.00114543
-5,6.15351,228.944,227017,0.00114543
-4.8,6.14271,229.379,226135,0.00114543
-4.6,6.13192,229.814,225256,0.00114543
-4.4,6.12113,230.248,224378,0.00114543
-4.2,6.11035,230.683,223504,0.00114543
-4,6.09958,231.118,222631,0.00114543
-3.8,6.08881,231.552,221762,0.00114543
-3.6,6.07806,231.987,220894,0.00114543
-3.4,6.06731,232.422,220029,0.00114543
-3.2,6.05657,232.857,219167,0.00114543
-3,6.04583,233.291,218306,0.00114543
-2.8,6.03511,233.726,217449,0.00114543
-2.6,6.02439,234.16,216593,0.00114543
-2.4,6.01368,234.595,215741,0.00114543
-2.2,6.00297,235.03,214890,0.00114543
-2,5.99228,235.464,214042,0.00114543
-1.8,5.98159,235.899,213197,0.00114543
-1.6,5.97091,236.333,212353,0.00114543
-1.4,5.96024,236.768,211513,0.00114543
-1.2,5.94958,237.202,210674,0.00114543
-1,5.93892,237.637,209839,0.00114543
-0.8,5.92828,238.071,209005,0.00114543
-0.6,5.91764,238.506,208174,0.00114543
-0.4,5.90701,238.94,207346,0.00114543
-0.2,5.89639,239.374,206520,0.00114543
0,5.88578,239.808,205697,0.00114543
0.2,5.87518,240.242,204876,0.00114543
0.4,5.8646,240.676,204059,0.00114543
0.6,5.85408,241.107,203248,0.00114543
0.8,5.84364,241.535,202445,0.00114543
1,5.83324,241.962,201647,0.00114543
1.2,5.82287,242.388,200853,0.00114543
1.4,5.81252,242.814,200062,0.00114543
1.6,5.80221,243.238,199276,0.00114543
1.8,5.79191,243.662,198492,0.00114543
2,5.78163,244.086,197712,0.00114543
2.2,5.77137,244.509,196935,0.00114543
2.4,5.76113,244.931,196161,0.00114543
2.6,5.75091,245.353,195391,0.00114543
2.8,5.74071,245.774,194623,0.00114543
3,5.73053,246.195,193859,0.00114543
3.2,5.72037,246.616,193098,0.00114543
3.4,5.71022,247.036,192340,0.00114543
3.6,5.7001,247.455,191585,0.00114543
3.8,5.68999,247.874,190833,0.00114543
4,5.67991,248.292,190084,0.00114543
4.2,5.66985,248.71,189339,0.00114543
4.4,5.6598,249.127,188596,0.00114543
4.6,5.64978,249.544,187857,0.00114543
4.8,5.63978,249.96,187122,0.00114543
5,5.62981,250.375,186390,0.00114543
5.2,5.61986,250.789,185661,0.00114543
5.4,5.60994,251.203,184936,0.00114543
5.6,5.60004,251.615,184215,0.00114543
5.8,5.59018,252.027,183497,0.00114543
6,5.58034,252.438,182783,0.00114543
6.2,5.57054,252.848,182073,0.00114543
6.4,5.56077,253.256,181367,0.00114543
6.6,5.55104,253.664,180666,0.00114543
6.8,5.54134,254.07,179968,0.00114543
7,5.53169,254.474,179276,0.00114543
7.2,5.52208,254.877,178588,0.00114543
7.4,5.51252,255.279,177905,0.00114543
7.6,5.50301,255.678,177227,0.00114543
7.8,5.49355,256.075,176554,0.00114543
8,5.48416,256.47,175888,0.00114543
8.2,5.47483,256.863,175227,0.00114543
8.4,5.46556,257.253,174573,0.00114543
8.6,5.45638,257.64,173925,0.00114543
8.8,5.44728,258.024,173285,0.00114543
9,5.43826,258.404,172652,0.00114543
9.2,5.42935,258.78,172028,0.00114543
9.4,5.42054,259.152,171413,0.00114543
9.6,5.41186,259.52,170807,0.00114543
9.8,5.4033,259.882,170212,0.00114543
10,5.4033,259.882,170212,0.00114543
