x,rho,u,P,t
-10,5.98452,235.805,213377,0.00516699
-9.8,5.98452,235.805,213377,0.00516699
-9.6,5.98331,235.854,213281,0.00516699
-9.4,5.98149,235.928,213138,0.00516699
-9.2,5.97938,236.014,212970,0.00516699
-9,5.97711,236.106,212791,0.00516699
-8.8,5.97476,236.202,212605,0.00516699
-8.6,5.97238,236.299,212417,0.00516699
-8.4,5.96998,236.397,212227,0.00516699
-8.2,5.96756,236.495,212037,0.00516699
-8,5.96515,236.594,211846,0.00516699
-7.8,5.96273,236.692,211656,0.00516699
-7.6,5.96031,236.791,211465,0.00516699
-7.4,5.9579,236.89,211275,0.00516699
-7.2,5.95548,236.988,211084,0.00516699
-7,5.95306,237.087,210894,0.00516699
-6.8,5.95064,237.186,210704,0.00516699
-6.6,5.94823,237.284,210514,0.00516699
-6.4,5.94581,237.383,210324,0.00516699
-6.2,5.94339,237.482,210134,0.00516699
-6,5.94098,237.58,209944,0.00516699
-5.8,5.93856,237.679,209755,0.00516699
-5.6,5.93615,237.777,209565,0.00516699
-5.4,5.93373,237.876,209376,0.00516699
-5.2,5.93132,237.975,209187,0.00516699
-5,5.9289,238.073,208998,0.00516699
-4.8,5.92649,238.172,208809,0.00516699
-4.6,5.92408,238.271,208620,0.00516699
-4.4,5.92166,238.369,208431,0.00516699
-4.2,5.91925,238.468,208243,0.00516699
-4,5.91684,238.567,208054,0.00516699
-3.8,5.91443,238.665,207866,0.00516699
-3.6,5.91201,238.764,207678,0.00516699
-3.4,5.9096,238.863,207490,0.00516699
-3.2,5.90719,238.961,207302,0.00516699
-3,5.90478,239.06,207114,0.00516699
-2.8,5.90237,239.159,206926,0.00516699
-2.6,5.89996,239.257,206739,0.00516699
-2.4,5.89756,239.356,206551,0.00516699
-2.2,5.89515,239.454,206364,0.00516699
-2,5.89274,239.553,206177,0.00516699
-1.8,5.89033,239.652,205989,0.00516699
-1.6,5.88793,239.75,205803,0.00516699
-1.4,5.88552,239.849,205616,0.00516699
-1.2,5.88311,239.948,205429,0.00516699
-1,5.88071,240.046,205242,0.00516699
-0.8,5.8783,240.145,205056,0.00516699
-0.6,5.8759,240.243,204870,0.00516699
-0.4,5.87349,240.342,204684,0.00516699
-0.2,5.87109,240.441,204498,0.00516699
0,5.86869,240.539,204312,0.00516699
0.2,5.86628,240.638,204126,0.00516699
0.4,5.86388,240.736,203940,0.00516699
0.6,5.86149,240.835,203755,0.00516699
0.8,5.85909,240.933,203570,0.00516699
1,5.8567,241.031,203386,0.00516699
1.2,5.85431,241.129,203202,0.00516699
1.4,5.85192,241.228,203017,0.00516699
1.6,5.84953,241.326,202833,0.00516699
1.8,5.84714,241.424,202649,0.00516699
2,5.84476,241.522,202466,0.00516699
2.2,5.84237,241.62,202282,0.00516699
2.4,5.83998,241.718,202099,0.00516699
2.6,5.8376,241.816,201915,0.00516699
2.8,5.83521,241.914,201732,0.00516699
3,5.83283,242.012,201549,0.00516699
3.2,5.83045,242.11,201366,0.00516699
3.4,5.82807,242.208,201184,0.00516699
3.6,5.82568,242.306,201001,0.00516699
3.8,5.8233,242.404,200819,0.00516699
4,5.82092,242.502,200636,0.00516699
4.2,5.81854,242.6,200454,0.00516699
4.4,5.81616,242.698,200272,0.00516699
4.6,5.81379,242.796,200090,0.00516699
4.8,5.81141,242.894,199909,0.00516699
5,5.80903,242.992,199727,0.00516699
5.2,5.80665,243.09,199545,0.00516699
5.4,5.80428,243.188,199364,0.00516699
5.6,5.8019,243.286,199183,0.00516699
5.8,5.79953,243.383,199002,0.00516699
6,5.79715,243.481,198821,0.00516699
6.2,5.79478,243.579,198640,0.00516699
6.4,5.7924,243.677,198459,0.00516699
6.6,5.79003,243.775,198279,0.00516699
6.8,5.78766,243.873,198099,0.00516699
7,5.78529,243.971,197918,0.00516699
7.2,5.78292,244.068,197738,0.00516699
7.4,5.78054,244.166,197558,0.00516699
7.6,5.77817,244.264,197378,0.00516699
7.8,5.7758,244.362,197198,0.00516699
8,5.77344,244.46,197019,0.00516699
8.2,5.77107,244.558,196839,0.00516699
8.4,5.7687,244.655,196660,0.00516699
8.6,5.76633,244.753,196481,0.00516699
8.8,5.76396,244.851,196302,0.00516699
9,5.7616,244.949,196123,0.00516699
9.2,5.75923,245.047,195944,0.00516699
9.4,5.75686,245.144,195765,0.00516699
9.6,5.7545,245.242,195587,0.00516699
9.8,5.75214,245.34,195408,0.00516699
10,5.75214,245.34,195408,0.00516699
