x,rho,u,P,t
-10,6.04007,233.546,217802,0.00353355
-9.8,6.04007,233.546,217802,0.00353355
-9.6,6.0383,233.618,217660,0.00353355
-9.4,6.03565,233.725,217448,0.00353355
-9.2,6.03255,233.851,217200,0.00353355
-9,6.02923,233.986,216935,0.00353355
-8.8,6.0258,234.125,216661,0.00353355
-8.6,6.02232,234.266,216383,0.00353355
-8.4,6.01881,234.409,216103,0.00353355
-8.2,6.01529,234.552,215823,0.00353355
-8,6.01176,234.696,215542,0.00353355
-7.8,6.00822,234.839,215261,0.00353355
-7.6,6.00469,234.983,214980,0.00353355
-7.4,6.00116,235.126,214699,0.00353355
-7.2,5.99763,235.27,214418,0.00353355
-7,5.99409,235.414,214138,0.00353355
-6.8,5.99056,235.558,213858,0.00353355
-6.6,5.98703,235.701,213578,0.00353355
-6.4,5.9835,235.845,213299,0.00353355
-6.2,5.97997,235.989,213019,0.00353355
-6,5.97644,236.132,212740,0.00353355
-5.8,5.97292,236.276,212462,0.00353355
-5.6,5.96939,236.42,212183,0.00353355
-5.4,5.96586,236.563,211905,0.00353355
-5.2,5.96234,236.707,211627,0.00353355
-5,5.95882,236.851,211350,0.00353355
-4.8,5.95529,236.995,211072,0.00353355
-4.6,5.95177,237.138,210795,0.00353355
-4.4,5.94825,237.282,210518,0.00353355
-4.2,5.94473,237.426,210242,0.00353355
-4,5.94121,237.569,209965,0.00353355
-3.8,5.93769,237.713,209689,0.00353355
-3.6,5.93417,237.857,209413,0.00353355
-3.4,5.93066,238,209138,0.00353355
-3.2,5.92714,238.144,208863,0.00353355
-3,5.92362,238.288,208587,0.00353355
-2.8,5.92011,238.431,208313,0.00353355
-2.6,5.9166,238.575,208038,0.00353355
-2.4,5.91308,238.719,207764,0.00353355
-2.2,5.90957,238.862,207490,0.00353355
-2,5.90606,239.006,207216,0.00353355
-1.8,5.90255,239.15,206943,0.00353355
-1.6,5.89904,239.293,206670,0.00353355
-1.4,5.89553,239.437,206397,0.00353355
-1.2,5.89202,239.581,206124,0.00353355
-1,5.88852,239.724,205852,0.00353355
-0.8,5.88501,239.868,205580,0.00353355
-0.6,5.88151,240.012,205308,0.00353355
-0.4,5.878,240.155,205037,0.00353355
-0.2,5.8745,240.299,204765,0.00353355
0,5.871,240.442,204494,0.00353355
0.2,5.8675,240.586,204224,0.00353355
0.4,5.864,240.73,203953,0.00353355
0.6,5.86052,240.873,203684,0.00353355
0.8,5.85704,241.016,203416,0.00353355
1,5.85356,241.158,203147,0.00353355
1.2,5.85008,241.301,202880,0.00353355
1.4,5.84661,241.444,202612,0.00353355
1.6,5.84314,241.586,202345,0.00353355
1.8,5.83967,241.729,202079,0.00353355
2,5.8362,241.871,201812,0.00353355
2.2,5.83274,242.014,201546,0.00353355
2.4,5.82928,242.156,201281,0.00353355
2.6,5.82581,242.299,201015,0.00353355
2.8,5.82235,242.441,200750,0.00353355
3,5.81889,242.583,200485,0.00353355
3.2,5.81544,242.726,200221,0.00353355
3.4,5.81198,242.868,199957,0.00353355
3.6,5.80853,243.01,199693,0.00353355
3.8,5.80507,243.153,199429,0.00353355
4,5.80162,243.295,199166,0.00353355
4.2,5.79817,243.437,198903,0.00353355
4.4,5.79472,243.579,198641,0.00353355
4.6,5.79127,243.721,198378,0.00353355
4.8,5.78783,243.863,198116,0.00353355
5,5.78438,244.006,197854,0.00353355
5.2,5.78094,244.148,197593,0.00353355
5.4,5.7775,244.29,197332,0.00353355
5.6,5.77406,244.432,197071,0.00353355
5.8,5.77062,244.574,196810,0.00353355
6,5.76718,244.716,196550,0.00353355
6.2,5.76374,244.858,196290,0.00353355
6.4,5.7603,245,196030,0.00353355
6.6,5.75687,245.142,195770,0.00353355
6.8,5.75343,245.284,195511,0.00353355
7,5.75,245.426,195252,0.00353355
7.2,5.74657,245.568,194994,0.00353355
7.4,5.74314,245.709,194735,0.00353355
7.6,5.73971,245.851,194477,0.00353355
7.8,5.73628,245.993,194220,0.00353355
8,5.73286,246.135,193962,0.00353355
8.2,5.72943,246.277,193705,0.00353355
8.4,5.72601,246.419,193448,0.00353355
8.6,5.72258,246.56,193191,0.00353355
8.8,5.71916,246.702,192935,0.00353355
9,5.71574,246.844,192679,0.00353355
9.2,5.71232,246.986,192423,0.00353355
9.4,5.7089,247.127,192168,0.00353355
9.6,5.70549,247.269,191913,0.00353355
9.8,5.70207,247.411,191658,0.00353355
10,5.70207,247.411,191658,0.00353355
