x,rho,u,P,t
-10,5.93889,237.666,209779,0.00831464
-9.8,5.93889,237.666,209779,0.00831464
-9.6,5.93814,237.697,209720,0.00831464
-9.4,5.93701,237.743,209632,0.00831464
-9.2,5.93569,237.797,209529,0.00831464
-9,5.93428,237.854,209418,0.00831464
-8.8,5.93282,237.914,209304,0.00831464
-8.6,5.93134,237.974,209187,0.00831464
-8.4,5.92985,238.035,209070,0.00831464
-8.2,5.92835,238.097,208953,0.00831464
-8,5.92685,238.158,208835,0.00831464
-7.8,5.92534,238.22,208718,0.00831464
-7.6,5.92384,238.281,208600,0.00831464
-7.4,5.92233,238.343,208482,0.00831464
-7.2,5.92083,238.404,208365,0.00831464
-7,5.91933,238.466,208247,0.00831464
-6.8,5.91782,238.527,208130,0.00831464
-6.6,5.91632,238.589,208012,0.00831464
-6.4,5.91481,238.65,207895,0.00831464
-6.2,5.91331,238.712,207777,0.00831464
-6,5.91181,238.773,207660,0.00831464
-5.8,5.9103,238.835,207542,0.00831464
-5.6,5.9088,238.896,207425,0.00831464
-5.4,5.9073,238.958,207308,0.00831464
-5.2,5.90579,239.019,207191,0.00831464
-5,5.90429,239.081,207074,0.00831464
-4.8,5.90279,239.142,206957,0.00831464
-4.6,5.90128,239.204,206840,0.00831464
-4.4,5.89978,239.265,206723,0.00831464
-4.2,5.89828,239.327,206606,0.00831464
-4,5.89678,239.388,206489,0.00831464
-3.8,5.89528,239.45,206372,0.00831464
-3.6,5.89377,239.512,206255,0.00831464
-3.4,5.89227,239.573,206139,0.00831464
-3.2,5.89077,239.635,206022,0.00831464
-3,5.88927,239.696,205905,0.00831464
-2.8,5.88777,239.758,205789,0.00831464
-2.6,5.88627,239.819,205672,0.00831464
-2.4,5.88477,239.881,205556,0.00831464
-2.2,5.88327,239.942,205439,0.00831464
-2,5.88177,240.004,205323,0.00831464
-1.8,5.88027,240.065,205206,0.00831464
-1.6,5.87877,240.127,205090,0.00831464
-1.4,5.87727,240.188,204974,0.00831464
-1.2,5.87577,240.25,204858,0.00831464
-1,5.87427,240.311,204742,0.00831464
-0.8,5.87277,240.373,204625,0.00831464
-0.6,5.87127,240.434,204509,0.00831464
-0.4,5.86977,240.496,204393,0.00831464
-0.2,5.86827,240.557,204278,0.00831464
0,5.86677,240.619,204162,0.00831464
0.2,5.86527,240.68,204046,0.00831464
0.4,5.86377,240.742,203930,0.00831464
0.6,5.86228,240.803,203815,0.00831464
0.8,5.86078,240.865,203699,0.00831464
1,5.85929,240.926,203584,0.00831464
1.2,5.8578,240.987,203468,0.00831464
1.4,5.8563,241.049,203353,0.00831464
1.6,5.85481,241.11,203238,0.00831464
1.8,5.85332,241.171,203123,0.00831464
2,5.85183,241.232,203008,0.00831464
2.2,5.85033,241.294,202893,0.00831464
2.4,5.84884,241.355,202778,0.00831464
2.6,5.84735,241.416,202663,0.00831464
2.8,5.84586,241.478,202548,0.00831464
3,5.84437,241.539,202434,0.00831464
3.2,5.84288,241.6,202319,0.00831464
3.4,5.84139,241.661,202204,0.00831464
3.6,5.8399,241.723,202090,0.00831464
3.8,5.83841,241.784,201975,0.00831464
4,5.83692,241.845,201861,0.00831464
4.2,5.83543,241.907,201746,0.00831464
4.4,5.83394,241.968,201632,0.00831464
4.6,5.83245,242.029,201518,0.00831464
4.8,5.83096,242.09,201403,0.00831464
5,5.82947,242.152,201289,0.00831464
5.2,5.82798,242.213,201175,0.00831464
5.4,5.82649,242.274,201061,0.00831464
5.6,5.82501,242.335,200947,0.00831464
5.8,5.82352,242.396,200833,0.00831464
6,5.82203,242.458,200719,0.00831464
6.2,5.82054,242.519,200605,0.00831464
6.4,5.81906,242.58,200491,0.00831464
6.6,5.81757,242.641,200377,0.00831464
6.8,5.81608,242.703,200263,0.00831464
7,5.81459,242.764,200150,0.00831464
7.2,5.81311,242.825,200036,0.00831464
7.4,5.81162,242.886,199922,0.00831464
7.6,5.81014,242.948,199809,0.00831464
7.8,5.80865,243.009,199695,0.00831464
8,5.80716,243.07,199582,0.00831464
8.2,5.80568,243.131,199468,0.00831464
8.4,5.80419,243.192,199355,0.00831464
8.6,5.80271,243.254,199242,0.00831464
8.8,5.80122,243.315,199129,0.00831464
9,5.79974,243.376,199015,0.00831464
9.2,5.79825,243.437,198902,0.00831464
9.4,5.79677,243.498,198789,0.00831464
9.6,5.79529,243.56,198676,0.00831464
9.8,5.7938,243.621,198563,0.00831464
10,5.7938,243.621,198563,0.00831464
