x,rho,u,P,t
-10,5.91198,238.766,207673,0.0129582
-9.8,5.91198,238.766,207673,0.0129582
-9.6,5.91149,238.786,207635,0.0129582
-9.4,5.91077,238.816,207578,0.0129582
-9.2,5.90992,238.85,207512,0.0129582
-9,5.90902,238.888,207442,0.0129582
-8.8,5.90808,238.926,207369,0.0129582
-8.6,5.90713,238.965,207295,0.0129582
-8.4,5.90617,239.004,207220,0.0129582
-8.2,5.90521,239.044,207145,0.0129582
-8,5.90424,239.083,207070,0.0129582
-7.8,5.90328,239.123,206994,0.0129582
-7.6,5.90231,239.162,206919,0.0129582
-7.4,5.90135,239.202,206844,0.0129582
-7.2,5.90038,239.241,206769,0.0129582
-7,5.89941,239.281,206693,0.0129582
-6.8,5.89845,239.32,206618,0.0129582
-6.6,5.89748,239.36,206543,0.0129582
-6.4,5.89651,239.4,206468,0.0129582
-6.2,5.89555,239.439,206393,0.0129582
-6,5.89458,239.479,206318,0.0129582
-5.8,5.89362,239.518,206242,0.0129582
-5.6,5.89265,239.558,206167,0.0129582
-5.4,5.89169,239.597,206092,0.0129582
-5.2,5.89072,239.637,206017,0.0129582
-5,5.88975,239.677,205942,0.0129582
-4.8,5.88879,239.716,205867,0.0129582
-4.6,5.88782,239.756,205792,0.0129582
-4.4,5.88686,239.795,205717,0.0129582
-4.2,5.88589,239.835,205642,0.0129582
-4,5.88493,239.874,205567,0.0129582
-3.8,5.88396,239.914,205493,0.0129582
-3.6,5.883,239.954,205418,0.0129582
-3.4,5.88203,239.993,205343,0.0129582
-3.2,5.88107,240.033,205268,0.0129582
-3,5.8801,240.072,205193,0.0129582
-2.8,5.87914,240.112,205118,0.0129582
-2.6,5.87817,240.151,205044,0.0129582
-2.4,5.87721,240.191,204969,0.0129582
-2.2,5.87624,240.231,204894,0.0129582
-2,5.87528,240.27,204819,0.0129582
-1.8,5.87431,240.31,204745,0.0129582
-1.6,5.87335,240.349,204670,0.0129582
-1.4,5.87238,240.389,204595,0.0129582
-1.2,5.87142,240.428,204521,0.0129582
-1,5.87046,240.468,204446,0.0129582
-0.8,5.86949,240.507,204371,0.0129582
-0.6,5.86853,240.547,204297,0.0129582
-0.4,5.86756,240.587,204222,0.0129582
-0.2,5.8666,240.626,204148,0.0129582
0,5.86564,240.666,204073,0.0129582
0.2,5.86467,240.705,203999,0.0129582
0.4,5.86371,240.745,203924,0.0129582
0.6,5.86275,240.784,203850,0.0129582
0.8,5.86178,240.824,203776,0.0129582
1,5.86082,240.863,203701,0.0129582
1.2,5.85986,240.903,203627,0.0129582
1.4,5.8589,240.942,203553,0.0129582
1.6,5.85794,240.982,203479,0.0129582
1.8,5.85698,241.021,203404,0.0129582
2,5.85602,241.061,203330,0.0129582
2.2,5.85505,241.1,203256,0.0129582
2.4,5.85409,241.14,203182,0.0129582
2.6,5.85313,241.179,203108,0.0129582
2.8,5.85217,241.219,203034,0.0129582
3,5.85121,241.258,202960,0.0129582
3.2,5.85025,241.298,202886,0.0129582
3.4,5.84929,241.337,202812,0.0129582
3.6,5.84833,241.377,202738,0.0129582
3.8,5.84737,241.416,202664,0.0129582
4,5.84641,241.455,202590,0.0129582
4.2,5.84545,241.495,202516,0.0129582
4.4,5.84449,241.534,202442,0.0129582
4.6,5.84353,241.574,202368,0.0129582
4.8,5.84257,241.613,202294,0.0129582
5,5.84161,241.653,202221,0.0129582
5.2,5.84065,241.692,202147,0.0129582
5.4,5.83969,241.732,202073,0.0129582
5.6,5.83873,241.771,201999,0.0129582
5.8,5.83777,241.811,201925,0.0129582
6,5.83681,241.85,201852,0.0129582
6.2,5.83585,241.889,201778,0.0129582
6.4,5.83489,241.929,201704,0.0129582
6.6,5.83393,241.968,201631,0.0129582
6.8,5.83298,242.008,201557,0.0129582
7,5.83202,242.047,201483,0.0129582
7.2,5.83106,242.087,201410,0.0129582
7.4,5.8301,242.126,201336,0.0129582
7.6,5.82914,242.166,201263,0.0129582
7.8,5.82818,242.205,201189,0.0129582
8,5.82722,242.244,201116,0.0129582
8.2,5.82626,242.284,201042,0.0129582
8.4,5.82531,242.323,200969,0.0129582
8.6,5.82435,242.363,200895,0.0129582
8.8,5.82339,242.402,200822,0.0129582
9,5.82243,242.442,200748,0.0129582
9.2,5.82147,242.481,200675,0.0129582
9.4,5.82052,242.521,200602,0.0129582
9.6,5.81956,242.56,200528,0.0129582
9.8,5.8186,242.599,200455,0.0129582
10,5.8186,242.599,200455,0.0129582
