x,rho,u,P,t
-10,5.93602,237.783,209554,0.00864618
-9.8,5.93602,237.783,209554,0.00864618
-9.6,5.93529,237.813,209497,0.00864618
-9.4,5.93421,237.857,209412,0.00864618
-9.2,5.93294,237.909,209313,0.00864618
-9,5.93158,237.965,209206,0.00864618
-8.8,5.93018,238.022,209096,0.00864618
-8.6,5.92875,238.08,208985,0.00864618
-8.4,5.92732,238.139,208872,0.00864618
-8.2,5.92587,238.198,208759,0.00864618
-8,5.92443,238.257,208646,0.00864618
-7.8,5.92298,238.316,208533,0.00864618
-7.6,5.92154,238.375,208420,0.00864618
-7.4,5.92009,238.434,208307,0.00864618
-7.2,5.91864,238.494,208194,0.00864618
-7,5.9172,238.553,208081,0.00864618
-6.8,5.91575,238.612,207968,0.00864618
-6.6,5.9143,238.671,207855,0.00864618
-6.4,5.91286,238.73,207742,0.00864618
-6.2,5.91141,238.789,207629,0.00864618
-6,5.90997,238.849,207516,0.00864618
-5.8,5.90852,238.908,207403,0.00864618
-5.6,5.90707,238.967,207291,0.00864618
-5.4,5.90563,239.026,207178,0.00864618
-5.2,5.90418,239.085,207065,0.00864618
-5,5.90274,239.145,206953,0.00864618
-4.8,5.90129,239.204,206840,0.00864618
-4.6,5.89985,239.263,206728,0.00864618
-4.4,5.8984,239.322,206615,0.00864618
-4.2,5.89696,239.381,206503,0.00864618
-4,5.89551,239.44,206390,0.00864618
-3.8,5.89407,239.5,206278,0.00864618
-3.6,5.89262,239.559,206166,0.00864618
-3.4,5.89118,239.618,206053,0.00864618
-3.2,5.88973,239.677,205941,0.00864618
-3,5.88829,239.736,205829,0.00864618
-2.8,5.88685,239.795,205717,0.00864618
-2.6,5.8854,239.855,205605,0.00864618
-2.4,5.88396,239.914,205493,0.00864618
-2.2,5.88252,239.973,205381,0.00864618
-2,5.88107,240.032,205269,0.00864618
-1.8,5.87963,240.091,205157,0.00864618
-1.6,5.87819,240.15,205045,0.00864618
-1.4,5.87674,240.21,204933,0.00864618
-1.2,5.8753,240.269,204822,0.00864618
-1,5.87386,240.328,204710,0.00864618
-0.8,5.87242,240.387,204598,0.00864618
-0.6,5.87097,240.446,204487,0.00864618
-0.4,5.86953,240.505,204375,0.00864618
-0.2,5.86809,240.565,204264,0.00864618
0,5.86665,240.624,204152,0.00864618
0.2,5.86521,240.683,204041,0.00864618
0.4,5.86377,240.742,203929,0.00864618
0.6,5.86233,240.801,203818,0.00864618
0.8,5.86089,240.86,203707,0.00864618
1,5.85945,240.919,203596,0.00864618
1.2,5.85802,240.978,203485,0.00864618
1.4,5.85658,241.037,203375,0.00864618
1.6,5.85514,241.096,203264,0.00864618
1.8,5.85371,241.155,203153,0.00864618
2,5.85227,241.214,203042,0.00864618
2.2,5.85084,241.273,202932,0.00864618
2.4,5.8494,241.332,202821,0.00864618
2.6,5.84797,241.391,202711,0.00864618
2.8,5.84653,241.45,202600,0.00864618
3,5.8451,241.509,202490,0.00864618
3.2,5.84366,241.568,202379,0.00864618
3.4,5.84223,241.627,202269,0.00864618
3.6,5.8408,241.686,202159,0.00864618
3.8,5.83936,241.745,202049,0.00864618
4,5.83793,241.804,201938,0.00864618
4.2,5.8365,241.863,201828,0.00864618
4.4,5.83506,241.922,201718,0.00864618
4.6,5.83363,241.98,201608,0.00864618
4.8,5.8322,242.039,201498,0.00864618
5,5.83077,242.098,201388,0.00864618
5.2,5.82933,242.157,201278,0.00864618
5.4,5.8279,242.216,201169,0.00864618
5.6,5.82647,242.275,201059,0.00864618
5.8,5.82504,242.334,200949,0.00864618
6,5.82361,242.393,200839,0.00864618
6.2,5.82218,242.452,200730,0.00864618
6.4,5.82074,242.511,200620,0.00864618
6.6,5.81931,242.57,200511,0.00864618
6.8,5.81788,242.629,200401,0.00864618
7,5.81645,242.687,200292,0.00864618
7.2,5.81502,242.746,200182,0.00864618
7.4,5.81359,242.805,200073,0.00864618
7.6,5.81216,242.864,199964,0.00864618
7.8,5.81073,242.923,199854,0.00864618
8,5.8093,242.982,199745,0.00864618
8.2,5.80787,243.041,199636,0.00864618
8.4,5.80644,243.1,199527,0.00864618
8.6,5.80501,243.159,199418,0.00864618
8.8,5.80359,243.217,199309,0.00864618
9,5.80216,243.276,199200,0.00864618
9.2,5.80073,243.335,199091,0.00864618
9.4,5.7993,243.394,198982,0.00864618
9.6,5.79787,243.453,198873,0.00864618
9.8,5.79644,243.512,198764,0.00864618
10,5.79644,243.512,198764,0.00864618
