x,rho,u,P,t
-10,5.90712,238.965,207293,0.0144099
-9.8,5.90712,238.965,207293,0.0144099
-9.6,5.90668,238.983,207260,0.0144099
-9.4,5.90603,239.01,207209,0.0144099
-9.2,5.90527,239.041,207149,0.0144099
-9,5.90445,239.074,207086,0.0144099
-8.8,5.90361,239.109,207020,0.0144099
-8.6,5.90275,239.144,206954,0.0144099
-8.4,5.90189,239.179,206886,0.0144099
-8.2,5.90103,239.215,206819,0.0144099
-8,5.90016,239.25,206751,0.0144099
-7.8,5.89929,239.286,206684,0.0144099
-7.6,5.89842,239.321,206616,0.0144099
-7.4,5.89755,239.357,206549,0.0144099
-7.2,5.89668,239.393,206481,0.0144099
-7,5.89581,239.428,206413,0.0144099
-6.8,5.89495,239.464,206346,0.0144099
-6.6,5.89408,239.499,206278,0.0144099
-6.4,5.89321,239.535,206211,0.0144099
-6.2,5.89234,239.571,206143,0.0144099
-6,5.89147,239.606,206076,0.0144099
-5.8,5.8906,239.642,206008,0.0144099
-5.6,5.88973,239.677,205941,0.0144099
-5.4,5.88886,239.713,205873,0.0144099
-5.2,5.888,239.749,205806,0.0144099
-5,5.88713,239.784,205738,0.0144099
-4.8,5.88626,239.82,205671,0.0144099
-4.6,5.88539,239.855,205603,0.0144099
-4.4,5.88452,239.891,205536,0.0144099
-4.2,5.88365,239.927,205468,0.0144099
-4,5.88278,239.962,205401,0.0144099
-3.8,5.88192,239.998,205334,0.0144099
-3.6,5.88105,240.033,205266,0.0144099
-3.4,5.88018,240.069,205199,0.0144099
-3.2,5.87931,240.105,205132,0.0144099
-3,5.87844,240.14,205065,0.0144099
-2.8,5.87758,240.176,204997,0.0144099
-2.6,5.87671,240.211,204930,0.0144099
-2.4,5.87584,240.247,204863,0.0144099
-2.2,5.87497,240.283,204796,0.0144099
-2,5.87411,240.318,204728,0.0144099
-1.8,5.87324,240.354,204661,0.0144099
-1.6,5.87237,240.389,204594,0.0144099
-1.4,5.8715,240.425,204527,0.0144099
-1.2,5.87063,240.461,204460,0.0144099
-1,5.86977,240.496,204393,0.0144099
-0.8,5.8689,240.532,204325,0.0144099
-0.6,5.86803,240.567,204258,0.0144099
-0.4,5.86717,240.603,204191,0.0144099
-0.2,5.8663,240.639,204124,0.0144099
0,5.86543,240.674,204057,0.0144099
0.2,5.86456,240.71,203990,0.0144099
0.4,5.8637,240.745,203923,0.0144099
0.6,5.86283,240.781,203856,0.0144099
0.8,5.86197,240.816,203789,0.0144099
1,5.8611,240.852,203723,0.0144099
1.2,5.86023,240.888,203656,0.0144099
1.4,5.85937,240.923,203589,0.0144099
1.6,5.8585,240.959,203522,0.0144099
1.8,5.85764,240.994,203455,0.0144099
2,5.85677,241.03,203389,0.0144099
2.2,5.85591,241.065,203322,0.0144099
2.4,5.85504,241.101,203255,0.0144099
2.6,5.85418,241.136,203189,0.0144099
2.8,5.85332,241.172,203122,0.0144099
3,5.85245,241.207,203055,0.0144099
3.2,5.85159,241.243,202989,0.0144099
3.4,5.85072,241.278,202922,0.0144099
3.6,5.84986,241.314,202855,0.0144099
3.8,5.84899,241.349,202789,0.0144099
4,5.84813,241.385,202722,0.0144099
4.2,5.84727,241.42,202656,0.0144099
4.4,5.8464,241.456,202589,0.0144099
4.6,5.84554,241.491,202523,0.0144099
4.8,5.84467,241.527,202456,0.0144099
5,5.84381,241.562,202390,0.0144099
5.2,5.84295,241.598,202323,0.0144099
5.4,5.84208,241.633,202257,0.0144099
5.6,5.84122,241.669,202190,0.0144099
5.8,5.84035,241.704,202124,0.0144099
6,5.83949,241.74,202057,0.0144099
6.2,5.83863,241.775,201991,0.0144099
6.4,5.83776,241.811,201925,0.0144099
6.6,5.8369,241.846,201858,0.0144099
6.8,5.83604,241.882,201792,0.0144099
7,5.83517,241.917,201726,0.0144099
7.2,5.83431,241.953,201659,0.0144099
7.4,5.83345,241.988,201593,0.0144099
7.6,5.83259,242.024,201527,0.0144099
7.8,5.83172,242.059,201461,0.0144099
8,5.83086,242.095,201394,0.0144099
8.2,5.83,242.13,201328,0.0144099
8.4,5.82913,242.166,201262,0.0144099
8.6,5.82827,242.201,201196,0.0144099
8.8,5.82741,242.237,201130,0.0144099
9,5.82655,242.272,201064,0.0144099
9.2,5.82568,242.308,200997,0.0144099
9.4,5.82482,242.343,200931,0.0144099
9.6,5.82396,242.379,200865,0.0144099
9.8,5.8231,242.414,200799,0.0144099
10,5.8231,242.414,200799,0.0144099
