x,rho,u,P,t
-10,5.9615,236.743,211558,0.00638825
-9.8,5.9615,236.743,211558,0.00638825
-9.6,5.96052,236.783,211480,0.00638825
-9.4,5.95905,236.843,211365,0.00638825
-9.2,5.95733,236.913,211230,0.00638825
-9,5.9555,236.988,211085,0.00638825
-8.8,5.9536,237.065,210936,0.00638825
-8.6,5.95167,237.144,210784,0.00638825
-8.4,5.94973,237.223,210631,0.00638825
-8.2,5.94778,237.303,210478,0.00638825
-8,5.94582,237.383,210324,0.00638825
-7.8,5.94387,237.462,210171,0.00638825
-7.6,5.94191,237.542,210017,0.00638825
-7.4,5.93995,237.622,209863,0.00638825
-7.2,5.938,237.702,209710,0.00638825
-7,5.93604,237.782,209556,0.00638825
-6.8,5.93408,237.862,209403,0.00638825
-6.6,5.93213,237.942,209250,0.00638825
-6.4,5.93017,238.022,209096,0.00638825
-6.2,5.92822,238.102,208943,0.00638825
-6,5.92626,238.182,208790,0.00638825
-5.8,5.92431,238.262,208637,0.00638825
-5.6,5.92235,238.342,208484,0.00638825
-5.4,5.9204,238.422,208331,0.00638825
-5.2,5.91844,238.501,208179,0.00638825
-5,5.91649,238.581,208026,0.00638825
-4.8,5.91453,238.661,207873,0.00638825
-4.6,5.91258,238.741,207721,0.00638825
-4.4,5.91063,238.821,207568,0.00638825
-4.2,5.90867,238.901,207416,0.00638825
-4,5.90672,238.981,207264,0.00638825
-3.8,5.90477,239.061,207112,0.00638825
-3.6,5.90282,239.141,206960,0.00638825
-3.4,5.90086,239.221,206808,0.00638825
-3.2,5.89891,239.301,206656,0.00638825
-3,5.89696,239.381,206504,0.00638825
-2.8,5.89501,239.461,206352,0.00638825
-2.6,5.89306,239.541,206200,0.00638825
-2.4,5.89111,239.62,206049,0.00638825
-2.2,5.88916,239.7,205897,0.00638825
-2,5.88721,239.78,205746,0.00638825
-1.8,5.88526,239.86,205594,0.00638825
-1.6,5.88331,239.94,205443,0.00638825
-1.4,5.88136,240.02,205292,0.00638825
-1.2,5.87941,240.1,205141,0.00638825
-1,5.87746,240.18,204990,0.00638825
-0.8,5.87551,240.26,204839,0.00638825
-0.6,5.87356,240.34,204688,0.00638825
-0.4,5.87162,240.42,204537,0.00638825
-0.2,5.86967,240.499,204387,0.00638825
0,5.86772,240.579,204236,0.00638825
0.2,5.86577,240.659,204085,0.00638825
0.4,5.86383,240.739,203935,0.00638825
0.6,5.86189,240.819,203785,0.00638825
0.8,5.85995,240.899,203635,0.00638825
1,5.85801,240.978,203486,0.00638825
1.2,5.85607,241.058,203336,0.00638825
1.4,5.85413,241.137,203186,0.00638825
1.6,5.85219,241.217,203037,0.00638825
1.8,5.85025,241.297,202888,0.00638825
2,5.84832,241.376,202739,0.00638825
2.2,5.84638,241.456,202590,0.00638825
2.4,5.84445,241.535,202441,0.00638825
2.6,5.84251,241.615,202292,0.00638825
2.8,5.84058,241.694,202143,0.00638825
3,5.83864,241.774,201994,0.00638825
3.2,5.83671,241.853,201846,0.00638825
3.4,5.83478,241.933,201697,0.00638825
3.6,5.83284,242.012,201549,0.00638825
3.8,5.83091,242.092,201401,0.00638825
4,5.82898,242.171,201252,0.00638825
4.2,5.82705,242.251,201104,0.00638825
4.4,5.82512,242.33,200956,0.00638825
4.6,5.82318,242.41,200808,0.00638825
4.8,5.82125,242.489,200660,0.00638825
5,5.81932,242.569,200512,0.00638825
5.2,5.81739,242.648,200365,0.00638825
5.4,5.81546,242.728,200217,0.00638825
5.6,5.81353,242.807,200070,0.00638825
5.8,5.81161,242.886,199922,0.00638825
6,5.80968,242.966,199775,0.00638825
6.2,5.80775,243.045,199628,0.00638825
6.4,5.80582,243.125,199480,0.00638825
6.6,5.80389,243.204,199333,0.00638825
6.8,5.80197,243.284,199186,0.00638825
7,5.80004,243.363,199040,0.00638825
7.2,5.79811,243.442,198893,0.00638825
7.4,5.79619,243.522,198746,0.00638825
7.6,5.79426,243.601,198599,0.00638825
7.8,5.79234,243.681,198453,0.00638825
8,5.79041,243.76,198306,0.00638825
8.2,5.78849,243.839,198160,0.00638825
8.4,5.78656,243.919,198014,0.00638825
8.6,5.78464,243.998,197867,0.00638825
8.8,5.78271,244.078,197721,0.00638825
9,5.78079,244.157,197575,0.00638825
9.2,5.77887,244.236,197429,0.00638825
9.4,5.77694,244.316,197283,0.00638825
9.6,5.77502,244.395,197138,0.00638825
9.8,5.7731,244.474,196992,0.00638825
10,5.7731,244.474,196992,0.00638825
