x,rho,u,P,t
-10,6.41378,218.556,248805,0.00112498
-9.8,6.41378,218.556,248805,0.00112498
-9.6,6.40821,218.777,248328,0.00112498
-9.4,6.39985,219.108,247613,0.00112498
-9.2,6.3901,219.495,246780,0.00112498
-9,6.37964,219.909,245889,0.00112498
-8.8,6.36884,220.338,244970,0.00112498
-8.6,6.35787,220.774,244039,0.00112498
-8.4,6.34682,221.213,243102,0.00112498
-8.2,6.33573,221.654,242164,0.00112498
-8,6.32462,222.096,241227,0.00112498
-7.8,6.31351,222.538,240291,0.00112498
-7.6,6.30241,222.981,239357,0.00112498
-7.4,6.29131,223.423,238426,0.00112498
-7.2,6.28021,223.866,237496,0.00112498
-7,6.26913,224.309,236570,0.00112498
-6.8,6.25805,224.751,235646,0.00112498
-6.6,6.24698,225.194,234724,0.00112498
-6.4,6.23591,225.637,233805,0.00112498
-6.2,6.22486,226.079,232889,0.00112498
-6,6.21381,226.522,231975,0.00112498
-5.8,6.20278,226.964,231063,0.00112498
-5.6,6.19175,227.407,230155,0.00112498
-5.4,6.18072,227.849,229248,0.00112498
-5.2,6.16971,228.292,228344,0.00112498
-5,6.1587,228.734,227443,0.00112498
-4.8,6.1477,229.177,226544,0.00112498
-4.6,6.13671,229.619,225648,0.00112498
-4.4,6.12573,230.062,224754,0.00112498
-4.2,6.11476,230.504,223863,0.00112498
-4,6.10379,230.947,222974,0.00112498
-3.8,6.09283,231.389,222088,0.00112498
-3.6,6.08188,231.832,221204,0.00112498
-3.4,6.07094,232.274,220323,0.00112498
-3.2,6.06,232.716,219445,0.00112498
-3,6.04908,233.159,218568,0.00112498
-2.8,6.03816,233.601,217695,0.00112498
-2.6,6.02725,234.043,216824,0.00112498
-2.4,6.01635,234.486,215955,0.00112498
-2.2,6.00545,234.928,215089,0.00112498
-2,5.99457,235.37,214225,0.00112498
-1.8,5.98369,235.813,213364,0.00112498
-1.6,5.97282,236.255,212506,0.00112498
-1.4,5.96196,236.697,211650,0.00112498
-1.2,5.9511,237.139,210796,0.00112498
-1,5.94026,237.581,209945,0.00112498
-0.8,5.92942,238.023,209097,0.00112498
-0.6,5.91859,238.465,208251,0.00112498
-0.4,5.90777,238.907,207408,0.00112498
-0.2,5.89696,239.349,206567,0.00112498
0,5.88617,239.791,205729,0.00112498
0.2,5.87538,240.233,204894,0.00112498
0.4,5.86461,240.674,204062,0.00112498
0.6,5.85391,241.113,203237,0.00112498
0.8,5.84328,241.549,202420,0.00112498
1,5.8327,241.983,201608,0.00112498
1.2,5.82215,242.417,200800,0.00112498
1.4,5.81163,242.849,199996,0.00112498
1.6,5.80113,243.281,199196,0.00112498
1.8,5.79065,243.712,198400,0.00112498
2,5.7802,244.143,197606,0.00112498
2.2,5.76977,244.573,196816,0.00112498
2.4,5.75936,245.003,196030,0.00112498
2.6,5.74896,245.432,195246,0.00112498
2.8,5.73859,245.861,194466,0.00112498
3,5.72823,246.289,193689,0.00112498
3.2,5.7179,246.716,192916,0.00112498
3.4,5.70759,247.143,192145,0.00112498
3.6,5.69729,247.57,191378,0.00112498
3.8,5.68702,247.996,190614,0.00112498
4,5.67677,248.421,189854,0.00112498
4.2,5.66654,248.846,189097,0.00112498
4.4,5.65633,249.27,188343,0.00112498
4.6,5.64615,249.693,187593,0.00112498
4.8,5.63599,250.116,186846,0.00112498
5,5.62585,250.538,186103,0.00112498
5.2,5.61574,250.959,185363,0.00112498
5.4,5.60566,251.379,184627,0.00112498
5.6,5.59561,251.799,183895,0.00112498
5.8,5.58559,252.217,183167,0.00112498
6,5.57561,252.634,182443,0.00112498
6.2,5.56566,253.05,181723,0.00112498
6.4,5.55574,253.465,181008,0.00112498
6.6,5.54586,253.879,180297,0.00112498
6.8,5.53603,254.291,179590,0.00112498
7,5.52624,254.701,178889,0.00112498
7.2,5.5165,255.11,178192,0.00112498
7.4,5.50681,255.517,177501,0.00112498
7.6,5.49717,255.921,176815,0.00112498
7.8,5.4876,256.324,176135,0.00112498
8,5.47809,256.724,175461,0.00112498
8.2,5.46866,257.121,174794,0.00112498
8.4,5.45929,257.515,174134,0.00112498
8.6,5.45002,257.906,173481,0.00112498
8.8,5.44083,258.294,172836,0.00112498
9,5.43175,258.677,172200,0.00112498
9.2,5.42277,259.056,171572,0.00112498
9.4,5.41392,259.431,170954,0.00112498
9.6,5.4052,259.8,170347,0.00112498
9.8,5.39662,260.163,169751,0.00112498
10,5.39662,260.163,169751,0.00112498
