x,rho,u,P,t
-10,5.90345,239.115,207008,0.0157374
-9.8,5.90345,239.115,207008,0.0157374
-9.6,5.90305,239.132,206977,0.0157374
-9.4,5.90246,239.156,206930,0.0157374
-9.2,5.90176,239.185,206876,0.0157374
-9,5.90101,239.215,206818,0.0157374
-8.8,5.90024,239.247,206758,0.0157374
-8.6,5.89946,239.279,206697,0.0157374
-8.4,5.89867,239.311,206635,0.0157374
-8.2,5.89788,239.344,206574,0.0157374
-8,5.89708,239.376,206512,0.0157374
-7.8,5.89629,239.409,206450,0.0157374
-7.6,5.89549,239.442,206388,0.0157374
-7.4,5.8947,239.474,206326,0.0157374
-7.2,5.8939,239.507,206264,0.0157374
-7,5.8931,239.539,206202,0.0157374
-6.8,5.89231,239.572,206141,0.0157374
-6.6,5.89151,239.605,206079,0.0157374
-6.4,5.89072,239.637,206017,0.0157374
-6.2,5.88992,239.67,205955,0.0157374
-6,5.88913,239.702,205893,0.0157374
-5.8,5.88833,239.735,205831,0.0157374
-5.6,5.88753,239.768,205770,0.0157374
-5.4,5.88674,239.8,205708,0.0157374
-5.2,5.88594,239.833,205646,0.0157374
-5,5.88515,239.865,205584,0.0157374
-4.8,5.88435,239.898,205523,0.0157374
-4.6,5.88356,239.931,205461,0.0157374
-4.4,5.88276,239.963,205399,0.0157374
-4.2,5.88197,239.996,205338,0.0157374
-4,5.88117,240.028,205276,0.0157374
-3.8,5.88038,240.061,205214,0.0157374
-3.6,5.87958,240.094,205153,0.0157374
-3.4,5.87879,240.126,205091,0.0157374
-3.2,5.87799,240.159,205029,0.0157374
-3,5.8772,240.192,204968,0.0157374
-2.8,5.8764,240.224,204906,0.0157374
-2.6,5.87561,240.257,204845,0.0157374
-2.4,5.87481,240.289,204783,0.0157374
-2.2,5.87402,240.322,204721,0.0157374
-2,5.87322,240.355,204660,0.0157374
-1.8,5.87243,240.387,204598,0.0157374
-1.6,5.87163,240.42,204537,0.0157374
-1.4,5.87084,240.452,204475,0.0157374
-1.2,5.87004,240.485,204414,0.0157374
-1,5.86925,240.518,204352,0.0157374
-0.8,5.86845,240.55,204291,0.0157374
-0.6,5.86766,240.583,204229,0.0157374
-0.4,5.86686,240.615,204168,0.0157374
-0.2,5.86607,240.648,204107,0.0157374
0,5.86528,240.681,204045,0.0157374
0.2,5.86448,240.713,203984,0.0157374
0.4,5.86369,240.746,203922,0.0157374
0.6,5.86289,240.778,203861,0.0157374
0.8,5.8621,240.811,203800,0.0157374
1,5.86131,240.843,203739,0.0157374
1.2,5.86052,240.876,203677,0.0157374
1.4,5.85972,240.909,203616,0.0157374
1.6,5.85893,240.941,203555,0.0157374
1.8,5.85814,240.974,203494,0.0157374
2,5.85735,241.006,203433,0.0157374
2.2,5.85655,241.039,203372,0.0157374
2.4,5.85576,241.071,203310,0.0157374
2.6,5.85497,241.104,203249,0.0157374
2.8,5.85418,241.136,203188,0.0157374
3,5.85338,241.169,203127,0.0157374
3.2,5.85259,241.201,203066,0.0157374
3.4,5.8518,241.234,203005,0.0157374
3.6,5.85101,241.267,202944,0.0157374
3.8,5.85022,241.299,202883,0.0157374
4,5.84943,241.332,202822,0.0157374
4.2,5.84863,241.364,202761,0.0157374
4.4,5.84784,241.397,202700,0.0157374
4.6,5.84705,241.429,202639,0.0157374
4.8,5.84626,241.462,202578,0.0157374
5,5.84547,241.494,202517,0.0157374
5.2,5.84468,241.527,202456,0.0157374
5.4,5.84388,241.559,202395,0.0157374
5.6,5.84309,241.592,202334,0.0157374
5.8,5.8423,241.624,202274,0.0157374
6,5.84151,241.657,202213,0.0157374
6.2,5.84072,241.689,202152,0.0157374
6.4,5.83993,241.722,202091,0.0157374
6.6,5.83914,241.754,202030,0.0157374
6.8,5.83835,241.787,201969,0.0157374
7,5.83756,241.82,201909,0.0157374
7.2,5.83676,241.852,201848,0.0157374
7.4,5.83597,241.885,201787,0.0157374
7.6,5.83518,241.917,201726,0.0157374
7.8,5.83439,241.95,201666,0.0157374
8,5.8336,241.982,201605,0.0157374
8.2,5.83281,242.015,201544,0.0157374
8.4,5.83202,242.047,201483,0.0157374
8.6,5.83123,242.08,201423,0.0157374
8.8,5.83044,242.112,201362,0.0157374
9,5.82965,242.145,201301,0.0157374
9.2,5.82886,242.177,201241,0.0157374
9.4,5.82807,242.21,201180,0.0157374
9.6,5.82728,242.242,201120,0.0157374
9.8,5.82649,242.275,201059,0.0157374
10,5.82649,242.275,201059,0.0157374
