x,rho,u,P,t
-10,5.90894,238.891,207436,0.0138292
-9.8,5.90894,238.891,207436,0.0138292
-9.6,5.90849,238.909,207400,0.0138292
-9.4,5.90781,238.937,207347,0.0138292
-9.2,5.90701,238.97,207285,0.0138292
-9,5.90616,239.004,207219,0.0138292
-8.8,5.90529,239.04,207151,0.0138292
-8.6,5.90439,239.077,207081,0.0138292
-8.4,5.9035,239.114,207011,0.0138292
-8.2,5.90259,239.151,206941,0.0138292
-8,5.90169,239.188,206871,0.0138292
-7.8,5.90078,239.225,206800,0.0138292
-7.6,5.89988,239.262,206730,0.0138292
-7.4,5.89897,239.299,206659,0.0138292
-7.2,5.89807,239.336,206589,0.0138292
-7,5.89716,239.373,206518,0.0138292
-6.8,5.89626,239.41,206448,0.0138292
-6.6,5.89535,239.447,206377,0.0138292
-6.4,5.89445,239.484,206307,0.0138292
-6.2,5.89354,239.521,206237,0.0138292
-6,5.89264,239.558,206166,0.0138292
-5.8,5.89173,239.596,206096,0.0138292
-5.6,5.89083,239.633,206026,0.0138292
-5.4,5.88992,239.67,205955,0.0138292
-5.2,5.88902,239.707,205885,0.0138292
-5,5.88811,239.744,205815,0.0138292
-4.8,5.88721,239.781,205744,0.0138292
-4.6,5.8863,239.818,205674,0.0138292
-4.4,5.8854,239.855,205604,0.0138292
-4.2,5.88449,239.892,205534,0.0138292
-4,5.88359,239.929,205463,0.0138292
-3.8,5.88268,239.966,205393,0.0138292
-3.6,5.88178,240.003,205323,0.0138292
-3.4,5.88087,240.041,205253,0.0138292
-3.2,5.87997,240.078,205183,0.0138292
-3,5.87907,240.115,205113,0.0138292
-2.8,5.87816,240.152,205043,0.0138292
-2.6,5.87726,240.189,204973,0.0138292
-2.4,5.87635,240.226,204903,0.0138292
-2.2,5.87545,240.263,204832,0.0138292
-2,5.87454,240.3,204762,0.0138292
-1.8,5.87364,240.337,204692,0.0138292
-1.6,5.87274,240.374,204622,0.0138292
-1.4,5.87183,240.411,204552,0.0138292
-1.2,5.87093,240.449,204483,0.0138292
-1,5.87003,240.486,204413,0.0138292
-0.8,5.86912,240.523,204343,0.0138292
-0.6,5.86822,240.56,204273,0.0138292
-0.4,5.86731,240.597,204203,0.0138292
-0.2,5.86641,240.634,204133,0.0138292
0,5.86551,240.671,204063,0.0138292
0.2,5.8646,240.708,203993,0.0138292
0.4,5.8637,240.745,203924,0.0138292
0.6,5.8628,240.782,203854,0.0138292
0.8,5.8619,240.819,203784,0.0138292
1,5.861,240.856,203715,0.0138292
1.2,5.86009,240.893,203645,0.0138292
1.4,5.85919,240.93,203575,0.0138292
1.6,5.85829,240.967,203506,0.0138292
1.8,5.85739,241.004,203436,0.0138292
2,5.85649,241.041,203367,0.0138292
2.2,5.85559,241.078,203297,0.0138292
2.4,5.85469,241.115,203228,0.0138292
2.6,5.85379,241.152,203158,0.0138292
2.8,5.85289,241.189,203089,0.0138292
3,5.85199,241.226,203019,0.0138292
3.2,5.85109,241.263,202950,0.0138292
3.4,5.85019,241.3,202881,0.0138292
3.6,5.84928,241.337,202811,0.0138292
3.8,5.84838,241.374,202742,0.0138292
4,5.84748,241.411,202673,0.0138292
4.2,5.84658,241.448,202603,0.0138292
4.4,5.84568,241.485,202534,0.0138292
4.6,5.84478,241.522,202465,0.0138292
4.8,5.84388,241.559,202395,0.0138292
5,5.84298,241.596,202326,0.0138292
5.2,5.84208,241.633,202257,0.0138292
5.4,5.84119,241.67,202188,0.0138292
5.6,5.84029,241.707,202119,0.0138292
5.8,5.83939,241.744,202049,0.0138292
6,5.83849,241.781,201980,0.0138292
6.2,5.83759,241.818,201911,0.0138292
6.4,5.83669,241.855,201842,0.0138292
6.6,5.83579,241.892,201773,0.0138292
6.8,5.83489,241.929,201704,0.0138292
7,5.83399,241.966,201635,0.0138292
7.2,5.83309,242.003,201566,0.0138292
7.4,5.83219,242.04,201497,0.0138292
7.6,5.83129,242.077,201428,0.0138292
7.8,5.83039,242.114,201359,0.0138292
8,5.8295,242.151,201290,0.0138292
8.2,5.8286,242.188,201221,0.0138292
8.4,5.8277,242.225,201152,0.0138292
8.6,5.8268,242.262,201083,0.0138292
8.8,5.8259,242.299,201014,0.0138292
9,5.825,242.336,200945,0.0138292
9.2,5.8241,242.373,200877,0.0138292
9.4,5.82321,242.41,200808,0.0138292
9.6,5.82231,242.447,200739,0.0138292
9.8,5.82141,242.484,200670,0.0138292
10,5.82141,242.484,200670,0.0138292
