x,rho,u,P,t
-10,5.90662,238.986,207255,0.0145758
-9.8,5.90662,238.986,207255,0.0145758
-9.6,5.90619,239.003,207221,0.0145758
-9.4,5.90555,239.03,207171,0.0145758
-9.2,5.90479,239.06,207113,0.0145758
-9,5.90399,239.093,207050,0.0145758
-8.8,5.90316,239.128,206985,0.0145758
-8.6,5.90231,239.162,206919,0.0145758
-8.4,5.90146,239.197,206853,0.0145758
-8.2,5.9006,239.232,206786,0.0145758
-8,5.89974,239.267,206719,0.0145758
-7.8,5.89888,239.302,206652,0.0145758
-7.6,5.89803,239.338,206585,0.0145758
-7.4,5.89717,239.373,206519,0.0145758
-7.2,5.89631,239.408,206452,0.0145758
-7,5.89545,239.443,206385,0.0145758
-6.8,5.89459,239.478,206318,0.0145758
-6.6,5.89373,239.514,206251,0.0145758
-6.4,5.89287,239.549,206184,0.0145758
-6.2,5.89201,239.584,206118,0.0145758
-6,5.89115,239.619,206051,0.0145758
-5.8,5.89029,239.654,205984,0.0145758
-5.6,5.88944,239.69,205917,0.0145758
-5.4,5.88858,239.725,205851,0.0145758
-5.2,5.88772,239.76,205784,0.0145758
-5,5.88686,239.795,205717,0.0145758
-4.8,5.886,239.83,205651,0.0145758
-4.6,5.88514,239.866,205584,0.0145758
-4.4,5.88428,239.901,205517,0.0145758
-4.2,5.88343,239.936,205451,0.0145758
-4,5.88257,239.971,205384,0.0145758
-3.8,5.88171,240.006,205318,0.0145758
-3.6,5.88085,240.042,205251,0.0145758
-3.4,5.87999,240.077,205185,0.0145758
-3.2,5.87913,240.112,205118,0.0145758
-3,5.87828,240.147,205051,0.0145758
-2.8,5.87742,240.182,204985,0.0145758
-2.6,5.87656,240.218,204918,0.0145758
-2.4,5.8757,240.253,204852,0.0145758
-2.2,5.87484,240.288,204786,0.0145758
-2,5.87399,240.323,204719,0.0145758
-1.8,5.87313,240.358,204653,0.0145758
-1.6,5.87227,240.394,204586,0.0145758
-1.4,5.87141,240.429,204520,0.0145758
-1.2,5.87055,240.464,204454,0.0145758
-1,5.8697,240.499,204387,0.0145758
-0.8,5.86884,240.534,204321,0.0145758
-0.6,5.86798,240.569,204254,0.0145758
-0.4,5.86712,240.605,204188,0.0145758
-0.2,5.86627,240.64,204122,0.0145758
0,5.86541,240.675,204056,0.0145758
0.2,5.86455,240.71,203989,0.0145758
0.4,5.8637,240.745,203923,0.0145758
0.6,5.86284,240.781,203857,0.0145758
0.8,5.86198,240.816,203791,0.0145758
1,5.86113,240.851,203725,0.0145758
1.2,5.86027,240.886,203659,0.0145758
1.4,5.85942,240.921,203593,0.0145758
1.6,5.85856,240.956,203527,0.0145758
1.8,5.85771,240.991,203461,0.0145758
2,5.85685,241.026,203395,0.0145758
2.2,5.856,241.062,203329,0.0145758
2.4,5.85514,241.097,203263,0.0145758
2.6,5.85429,241.132,203197,0.0145758
2.8,5.85343,241.167,203131,0.0145758
3,5.85258,241.202,203065,0.0145758
3.2,5.85172,241.237,202999,0.0145758
3.4,5.85087,241.272,202933,0.0145758
3.6,5.85001,241.307,202867,0.0145758
3.8,5.84916,241.343,202801,0.0145758
4,5.8483,241.378,202736,0.0145758
4.2,5.84745,241.413,202670,0.0145758
4.4,5.8466,241.448,202604,0.0145758
4.6,5.84574,241.483,202538,0.0145758
4.8,5.84489,241.518,202473,0.0145758
5,5.84403,241.553,202407,0.0145758
5.2,5.84318,241.588,202341,0.0145758
5.4,5.84232,241.623,202275,0.0145758
5.6,5.84147,241.659,202210,0.0145758
5.8,5.84062,241.694,202144,0.0145758
6,5.83976,241.729,202078,0.0145758
6.2,5.83891,241.764,202013,0.0145758
6.4,5.83806,241.799,201947,0.0145758
6.6,5.8372,241.834,201882,0.0145758
6.8,5.83635,241.869,201816,0.0145758
7,5.8355,241.904,201750,0.0145758
7.2,5.83464,241.939,201685,0.0145758
7.4,5.83379,241.974,201619,0.0145758
7.6,5.83294,242.01,201554,0.0145758
7.8,5.83208,242.045,201488,0.0145758
8,5.83123,242.08,201423,0.0145758
8.2,5.83038,242.115,201357,0.0145758
8.4,5.82952,242.15,201292,0.0145758
8.6,5.82867,242.185,201227,0.0145758
8.8,5.82782,242.22,201161,0.0145758
9,5.82696,242.255,201096,0.0145758
9.2,5.82611,242.29,201030,0.0145758
9.4,5.82526,242.325,200965,0.0145758
9.6,5.82441,242.36,200900,0.0145758
9.8,5.82355,242.396,200834,0.0145758
10,5.82355,242.396,200834,0.0145758
