x,rho,u,P,t
-10,5.98033,235.975,213046,0.00535323
-9.8,5.98033,235.975,213046,0.00535323
-9.6,5.97916,236.023,212953,0.00535323
-9.4,5.97741,236.094,212815,0.00535323
-9.2,5.97537,236.177,212653,0.00535323
-9,5.97318,236.267,212480,0.00535323
-8.8,5.97091,236.359,212301,0.00535323
-8.6,5.96861,236.453,212119,0.00535323
-8.4,5.96629,236.547,211936,0.00535323
-8.2,5.96397,236.642,211753,0.00535323
-8,5.96164,236.737,211569,0.00535323
-7.8,5.9593,236.832,211385,0.00535323
-7.6,5.95697,236.928,211201,0.00535323
-7.4,5.95463,237.023,211018,0.00535323
-7.2,5.9523,237.118,210834,0.00535323
-7,5.94997,237.213,210650,0.00535323
-6.8,5.94763,237.309,210467,0.00535323
-6.6,5.9453,237.404,210283,0.00535323
-6.4,5.94297,237.499,210100,0.00535323
-6.2,5.94063,237.594,209917,0.00535323
-6,5.9383,237.69,209734,0.00535323
-5.8,5.93597,237.785,209551,0.00535323
-5.6,5.93364,237.88,209368,0.00535323
-5.4,5.93131,237.975,209186,0.00535323
-5.2,5.92898,238.071,209003,0.00535323
-5,5.92664,238.166,208821,0.00535323
-4.8,5.92431,238.261,208638,0.00535323
-4.6,5.92199,238.356,208456,0.00535323
-4.4,5.91966,238.451,208274,0.00535323
-4.2,5.91733,238.547,208092,0.00535323
-4,5.915,238.642,207910,0.00535323
-3.8,5.91267,238.737,207729,0.00535323
-3.6,5.91034,238.832,207547,0.00535323
-3.4,5.90802,238.928,207365,0.00535323
-3.2,5.90569,239.023,207184,0.00535323
-3,5.90336,239.118,207003,0.00535323
-2.8,5.90104,239.213,206822,0.00535323
-2.6,5.89871,239.309,206641,0.00535323
-2.4,5.89638,239.404,206460,0.00535323
-2.2,5.89406,239.499,206279,0.00535323
-2,5.89173,239.594,206098,0.00535323
-1.8,5.88941,239.69,205918,0.00535323
-1.6,5.88709,239.785,205737,0.00535323
-1.4,5.88476,239.88,205557,0.00535323
-1.2,5.88244,239.975,205377,0.00535323
-1,5.88012,240.07,205197,0.00535323
-0.8,5.87779,240.166,205017,0.00535323
-0.6,5.87547,240.261,204837,0.00535323
-0.4,5.87315,240.356,204657,0.00535323
-0.2,5.87083,240.451,204477,0.00535323
0,5.86851,240.547,204298,0.00535323
0.2,5.86619,240.642,204119,0.00535323
0.4,5.86387,240.737,203939,0.00535323
0.6,5.86156,240.832,203761,0.00535323
0.8,5.85925,240.927,203582,0.00535323
1,5.85694,241.022,203404,0.00535323
1.2,5.85463,241.116,203226,0.00535323
1.4,5.85232,241.211,203048,0.00535323
1.6,5.85001,241.306,202870,0.00535323
1.8,5.84771,241.401,202693,0.00535323
2,5.8454,241.495,202515,0.00535323
2.2,5.8431,241.59,202338,0.00535323
2.4,5.84079,241.685,202161,0.00535323
2.6,5.83849,241.779,201984,0.00535323
2.8,5.83619,241.874,201807,0.00535323
3,5.83389,241.969,201630,0.00535323
3.2,5.83159,242.063,201453,0.00535323
3.4,5.82928,242.158,201277,0.00535323
3.6,5.82698,242.253,201100,0.00535323
3.8,5.82469,242.347,200924,0.00535323
4,5.82239,242.442,200748,0.00535323
4.2,5.82009,242.537,200572,0.00535323
4.4,5.81779,242.631,200396,0.00535323
4.6,5.81549,242.726,200221,0.00535323
4.8,5.8132,242.82,200045,0.00535323
5,5.8109,242.915,199869,0.00535323
5.2,5.8086,243.01,199694,0.00535323
5.4,5.80631,243.104,199519,0.00535323
5.6,5.80401,243.199,199344,0.00535323
5.8,5.80172,243.293,199169,0.00535323
6,5.79943,243.388,198994,0.00535323
6.2,5.79713,243.482,198819,0.00535323
6.4,5.79484,243.577,198645,0.00535323
6.6,5.79255,243.671,198470,0.00535323
6.8,5.79026,243.766,198296,0.00535323
7,5.78796,243.86,198121,0.00535323
7.2,5.78567,243.955,197947,0.00535323
7.4,5.78338,244.049,197773,0.00535323
7.6,5.78109,244.144,197599,0.00535323
7.8,5.7788,244.238,197426,0.00535323
8,5.77652,244.333,197252,0.00535323
8.2,5.77423,244.427,197079,0.00535323
8.4,5.77194,244.522,196905,0.00535323
8.6,5.76965,244.616,196732,0.00535323
8.8,5.76737,244.711,196559,0.00535323
9,5.76508,244.805,196386,0.00535323
9.2,5.76279,244.9,196213,0.00535323
9.4,5.76051,244.994,196040,0.00535323
9.6,5.75822,245.088,195867,0.00535323
9.8,5.75594,245.183,195695,0.00535323
10,5.75594,245.183,195695,0.00535323
