x,rho,u,P,t
-10,5.92228,238.345,208478,0.0106774
-9.8,5.92228,238.345,208478,0.0106774
-9.6,5.92169,238.369,208432,0.0106774
-9.4,5.92081,238.405,208363,0.0106774
-9.2,5.91979,238.447,208283,0.0106774
-9,5.91869,238.492,208197,0.0106774
-8.8,5.91755,238.538,208108,0.0106774
-8.6,5.9164,238.586,208018,0.0106774
-8.4,5.91523,238.633,207927,0.0106774
-8.2,5.91407,238.681,207836,0.0106774
-8,5.9129,238.729,207745,0.0106774
-7.8,5.91172,238.777,207653,0.0106774
-7.6,5.91055,238.825,207562,0.0106774
-7.4,5.90938,238.873,207470,0.0106774
-7.2,5.90821,238.921,207379,0.0106774
-7,5.90704,238.969,207287,0.0106774
-6.8,5.90586,239.017,207196,0.0106774
-6.6,5.90469,239.065,207105,0.0106774
-6.4,5.90352,239.113,207013,0.0106774
-6.2,5.90235,239.161,206922,0.0106774
-6,5.90118,239.209,206831,0.0106774
-5.8,5.9,239.257,206740,0.0106774
-5.6,5.89883,239.304,206648,0.0106774
-5.4,5.89766,239.352,206557,0.0106774
-5.2,5.89649,239.4,206466,0.0106774
-5,5.89532,239.448,206375,0.0106774
-4.8,5.89415,239.496,206284,0.0106774
-4.6,5.89298,239.544,206193,0.0106774
-4.4,5.89181,239.592,206102,0.0106774
-4.2,5.89064,239.64,206011,0.0106774
-4,5.88946,239.688,205920,0.0106774
-3.8,5.88829,239.736,205829,0.0106774
-3.6,5.88712,239.784,205738,0.0106774
-3.4,5.88595,239.832,205647,0.0106774
-3.2,5.88478,239.88,205556,0.0106774
-3,5.88361,239.928,205466,0.0106774
-2.8,5.88244,239.976,205375,0.0106774
-2.6,5.88127,240.024,205284,0.0106774
-2.4,5.8801,240.072,205193,0.0106774
-2.2,5.87893,240.12,205103,0.0106774
-2,5.87776,240.168,205012,0.0106774
-1.8,5.87659,240.216,204921,0.0106774
-1.6,5.87542,240.264,204831,0.0106774
-1.4,5.87425,240.312,204740,0.0106774
-1.2,5.87308,240.36,204650,0.0106774
-1,5.87192,240.408,204559,0.0106774
-0.8,5.87075,240.456,204469,0.0106774
-0.6,5.86958,240.504,204378,0.0106774
-0.4,5.86841,240.552,204288,0.0106774
-0.2,5.86724,240.6,204197,0.0106774
0,5.86607,240.648,204107,0.0106774
0.2,5.8649,240.696,204017,0.0106774
0.4,5.86373,240.744,203926,0.0106774
0.6,5.86257,240.792,203836,0.0106774
0.8,5.8614,240.839,203746,0.0106774
1,5.86024,240.887,203656,0.0106774
1.2,5.85907,240.935,203566,0.0106774
1.4,5.85791,240.983,203476,0.0106774
1.6,5.85674,241.031,203386,0.0106774
1.8,5.85558,241.079,203297,0.0106774
2,5.85441,241.127,203207,0.0106774
2.2,5.85325,241.174,203117,0.0106774
2.4,5.85208,241.222,203027,0.0106774
2.6,5.85092,241.27,202937,0.0106774
2.8,5.84975,241.318,202848,0.0106774
3,5.84859,241.366,202758,0.0106774
3.2,5.84743,241.414,202668,0.0106774
3.4,5.84626,241.461,202579,0.0106774
3.6,5.8451,241.509,202489,0.0106774
3.8,5.84393,241.557,202400,0.0106774
4,5.84277,241.605,202310,0.0106774
4.2,5.84161,241.653,202221,0.0106774
4.4,5.84044,241.7,202131,0.0106774
4.6,5.83928,241.748,202042,0.0106774
4.8,5.83812,241.796,201952,0.0106774
5,5.83696,241.844,201863,0.0106774
5.2,5.83579,241.892,201774,0.0106774
5.4,5.83463,241.94,201685,0.0106774
5.6,5.83347,241.987,201595,0.0106774
5.8,5.83231,242.035,201506,0.0106774
6,5.83115,242.083,201417,0.0106774
6.2,5.82998,242.131,201328,0.0106774
6.4,5.82882,242.179,201239,0.0106774
6.6,5.82766,242.226,201149,0.0106774
6.8,5.8265,242.274,201060,0.0106774
7,5.82534,242.322,200971,0.0106774
7.2,5.82418,242.37,200882,0.0106774
7.4,5.82301,242.418,200793,0.0106774
7.6,5.82185,242.465,200704,0.0106774
7.8,5.82069,242.513,200616,0.0106774
8,5.81953,242.561,200527,0.0106774
8.2,5.81837,242.609,200438,0.0106774
8.4,5.81721,242.657,200349,0.0106774
8.6,5.81605,242.704,200260,0.0106774
8.8,5.81489,242.752,200171,0.0106774
9,5.81373,242.8,200083,0.0106774
9.2,5.81257,242.848,199994,0.0106774
9.4,5.81141,242.895,199905,0.0106774
9.6,5.81025,242.943,199817,0.0106774
9.8,5.80909,242.991,199728,0.0106774
10,5.80909,242.991,199728,0.0106774
