x,rho,u,P,t
-10,5.9232,238.307,208550,0.0105116
-9.8,5.9232,238.307,208550,0.0105116
-9.6,5.92261,238.332,208503,0.0105116
-9.4,5.92171,238.368,208434,0.0105116
-9.2,5.92067,238.411,208352,0.0105116
-9,5.91955,238.456,208265,0.0105116
-8.8,5.9184,238.504,208174,0.0105116
-8.6,5.91723,238.552,208083,0.0105116
-8.4,5.91605,238.6,207991,0.0105116
-8.2,5.91486,238.648,207898,0.0105116
-8,5.91367,238.697,207805,0.0105116
-7.8,5.91248,238.746,207712,0.0105116
-7.6,5.91129,238.794,207619,0.0105116
-7.4,5.9101,238.843,207526,0.0105116
-7.2,5.90891,238.892,207434,0.0105116
-7,5.90772,238.941,207341,0.0105116
-6.8,5.90653,238.989,207248,0.0105116
-6.6,5.90534,239.038,207155,0.0105116
-6.4,5.90415,239.087,207062,0.0105116
-6.2,5.90296,239.136,206970,0.0105116
-6,5.90177,239.184,206877,0.0105116
-5.8,5.90058,239.233,206784,0.0105116
-5.6,5.89939,239.282,206692,0.0105116
-5.4,5.8982,239.331,206599,0.0105116
-5.2,5.89701,239.379,206506,0.0105116
-5,5.89582,239.428,206414,0.0105116
-4.8,5.89463,239.477,206321,0.0105116
-4.6,5.89344,239.525,206229,0.0105116
-4.4,5.89225,239.574,206136,0.0105116
-4.2,5.89106,239.623,206044,0.0105116
-4,5.88987,239.672,205952,0.0105116
-3.8,5.88868,239.72,205859,0.0105116
-3.6,5.88749,239.769,205767,0.0105116
-3.4,5.8863,239.818,205675,0.0105116
-3.2,5.88512,239.867,205582,0.0105116
-3,5.88393,239.915,205490,0.0105116
-2.8,5.88274,239.964,205398,0.0105116
-2.6,5.88155,240.013,205306,0.0105116
-2.4,5.88036,240.061,205213,0.0105116
-2.2,5.87917,240.11,205121,0.0105116
-2,5.87799,240.159,205029,0.0105116
-1.8,5.8768,240.208,204937,0.0105116
-1.6,5.87561,240.256,204845,0.0105116
-1.4,5.87442,240.305,204753,0.0105116
-1.2,5.87323,240.354,204661,0.0105116
-1,5.87205,240.403,204569,0.0105116
-0.8,5.87086,240.451,204477,0.0105116
-0.6,5.86967,240.5,204386,0.0105116
-0.4,5.86848,240.549,204294,0.0105116
-0.2,5.8673,240.597,204202,0.0105116
0,5.86611,240.646,204110,0.0105116
0.2,5.86492,240.695,204018,0.0105116
0.4,5.86374,240.744,203927,0.0105116
0.6,5.86255,240.792,203835,0.0105116
0.8,5.86137,240.841,203744,0.0105116
1,5.86018,240.889,203652,0.0105116
1.2,5.859,240.938,203561,0.0105116
1.4,5.85782,240.987,203469,0.0105116
1.6,5.85663,241.035,203378,0.0105116
1.8,5.85545,241.084,203287,0.0105116
2,5.85427,241.132,203196,0.0105116
2.2,5.85308,241.181,203104,0.0105116
2.4,5.8519,241.23,203013,0.0105116
2.6,5.85072,241.278,202922,0.0105116
2.8,5.84954,241.327,202831,0.0105116
3,5.84835,241.375,202740,0.0105116
3.2,5.84717,241.424,202649,0.0105116
3.4,5.84599,241.473,202558,0.0105116
3.6,5.84481,241.521,202467,0.0105116
3.8,5.84363,241.57,202376,0.0105116
4,5.84245,241.618,202285,0.0105116
4.2,5.84126,241.667,202194,0.0105116
4.4,5.84008,241.715,202103,0.0105116
4.6,5.8389,241.764,202013,0.0105116
4.8,5.83772,241.812,201922,0.0105116
5,5.83654,241.861,201831,0.0105116
5.2,5.83536,241.91,201740,0.0105116
5.4,5.83418,241.958,201650,0.0105116
5.6,5.833,242.007,201559,0.0105116
5.8,5.83182,242.055,201469,0.0105116
6,5.83064,242.104,201378,0.0105116
6.2,5.82946,242.152,201287,0.0105116
6.4,5.82828,242.201,201197,0.0105116
6.6,5.8271,242.249,201106,0.0105116
6.8,5.82592,242.298,201016,0.0105116
7,5.82474,242.347,200926,0.0105116
7.2,5.82356,242.395,200835,0.0105116
7.4,5.82238,242.444,200745,0.0105116
7.6,5.8212,242.492,200655,0.0105116
7.8,5.82002,242.541,200564,0.0105116
8,5.81884,242.589,200474,0.0105116
8.2,5.81766,242.638,200384,0.0105116
8.4,5.81649,242.686,200294,0.0105116
8.6,5.81531,242.735,200203,0.0105116
8.8,5.81413,242.783,200113,0.0105116
9,5.81295,242.832,200023,0.0105116
9.2,5.81177,242.88,199933,0.0105116
9.4,5.81059,242.929,199843,0.0105116
9.6,5.80942,242.978,199753,0.0105116
9.8,5.80824,243.026,199663,0.0105116
10,5.80824,243.026,199663,0.0105116
