x,rho,u,P,t
-10,5.9508,237.18,210715,0.00717521
-9.8,5.9508,237.18,210715,0.00717521
-9.6,5.94993,237.215,210647,0.00717521
-9.4,5.94862,237.269,210544,0.00717521
-9.2,5.94709,237.331,210424,0.00717521
-9,5.94546,237.398,210295,0.00717521
-8.8,5.94377,237.467,210163,0.00717521
-8.6,5.94205,237.537,210028,0.00717521
-8.4,5.94032,237.607,209892,0.00717521
-8.2,5.93858,237.678,209756,0.00717521
-8,5.93684,237.749,209619,0.00717521
-7.8,5.9351,237.821,209482,0.00717521
-7.6,5.93336,237.892,209346,0.00717521
-7.4,5.93162,237.963,209209,0.00717521
-7.2,5.92987,238.034,209073,0.00717521
-7,5.92813,238.105,208936,0.00717521
-6.8,5.92639,238.177,208800,0.00717521
-6.6,5.92465,238.248,208664,0.00717521
-6.4,5.92291,238.319,208527,0.00717521
-6.2,5.92116,238.39,208391,0.00717521
-6,5.91942,238.462,208255,0.00717521
-5.8,5.91768,238.533,208119,0.00717521
-5.6,5.91594,238.604,207983,0.00717521
-5.4,5.9142,238.675,207847,0.00717521
-5.2,5.91246,238.746,207711,0.00717521
-5,5.91072,238.818,207575,0.00717521
-4.8,5.90898,238.889,207439,0.00717521
-4.6,5.90724,238.96,207304,0.00717521
-4.4,5.9055,239.031,207168,0.00717521
-4.2,5.90376,239.103,207032,0.00717521
-4,5.90202,239.174,206897,0.00717521
-3.8,5.90028,239.245,206762,0.00717521
-3.6,5.89854,239.316,206626,0.00717521
-3.4,5.8968,239.387,206491,0.00717521
-3.2,5.89506,239.459,206356,0.00717521
-3,5.89332,239.53,206220,0.00717521
-2.8,5.89158,239.601,206085,0.00717521
-2.6,5.88985,239.672,205950,0.00717521
-2.4,5.88811,239.744,205815,0.00717521
-2.2,5.88637,239.815,205680,0.00717521
-2,5.88463,239.886,205546,0.00717521
-1.8,5.8829,239.957,205411,0.00717521
-1.6,5.88116,240.028,205276,0.00717521
-1.4,5.87942,240.1,205141,0.00717521
-1.2,5.87769,240.171,205007,0.00717521
-1,5.87595,240.242,204872,0.00717521
-0.8,5.87421,240.313,204738,0.00717521
-0.6,5.87248,240.384,204604,0.00717521
-0.4,5.87074,240.456,204469,0.00717521
-0.2,5.86901,240.527,204335,0.00717521
0,5.86727,240.598,204201,0.00717521
0.2,5.86554,240.669,204067,0.00717521
0.4,5.8638,240.74,203933,0.00717521
0.6,5.86207,240.811,203799,0.00717521
0.8,5.86034,240.882,203665,0.00717521
1,5.85861,240.953,203532,0.00717521
1.2,5.85689,241.024,203399,0.00717521
1.4,5.85516,241.095,203265,0.00717521
1.6,5.85343,241.166,203132,0.00717521
1.8,5.8517,241.237,202999,0.00717521
2,5.84998,241.308,202866,0.00717521
2.2,5.84825,241.379,202733,0.00717521
2.4,5.84652,241.45,202600,0.00717521
2.6,5.8448,241.521,202467,0.00717521
2.8,5.84307,241.592,202335,0.00717521
3,5.84135,241.663,202202,0.00717521
3.2,5.83963,241.734,202069,0.00717521
3.4,5.8379,241.805,201937,0.00717521
3.6,5.83618,241.875,201804,0.00717521
3.8,5.83445,241.946,201672,0.00717521
4,5.83273,242.017,201540,0.00717521
4.2,5.83101,242.088,201407,0.00717521
4.4,5.82929,242.159,201275,0.00717521
4.6,5.82756,242.23,201143,0.00717521
4.8,5.82584,242.301,201011,0.00717521
5,5.82412,242.371,200879,0.00717521
5.2,5.8224,242.442,200747,0.00717521
5.4,5.82068,242.513,200616,0.00717521
5.6,5.81896,242.584,200484,0.00717521
5.8,5.81724,242.655,200352,0.00717521
6,5.81552,242.726,200221,0.00717521
6.2,5.8138,242.797,200089,0.00717521
6.4,5.81208,242.867,199958,0.00717521
6.6,5.81036,242.938,199826,0.00717521
6.8,5.80864,243.009,199695,0.00717521
7,5.80692,243.08,199564,0.00717521
7.2,5.8052,243.151,199432,0.00717521
7.4,5.80348,243.221,199301,0.00717521
7.6,5.80176,243.292,199170,0.00717521
7.8,5.80005,243.363,199039,0.00717521
8,5.79833,243.434,198908,0.00717521
8.2,5.79661,243.505,198778,0.00717521
8.4,5.79489,243.575,198647,0.00717521
8.6,5.79318,243.646,198516,0.00717521
8.8,5.79146,243.717,198385,0.00717521
9,5.78974,243.788,198255,0.00717521
9.2,5.78803,243.859,198124,0.00717521
9.4,5.78631,243.929,197994,0.00717521
9.6,5.7846,244,197864,0.00717521
9.8,5.78288,244.071,197733,0.00717521
10,5.78288,244.071,197733,0.00717521
