x,rho,u,P,t
-10,6.01239,234.67,215591,0.00419486
-9.8,6.01239,234.67,215591,0.00419486
-9.6,6.0109,234.731,215472,0.00419486
-9.4,6.00866,234.822,215294,0.00419486
-9.2,6.00605,234.928,215087,0.00419486
-9,6.00326,235.042,214864,0.00419486
-8.8,6.00037,235.159,214635,0.00419486
-8.6,5.99743,235.278,214402,0.00419486
-8.4,5.99448,235.399,214167,0.00419486
-8.2,5.99151,235.52,213932,0.00419486
-8,5.98853,235.641,213696,0.00419486
-7.8,5.98556,235.762,213460,0.00419486
-7.6,5.98258,235.883,213225,0.00419486
-7.4,5.9796,236.004,212989,0.00419486
-7.2,5.97663,236.126,212754,0.00419486
-7,5.97365,236.247,212518,0.00419486
-6.8,5.97067,236.368,212283,0.00419486
-6.6,5.9677,236.489,212048,0.00419486
-6.4,5.96472,236.611,211814,0.00419486
-6.2,5.96175,236.732,211579,0.00419486
-6,5.95878,236.853,211345,0.00419486
-5.8,5.9558,236.974,211111,0.00419486
-5.6,5.95283,237.096,210877,0.00419486
-5.4,5.94986,237.217,210643,0.00419486
-5.2,5.94689,237.338,210410,0.00419486
-5,5.94392,237.46,210176,0.00419486
-4.8,5.94095,237.581,209943,0.00419486
-4.6,5.93798,237.702,209710,0.00419486
-4.4,5.93501,237.823,209477,0.00419486
-4.2,5.93204,237.945,209245,0.00419486
-4,5.92907,238.066,209012,0.00419486
-3.8,5.9261,238.187,208780,0.00419486
-3.6,5.92314,238.308,208548,0.00419486
-3.4,5.92017,238.43,208316,0.00419486
-3.2,5.91721,238.551,208084,0.00419486
-3,5.91424,238.672,207853,0.00419486
-2.8,5.91128,238.793,207621,0.00419486
-2.6,5.90831,238.915,207390,0.00419486
-2.4,5.90535,239.036,207159,0.00419486
-2.2,5.90239,239.157,206929,0.00419486
-2,5.89943,239.278,206698,0.00419486
-1.8,5.89647,239.4,206468,0.00419486
-1.6,5.89351,239.521,206238,0.00419486
-1.4,5.89055,239.642,206008,0.00419486
-1.2,5.88759,239.763,205778,0.00419486
-1,5.88463,239.885,205548,0.00419486
-0.8,5.88167,240.006,205319,0.00419486
-0.6,5.87872,240.127,205090,0.00419486
-0.4,5.87576,240.248,204861,0.00419486
-0.2,5.8728,240.369,204632,0.00419486
0,5.86985,240.491,204403,0.00419486
0.2,5.8669,240.612,204175,0.00419486
0.4,5.86394,240.733,203947,0.00419486
0.6,5.861,240.854,203719,0.00419486
0.8,5.85806,240.975,203493,0.00419486
1,5.85512,241.095,203266,0.00419486
1.2,5.85219,241.216,203040,0.00419486
1.4,5.84925,241.336,202814,0.00419486
1.6,5.84632,241.457,202588,0.00419486
1.8,5.84339,241.577,202362,0.00419486
2,5.84046,241.698,202137,0.00419486
2.2,5.83753,241.818,201912,0.00419486
2.4,5.8346,241.938,201687,0.00419486
2.6,5.83167,242.059,201462,0.00419486
2.8,5.82875,242.179,201238,0.00419486
3,5.82582,242.299,201014,0.00419486
3.2,5.8229,242.42,200790,0.00419486
3.4,5.81998,242.54,200566,0.00419486
3.6,5.81706,242.66,200342,0.00419486
3.8,5.81414,242.78,200119,0.00419486
4,5.81122,242.901,199896,0.00419486
4.2,5.8083,243.021,199673,0.00419486
4.4,5.80538,243.141,199450,0.00419486
4.6,5.80246,243.261,199228,0.00419486
4.8,5.79955,243.381,199006,0.00419486
5,5.79663,243.502,198784,0.00419486
5.2,5.79372,243.622,198562,0.00419486
5.4,5.79081,243.742,198340,0.00419486
5.6,5.78789,243.862,198118,0.00419486
5.8,5.78498,243.982,197897,0.00419486
6,5.78207,244.102,197676,0.00419486
6.2,5.77916,244.222,197455,0.00419486
6.4,5.77625,244.342,197235,0.00419486
6.6,5.77334,244.462,197014,0.00419486
6.8,5.77044,244.583,196794,0.00419486
7,5.76753,244.703,196574,0.00419486
7.2,5.76462,244.823,196354,0.00419486
7.4,5.76172,244.943,196134,0.00419486
7.6,5.75882,245.063,195915,0.00419486
7.8,5.75591,245.183,195696,0.00419486
8,5.75301,245.303,195477,0.00419486
8.2,5.75011,245.423,195258,0.00419486
8.4,5.74721,245.543,195039,0.00419486
8.6,5.74431,245.663,194821,0.00419486
8.8,5.74141,245.782,194602,0.00419486
9,5.73851,245.902,194384,0.00419486
9.2,5.73561,246.022,194166,0.00419486
9.4,5.73272,246.142,193949,0.00419486
9.6,5.72982,246.262,193731,0.00419486
9.8,5.72693,246.382,193514,0.00419486
10,5.72693,246.382,193514,0.00419486
