x,rho,u,P,t
-10,5.93707,237.74,209636,0.00852185
-9.8,5.93707,237.74,209636,0.00852185
-9.6,5.93633,237.77,209579,0.00852185
-9.4,5.93523,237.815,209492,0.00852185
-9.2,5.93395,237.868,209392,0.00852185
-9,5.93257,237.924,209284,0.00852185
-8.8,5.93115,237.982,209172,0.00852185
-8.6,5.9297,238.041,209059,0.00852185
-8.4,5.92824,238.101,208945,0.00852185
-8.2,5.92678,238.161,208830,0.00852185
-8,5.92531,238.221,208715,0.00852185
-7.8,5.92385,238.281,208601,0.00852185
-7.6,5.92238,238.341,208486,0.00852185
-7.4,5.92091,238.401,208371,0.00852185
-7.2,5.91944,238.461,208256,0.00852185
-7,5.91798,238.521,208142,0.00852185
-6.8,5.91651,238.581,208027,0.00852185
-6.6,5.91504,238.641,207912,0.00852185
-6.4,5.91357,238.701,207798,0.00852185
-6.2,5.91211,238.761,207683,0.00852185
-6,5.91064,238.821,207569,0.00852185
-5.8,5.90917,238.881,207454,0.00852185
-5.6,5.9077,238.941,207340,0.00852185
-5.4,5.90624,239.001,207226,0.00852185
-5.2,5.90477,239.061,207111,0.00852185
-5,5.9033,239.121,206997,0.00852185
-4.8,5.90184,239.181,206883,0.00852185
-4.6,5.90037,239.241,206769,0.00852185
-4.4,5.89891,239.301,206654,0.00852185
-4.2,5.89744,239.361,206540,0.00852185
-4,5.89597,239.421,206426,0.00852185
-3.8,5.89451,239.481,206312,0.00852185
-3.6,5.89304,239.541,206198,0.00852185
-3.4,5.89158,239.602,206085,0.00852185
-3.2,5.89011,239.662,205971,0.00852185
-3,5.88865,239.722,205857,0.00852185
-2.8,5.88718,239.782,205743,0.00852185
-2.6,5.88572,239.842,205629,0.00852185
-2.4,5.88425,239.902,205516,0.00852185
-2.2,5.88279,239.962,205402,0.00852185
-2,5.88133,240.022,205289,0.00852185
-1.8,5.87986,240.082,205175,0.00852185
-1.6,5.8784,240.142,205062,0.00852185
-1.4,5.87693,240.202,204948,0.00852185
-1.2,5.87547,240.262,204835,0.00852185
-1,5.87401,240.322,204722,0.00852185
-0.8,5.87254,240.382,204608,0.00852185
-0.6,5.87108,240.442,204495,0.00852185
-0.4,5.86962,240.502,204382,0.00852185
-0.2,5.86816,240.562,204269,0.00852185
0,5.86669,240.622,204156,0.00852185
0.2,5.86523,240.682,204043,0.00852185
0.4,5.86377,240.742,203930,0.00852185
0.6,5.86231,240.802,203817,0.00852185
0.8,5.86085,240.862,203704,0.00852185
1,5.85939,240.922,203592,0.00852185
1.2,5.85794,240.981,203479,0.00852185
1.4,5.85648,241.041,203367,0.00852185
1.6,5.85502,241.101,203254,0.00852185
1.8,5.85357,241.161,203142,0.00852185
2,5.85211,241.221,203030,0.00852185
2.2,5.85065,241.281,202918,0.00852185
2.4,5.8492,241.34,202805,0.00852185
2.6,5.84774,241.4,202693,0.00852185
2.8,5.84629,241.46,202581,0.00852185
3,5.84483,241.52,202469,0.00852185
3.2,5.84338,241.58,202357,0.00852185
3.4,5.84192,241.64,202245,0.00852185
3.6,5.84047,241.699,202133,0.00852185
3.8,5.83901,241.759,202022,0.00852185
4,5.83756,241.819,201910,0.00852185
4.2,5.83611,241.879,201798,0.00852185
4.4,5.83465,241.938,201687,0.00852185
4.6,5.8332,241.998,201575,0.00852185
4.8,5.83174,242.058,201463,0.00852185
5,5.83029,242.118,201352,0.00852185
5.2,5.82884,242.178,201240,0.00852185
5.4,5.82739,242.237,201129,0.00852185
5.6,5.82593,242.297,201018,0.00852185
5.8,5.82448,242.357,200906,0.00852185
6,5.82303,242.417,200795,0.00852185
6.2,5.82158,242.476,200684,0.00852185
6.4,5.82013,242.536,200573,0.00852185
6.6,5.81867,242.596,200462,0.00852185
6.8,5.81722,242.656,200351,0.00852185
7,5.81577,242.715,200240,0.00852185
7.2,5.81432,242.775,200129,0.00852185
7.4,5.81287,242.835,200018,0.00852185
7.6,5.81142,242.895,199907,0.00852185
7.8,5.80997,242.954,199796,0.00852185
8,5.80852,243.014,199685,0.00852185
8.2,5.80707,243.074,199575,0.00852185
8.4,5.80562,243.134,199464,0.00852185
8.6,5.80417,243.193,199353,0.00852185
8.8,5.80272,243.253,199243,0.00852185
9,5.80127,243.313,199132,0.00852185
9.2,5.79982,243.373,199022,0.00852185
9.4,5.79837,243.432,198911,0.00852185
9.6,5.79693,243.492,198801,0.00852185
9.8,5.79548,243.552,198691,0.00852185
10,5.79548,243.552,198691,0.00852185
