x,rho,u,P,t
-10,5.89548,239.442,206388,0.0196791
-9.8,5.89548,239.442,206388,0.0196791
-9.6,5.89517,239.455,206363,0.0196791
-9.4,5.89469,239.474,206326,0.0196791
-9.2,5.89413,239.497,206282,0.0196791
-9,5.89353,239.522,206236,0.0196791
-8.8,5.89292,239.547,206188,0.0196791
-8.6,5.89229,239.573,206139,0.0196791
-8.4,5.89166,239.599,206090,0.0196791
-8.2,5.89102,239.625,206041,0.0196791
-8,5.89039,239.651,205991,0.0196791
-7.8,5.88975,239.677,205942,0.0196791
-7.6,5.88912,239.703,205892,0.0196791
-7.4,5.88848,239.729,205843,0.0196791
-7.2,5.88784,239.755,205794,0.0196791
-7,5.88721,239.781,205744,0.0196791
-6.8,5.88657,239.807,205695,0.0196791
-6.6,5.88593,239.833,205645,0.0196791
-6.4,5.8853,239.859,205596,0.0196791
-6.2,5.88466,239.885,205546,0.0196791
-6,5.88402,239.912,205497,0.0196791
-5.8,5.88339,239.938,205448,0.0196791
-5.6,5.88275,239.964,205398,0.0196791
-5.4,5.88211,239.99,205349,0.0196791
-5.2,5.88148,240.016,205299,0.0196791
-5,5.88084,240.042,205250,0.0196791
-4.8,5.8802,240.068,205201,0.0196791
-4.6,5.87957,240.094,205151,0.0196791
-4.4,5.87893,240.12,205102,0.0196791
-4.2,5.87829,240.146,205053,0.0196791
-4,5.87766,240.173,205003,0.0196791
-3.8,5.87702,240.199,204954,0.0196791
-3.6,5.87639,240.225,204905,0.0196791
-3.4,5.87575,240.251,204856,0.0196791
-3.2,5.87511,240.277,204806,0.0196791
-3,5.87448,240.303,204757,0.0196791
-2.8,5.87384,240.329,204708,0.0196791
-2.6,5.87321,240.355,204659,0.0196791
-2.4,5.87257,240.381,204609,0.0196791
-2.2,5.87193,240.407,204560,0.0196791
-2,5.8713,240.434,204511,0.0196791
-1.8,5.87066,240.46,204462,0.0196791
-1.6,5.87003,240.486,204412,0.0196791
-1.4,5.86939,240.512,204363,0.0196791
-1.2,5.86875,240.538,204314,0.0196791
-1,5.86812,240.564,204265,0.0196791
-0.8,5.86748,240.59,204216,0.0196791
-0.6,5.86685,240.616,204166,0.0196791
-0.4,5.86621,240.642,204117,0.0196791
-0.2,5.86557,240.668,204068,0.0196791
0,5.86494,240.694,204019,0.0196791
0.2,5.8643,240.721,203970,0.0196791
0.4,5.86367,240.747,203921,0.0196791
0.6,5.86303,240.773,203872,0.0196791
0.8,5.8624,240.799,203823,0.0196791
1,5.86176,240.825,203774,0.0196791
1.2,5.86113,240.851,203725,0.0196791
1.4,5.86049,240.877,203676,0.0196791
1.6,5.85986,240.903,203627,0.0196791
1.8,5.85923,240.929,203578,0.0196791
2,5.85859,240.955,203529,0.0196791
2.2,5.85796,240.981,203480,0.0196791
2.4,5.85732,241.007,203431,0.0196791
2.6,5.85669,241.033,203382,0.0196791
2.8,5.85605,241.059,203333,0.0196791
3,5.85542,241.085,203284,0.0196791
3.2,5.85478,241.111,203235,0.0196791
3.4,5.85415,241.138,203186,0.0196791
3.6,5.85352,241.164,203137,0.0196791
3.8,5.85288,241.19,203088,0.0196791
4,5.85225,241.216,203039,0.0196791
4.2,5.85161,241.242,202990,0.0196791
4.4,5.85098,241.268,202942,0.0196791
4.6,5.85035,241.294,202893,0.0196791
4.8,5.84971,241.32,202844,0.0196791
5,5.84908,241.346,202795,0.0196791
5.2,5.84844,241.372,202746,0.0196791
5.4,5.84781,241.398,202697,0.0196791
5.6,5.84718,241.424,202649,0.0196791
5.8,5.84654,241.45,202600,0.0196791
6,5.84591,241.476,202551,0.0196791
6.2,5.84528,241.502,202502,0.0196791
6.4,5.84464,241.528,202453,0.0196791
6.6,5.84401,241.554,202405,0.0196791
6.8,5.84337,241.58,202356,0.0196791
7,5.84274,241.606,202307,0.0196791
7.2,5.84211,241.632,202258,0.0196791
7.4,5.84147,241.658,202210,0.0196791
7.6,5.84084,241.685,202161,0.0196791
7.8,5.84021,241.711,202112,0.0196791
8,5.83957,241.737,202064,0.0196791
8.2,5.83894,241.763,202015,0.0196791
8.4,5.83831,241.789,201966,0.0196791
8.6,5.83767,241.815,201918,0.0196791
8.8,5.83704,241.841,201869,0.0196791
9,5.83641,241.867,201820,0.0196791
9.2,5.83577,241.893,201772,0.0196791
9.4,5.83514,241.919,201723,0.0196791
9.6,5.83451,241.945,201674,0.0196791
9.8,5.83388,241.971,201626,0.0196791
10,5.83388,241.971,201626,0.0196791
