# t = 1.00000000e-02
# Nx = 100, Ny = 100
# x y phi_numerical phi_analytical error
6.96969697e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.07070707e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.17171717e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.27272727e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.37373737e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.47474747e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.57575758e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.67676768e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.77777778e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.87878788e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
7.97979798e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.08080808e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.18181818e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.28282828e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.38383838e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.48484848e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.58585859e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.68686869e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.78787879e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.88888889e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
8.98989899e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.09090909e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.19191919e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.29292929e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.39393939e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.49494949e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.59595960e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.69696970e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.79797980e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
9.89898990e-01 0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
1.00000000e+00 0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00
0.00000000e+00 1.01010101e-02 1.57923445e-01 1.57923445e-01 0.00000000e+00
1.01010101e-02 1.01010101e-02 1.57844014e-01 1.57843937e-01 7.70293192e-08
2.02020202e-02 1.01010101e-02 1.57605579e-01 1.57605494e-01 8.58390688e-08
3.03030303e-02 1.01010101e-02 1.57208441e-01 1.57208355e-01 8.64127259e-08
4.04040404e-02 1.01010101e-02 1.56653007e-01 1.56652921e-01 8.61654125e-08
5.05050505e-02 1.01010101e-02 1.55939836e-01 1.55939751e-01 8.57768440e-08
6.06060606e-02 1.01010101e-02 1.55069648e-01 1.55069562e-01 8.52983936e-08
7.07070707e-02 1.01010101e-02 1.54043317e-01 1.54043232e-01 8.47338520e-08
8.08080808e-02 1.01010101e-02 1.52861877e-01 1.52861793e-01 8.40839799e-08
9.09090909e-02 1.01010101e-02 1.51526519e-01 1.51526436e-01 8.33494418e-08
1.01010101e-01 1.01010101e-02 1.50038586e-01 1.50038504e-01 8.25309779e-08
1.11111111e-01 1.01010101e-02 1.48399577e-01 1.48399496e-01 8.16294123e-08
1.21212121e-01 1.01010101e-02 1.46611143e-01 1.46611062e-01 8.06456528e-08
1.31313131e-01 1.01010101e-02 1.44675083e-01 1.44675003e-01 7.95806899e-08
1.41414141e-01 1.01010101e-02 1.42593348e-01 1.42593269e-01 7.84355960e-08
1.51515152e-01 1.01010101e-02 1.40368033e-01 1.40367956e-01 7.72115241e-08
1.61616162e-01 1.01010101e-02 1.38001380e-01 1.38001304e-01 7.59097068e-08
1.71717172e-01 1.01010101e-02 1.35495771e-01 1.35495696e-01 7.45314548e-08
1.81818182e-01 1.01010101e-02 1.32853729e-01 1.32853656e-01 7.30781559e-08
1.91919192e-01 1.01010101e-02 1.30077915e-01 1.30077843e-01 7.15512736e-08
2.02020202e-01 1.01010101e-02 1.27171123e-01 1.27171053e-01 6.99523453e-08
2.12121212e-01 1.01010101e-02 1.24136281e-01 1.24136212e-01 6.82829808e-08
2.22222222e-01 1.01010101e-02 1.20976444e-01 1.20976377e-01 6.65448611e-08
2.32323232e-01 1.01010101e-02 1.17694794e-01 1.17694729e-01 6.47397364e-08
2.42424242e-01 1.01010101e-02 1.14294635e-01 1.14294572e-01 6.28694243e-08
2.52525253e-01 1.01010101e-02 1.10779392e-01 1.10779331e-01 6.09358080e-08
2.62626263e-01 1.01010101e-02 1.07152602e-01 1.07152543e-01 5.89408345e-08
2.72727273e-01 1.01010101e-02 1.03417920e-01 1.03417863e-01 5.68865126e-08
2.82828283e-01 1.01010101e-02 9.95791040e-02 9.95790492e-02 5.47749108e-08
2.92929293e-01 1.01010101e-02 9.56400205e-02 9.56399679e-02 5.26081552e-08
3.03030303e-01 1.01010101e-02 9.16046356e-02 9.16045852e-02 5.03884278e-08
3.13131313e-01 1.01010101e-02 8.74770127e-02 8.74769645e-02 4.81179634e-08
3.23232323e-01 1.01010101e-02 8.32613077e-02 8.32612619e-02 4.57990484e-08
3.33333333e-01 1.01010101e-02 7.89617658e-02 7.89617223e-02 4.34340176e-08
3.43434343e-01 1.01010101e-02 7.45827160e-02 7.45826749e-02 4.10252524e-08
3.53535354e-01 1.01010101e-02 7.01285677e-02 7.01285291e-02 3.85751783e-08
3.63636364e-01 1.01010101e-02 6.56038059e-02 6.56037698e-02 3.60862622e-08
3.73737374e-01 1.01010101e-02 6.10129866e-02 6.10129531e-02 3.35610103e-08
3.83838384e-01 1.01010101e-02 5.63607325e-02 5.63607015e-02 3.10019654e-08
3.93939394e-01 1.01010101e-02 5.16517278e-02 5.16516994e-02 2.84117041e-08
4.04040404e-01 1.01010101e-02 4.68907142e-02 4.68906885e-02 2.57928346e-08
4.14141414e-01 1.01010101e-02 4.20824857e-02 4.20824626e-02 2.31479939e-08
4.24242424e-01 1.01010101e-02 3.72318837e-02 3.72318632e-02 2.04798451e-08
4.34343434e-01 1.01010101e-02 3.23437923e-02 3.23437745e-02 1.77910749e-08
4.44444444e-01 1.01010101e-02 2.74231335e-02 2.74231184e-02 1.50843905e-08
4.54545455e-01 1.01010101e-02 2.24748618e-02 2.24748495e-02 1.23625175e-08
4.64646465e-01 1.01010101e-02 1.75039600e-02 1.75039503e-02 9.62819646e-09
4.74747475e-01 1.01010101e-02 1.25154331e-02 1.25154262e-02 6.88418065e-09
4.84848485e-01 1.01010101e-02 7.51430418e-03 7.51430005e-03 4.13323302e-09
4.94949495e-01 1.01010101e-02 2.50560904e-03 2.50560766e-03 1.37812360e-09
5.05050505e-01 1.01010101e-02 -2.50560904e-03 -2.50560766e-03 1.37837347e-09
5.15151515e-01 1.01010101e-02 -7.51430418e-03 -7.51430005e-03 4.13348263e-09
5.25252525e-01 1.01010101e-02 -1.25154331e-02 -1.25154262e-02 6.88442975e-09
5.35353535e-01 1.01010101e-02 -1.75039600e-02 -1.75039503e-02 9.62844482e-09
5.45454545e-01 1.01010101e-02 -2.24748618e-02 -2.24748495e-02 1.23627648e-08
5.55555556e-01 1.01010101e-02 -2.74231335e-02 -2.74231184e-02 1.50846367e-08
5.65656566e-01 1.01010101e-02 -3.23437923e-02 -3.23437745e-02 1.77913195e-08
5.75757576e-01 1.01010101e-02 -3.72318837e-02 -3.72318632e-02 2.04800879e-08
5.85858586e-01 1.01010101e-02 -4.20824857e-02 -4.20824626e-02 2.31482347e-08
5.95959596e-01 1.01010101e-02 -4.68907143e-02 -4.68906885e-02 2.57930732e-08
6.06060606e-01 1.01010101e-02 -5.16517278e-02 -5.16516994e-02 2.84119402e-08
6.16161616e-01 1.01010101e-02 -5.63607325e-02 -5.63607015e-02 3.10021988e-08
6.26262626e-01 1.01010101e-02 -6.10129866e-02 -6.10129531e-02 3.35612408e-08
6.36363636e-01 1.01010101e-02 -6.56038059e-02 -6.56037698e-02 3.60864895e-08
6.46464646e-01 1.01010101e-02 -7.01285677e-02 -7.01285291e-02 3.85754022e-08
6.56565657e-01 1.01010101e-02 -7.45827160e-02 -7.45826749e-02 4.10254727e-08
6.66666667e-01 1.01010101e-02 -7.89617658e-02 -7.89617223e-02 4.34342340e-08
6.76767677e-01 1.01010101e-02 -8.32613077e-02 -8.32612619e-02 4.57992607e-08
6.86868687e-01 1.01010101e-02 -8.74770127e-02 -8.74769645e-02 4.81181715e-08
6.96969697e-01 1.01010101e-02 -9.16046356e-02 -9.16045852e-02 5.03886314e-08
7.07070707e-01 1.01010101e-02 -9.56400205e-02 -9.56399679e-02 5.26083541e-08
7.17171717e-01 1.01010101e-02 -9.95791040e-02 -9.95790492e-02 5.47751047e-08
7.27272727e-01 1.01010101e-02 -1.03417920e-01 -1.03417863e-01 5.68867015e-08
7.37373737e-01 1.01010101e-02 -1.07152602e-01 -1.07152543e-01 5.89410180e-08
7.47474747e-01 1.01010101e-02 -1.10779392e-01 -1.10779331e-01 6.09359861e-08
7.57575758e-01 1.01010101e-02 -1.14294635e-01 -1.14294572e-01 6.28695968e-08
7.67676768e-01 1.01010101e-02 -1.17694794e-01 -1.17694729e-01 6.47399030e-08
7.77777778e-01 1.01010101e-02 -1.20976444e-01 -1.20976377e-01 6.65450218e-08
7.87878788e-01 1.01010101e-02 -1.24136281e-01 -1.24136212e-01 6.82831353e-08
7.97979798e-01 1.01010101e-02 -1.27171123e-01 -1.27171053e-01 6.99524935e-08
8.08080808e-01 1.01010101e-02 -1.30077915e-01 -1.30077843e-01 7.15514154e-08
8.18181818e-01 1.01010101e-02 -1.32853729e-01 -1.32853656e-01 7.30782911e-08
8.28282828e-01 1.01010101e-02 -1.35495771e-01 -1.35495696e-01 7.45315832e-08
8.38383838e-01 1.01010101e-02 -1.38001380e-01 -1.38001304e-01 7.59098283e-08
8.48484848e-01 1.01010101e-02 -1.40368033e-01 -1.40367956e-01 7.72116387e-08
8.58585859e-01 1.01010101e-02 -1.42593348e-01 -1.42593269e-01 7.84357034e-08
8.68686869e-01 1.01010101e-02 -1.44675083e-01 -1.44675003e-01 7.95807901e-08
8.78787879e-01 1.01010101e-02 -1.46611143e-01 -1.46611062e-01 8.06457456e-08
8.88888889e-01 1.01010101e-02 -1.48399577e-01 -1.48399496e-01 8.16294977e-08
8.98989899e-01 1.01010101e-02 -1.50038586e-01 -1.50038504e-01 8.25310559e-08
9.09090909e-01 1.01010101e-02 -1.51526519e-01 -1.51526436e-01 8.33495122e-08
9.19191919e-01 1.01010101e-02 -1.52861877e-01 -1.52861793e-01 8.40840424e-08
9.29292929e-01 1.01010101e-02 -1.54043317e-01 -1.54043232e-01 8.47339032e-08
9.39393939e-01 1.01010101e-02 -1.55069648e-01 -1.55069562e-01 8.52983927e-08
9.49494949e-01 1.01010101e-02 -1.55939836e-01 -1.55939751e-01 8.57763694e-08
9.59595960e-01 1.01010101e-02 -1.56653007e-01 -1.56652921e-01 8.61646558e-08
9.69696970e-01 1.01010101e-02 -1.57208441e-01 -1.57208355e-01 8.64118931e-08
9.79797980e-01 1.01010101e-02 -1.57605579e-01 -1.57605494e-01 8.58382269e-08
9.89898990e-01 1.01010101e-02 -1.57844014e-01 -1.57843937e-01 7.70285608e-08
1.00000000e+00 1.01010101e-02 -1.57923445e-01 -1.57923445e-01 0.00000000e+00
0.00000000e+00 2.02020202e-02 3.11879501e-01 3.11879501e-01 0.00000000e+00
1.01010101e-02 2.02020202e-02 3.11722635e-01 3.11722483e-01 1.52123372e-07
2.02020202e-02 2.02020202e-02 3.11251757e-01 3.11251587e-01 1.69521537e-07
3.03030303e-02 2.02020202e-02 3.10467457e-01 3.10467287e-01 1.70654439e-07
4.04040404e-02 2.02020202e-02 3.09370543e-01 3.09370372e-01 1.70166026e-07
5.05050505e-02 2.02020202e-02 3.07962118e-01 3.07961948e-01 1.69398652e-07
6.06060606e-02 2.02020202e-02 3.06243601e-01 3.06243432e-01 1.68453772e-07
7.07070707e-02 2.02020202e-02 3.04216723e-01 3.04216556e-01 1.67338873e-07
8.08080808e-02 2.02020202e-02 3.01883524e-01 3.01883358e-01 1.66055457e-07
9.09090909e-02 2.02020202e-02 2.99246355e-01 2.99246190e-01 1.64604835e-07
1.01010101e-01 2.02020202e-02 2.96307869e-01 2.96307706e-01 1.62988471e-07
1.11111111e-01 2.02020202e-02 2.93071027e-01 2.93070866e-01 1.61207991e-07
1.21212121e-01 2.02020202e-02 2.89539087e-01 2.89538928e-01 1.59265188e-07
1.31313131e-01 2.02020202e-02 2.85715606e-01 2.85715449e-01 1.57162018e-07
1.41414141e-01 2.02020202e-02 2.81604433e-01 2.81604279e-01 1.54900600e-07
1.51515152e-01 2.02020202e-02 2.77209709e-01 2.77209557e-01 1.52483210e-07
1.61616162e-01 2.02020202e-02 2.72535858e-01 2.72535708e-01 1.49912283e-07
1.71717172e-01 2.02020202e-02 2.67587586e-01 2.67587439e-01 1.47190406e-07
1.81818182e-01 2.02020202e-02 2.62369877e-01 2.62369732e-01 1.44320321e-07
1.91919192e-01 2.02020202e-02 2.56887983e-01 2.56887841e-01 1.41304918e-07
2.02020202e-01 2.02020202e-02 2.51147425e-01 2.51147286e-01 1.38147233e-07
2.12121212e-01 2.02020202e-02 2.45153982e-01 2.45153847e-01 1.34850445e-07
2.22222222e-01 2.02020202e-02 2.38913690e-01 2.38913559e-01 1.31417874e-07
2.32323232e-01 2.02020202e-02 2.32432833e-01 2.32432705e-01 1.27852977e-07
2.42424242e-01 2.02020202e-02 2.25717935e-01 2.25717811e-01 1.24159342e-07
2.52525253e-01 2.02020202e-02 2.18775759e-01 2.18775638e-01 1.20340690e-07
2.62626263e-01 2.02020202e-02 2.11613293e-01 2.11613177e-01 1.16400864e-07
2.72727273e-01 2.02020202e-02 2.04237752e-01 2.04237639e-01 1.12343833e-07
2.82828283e-01 2.02020202e-02 1.96656560e-01 1.96656451e-01 1.08173681e-07
2.92929293e-01 2.02020202e-02 1.88877351e-01 1.88877247e-01 1.03894608e-07
3.03030303e-01 2.02020202e-02 1.80907959e-01 1.80907860e-01 9.95109209e-08
3.13131313e-01 2.02020202e-02 1.72756408e-01 1.72756313e-01 9.50270352e-08
3.23232323e-01 2.02020202e-02 1.64430906e-01 1.64430816e-01 9.04474653e-08
3.33333333e-01 2.02020202e-02 1.55939836e-01 1.55939751e-01 8.57768223e-08
3.43434343e-01 2.02020202e-02 1.47291748e-01 1.47291667e-01 8.10198096e-08
3.53535354e-01 2.02020202e-02 1.38495350e-01 1.38495274e-01 7.61812166e-08
3.63636364e-01 2.02020202e-02 1.29559498e-01 1.29559427e-01 7.12659157e-08
3.73737374e-01 2.02020202e-02 1.20493191e-01 1.20493125e-01 6.62788560e-08
3.83838384e-01 2.02020202e-02 1.11305558e-01 1.11305497e-01 6.12250591e-08
3.93939394e-01 2.02020202e-02 1.02005849e-01 1.02005793e-01 5.61096138e-08
4.04040404e-01 2.02020202e-02 9.26034295e-02 9.26033786e-02 5.09376709e-08
4.14141414e-01 2.02020202e-02 8.31077659e-02 8.31077201e-02 4.57144381e-08
4.24242424e-01 2.02020202e-02 7.35284197e-02 7.35283792e-02 4.04451746e-08
4.34343434e-01 2.02020202e-02 6.38750366e-02 6.38750015e-02 3.51351863e-08
4.44444444e-01 2.02020202e-02 5.41573369e-02 5.41573071e-02 2.97898199e-08
4.54545455e-01 2.02020202e-02 4.43851052e-02 4.43850808e-02 2.44144577e-08
4.64646465e-01 2.02020202e-02 3.45681815e-02 3.45681625e-02 1.90145121e-08
4.74747475e-01 2.02020202e-02 2.47164506e-02 2.47164370e-02 1.35954206e-08
4.84848485e-01 2.02020202e-02 1.48398323e-02 1.48398242e-02 8.16263956e-09
4.94949495e-01 2.02020202e-02 4.94827161e-03 4.94826889e-03 2.72163950e-09
5.05050505e-01 2.02020202e-02 -4.94827161e-03 -4.94826889e-03 2.72210103e-09
5.15151515e-01 2.02020202e-02 -1.48398323e-02 -1.48398242e-02 8.16310062e-09
5.25252525e-01 2.02020202e-02 -2.47164506e-02 -2.47164370e-02 1.35958807e-08
5.35353535e-01 2.02020202e-02 -3.45681815e-02 -3.45681625e-02 1.90149709e-08
5.45454545e-01 2.02020202e-02 -4.43851052e-02 -4.43850808e-02 2.44149145e-08
5.55555556e-01 2.02020202e-02 -5.41573369e-02 -5.41573071e-02 2.97902745e-08
5.65656566e-01 2.02020202e-02 -6.38750366e-02 -6.38750015e-02 3.51356381e-08
5.75757576e-01 2.02020202e-02 -7.35284197e-02 -7.35283792e-02 4.04456232e-08
5.85858586e-01 2.02020202e-02 -8.31077659e-02 -8.31077201e-02 4.57148829e-08
5.95959596e-01 2.02020202e-02 -9.26034295e-02 -9.26033786e-02 5.09381116e-08
6.06060606e-01 2.02020202e-02 -1.02005849e-01 -1.02005793e-01 5.61100500e-08
6.16161616e-01 2.02020202e-02 -1.11305558e-01 -1.11305497e-01 6.12254903e-08
6.26262626e-01 2.02020202e-02 -1.20493191e-01 -1.20493125e-01 6.62792817e-08
6.36363636e-01 2.02020202e-02 -1.29559498e-01 -1.29559427e-01 7.12663355e-08
6.46464646e-01 2.02020202e-02 -1.38495350e-01 -1.38495274e-01 7.61816303e-08
6.56565657e-01 2.02020202e-02 -1.47291748e-01 -1.47291667e-01 8.10202165e-08
6.66666667e-01 2.02020202e-02 -1.55939836e-01 -1.55939751e-01 8.57772221e-08
6.76767677e-01 2.02020202e-02 -1.64430906e-01 -1.64430816e-01 9.04478574e-08
6.86868687e-01 2.02020202e-02 -1.72756408e-01 -1.72756313e-01 9.50274194e-08
6.96969697e-01 2.02020202e-02 -1.80907959e-01 -1.80907860e-01 9.95112970e-08
7.07070707e-01 2.02020202e-02 -1.88877351e-01 -1.88877247e-01 1.03894975e-07
7.17171717e-01 2.02020202e-02 -1.96656560e-01 -1.96656451e-01 1.08174039e-07
7.27272727e-01 2.02020202e-02 -2.04237752e-01 -2.04237639e-01 1.12344182e-07
7.37373737e-01 2.02020202e-02 -2.11613293e-01 -2.11613177e-01 1.16401203e-07
7.47474747e-01 2.02020202e-02 -2.18775759e-01 -2.18775638e-01 1.20341019e-07
7.57575758e-01 2.02020202e-02 -2.25717935e-01 -2.25717811e-01 1.24159661e-07
7.67676768e-01 2.02020202e-02 -2.32432833e-01 -2.32432705e-01 1.27853284e-07
7.77777778e-01 2.02020202e-02 -2.38913690e-01 -2.38913559e-01 1.31418171e-07
7.87878788e-01 2.02020202e-02 -2.45153982e-01 -2.45153847e-01 1.34850730e-07
7.97979798e-01 2.02020202e-02 -2.51147425e-01 -2.51147286e-01 1.38147506e-07
8.08080808e-01 2.02020202e-02 -2.56887983e-01 -2.56887841e-01 1.41305180e-07
8.18181818e-01 2.02020202e-02 -2.62369877e-01 -2.62369732e-01 1.44320571e-07
8.28282828e-01 2.02020202e-02 -2.67587586e-01 -2.67587439e-01 1.47190643e-07
8.38383838e-01 2.02020202e-02 -2.72535858e-01 -2.72535708e-01 1.49912507e-07
8.48484848e-01 2.02020202e-02 -2.77209709e-01 -2.77209557e-01 1.52483422e-07
8.58585859e-01 2.02020202e-02 -2.81604433e-01 -2.81604279e-01 1.54900799e-07
8.68686869e-01 2.02020202e-02 -2.85715606e-01 -2.85715449e-01 1.57162203e-07
8.78787879e-01 2.02020202e-02 -2.89539087e-01 -2.89538928e-01 1.59265359e-07
8.88888889e-01 2.02020202e-02 -2.93071027e-01 -2.93070866e-01 1.61208149e-07
8.98989899e-01 2.02020202e-02 -2.96307869e-01 -2.96307706e-01 1.62988615e-07
9.09090909e-01 2.02020202e-02 -2.99246355e-01 -2.99246190e-01 1.64604965e-07
9.19191919e-01 2.02020202e-02 -3.01883524e-01 -3.01883358e-01 1.66055572e-07
9.29292929e-01 2.02020202e-02 -3.04216723e-01 -3.04216556e-01 1.67338967e-07
9.39393939e-01 2.02020202e-02 -3.06243601e-01 -3.06243432e-01 1.68453765e-07
9.49494949e-01 2.02020202e-02 -3.07962118e-01 -3.07961948e-01 1.69397717e-07
9.59595960e-01 2.02020202e-02 -3.09370543e-01 -3.09370372e-01 1.70164625e-07
9.69696970e-01 2.02020202e-02 -3.10467457e-01 -3.10467287e-01 1.70652921e-07
9.79797980e-01 2.02020202e-02 -3.11251757e-01 -3.11251587e-01 1.69520006e-07
9.89898990e-01 2.02020202e-02 -3.11722635e-01 -3.11722483e-01 1.52121993e-07
1.00000000e+00 2.02020202e-02 -3.11879501e-01 -3.11879501e-01 0.00000000e+00
0.00000000e+00 3.03030303e-02 4.58000452e-01 4.58000452e-01 0.00000000e+00
1.01010101e-02 3.03030303e-02 4.57770091e-01 4.57769868e-01 2.23395747e-07
2.02020202e-02 3.03030303e-02 4.57078598e-01 4.57078349e-01 2.48945247e-07
