# t = 1.00000000e-02, y = 5.00000000e-01
# x phi_numerical phi_analytical
0.00000000e+00 9.99475753e-01 9.99506642e-01
1.00100100e-03 9.99470814e-01 9.99501699e-01
2.00200200e-03 9.99455991e-01 9.99486873e-01
3.00300300e-03 9.99431284e-01 9.99462162e-01
4.00400400e-03 9.99396692e-01 9.99427567e-01
5.00500501e-03 9.99352216e-01 9.99383088e-01
6.00600601e-03 9.99297858e-01 9.99328726e-01
7.00700701e-03 9.99233616e-01 9.99264481e-01
8.00800801e-03 9.99159492e-01 9.99190354e-01
9.00900901e-03 9.99075487e-01 9.99106346e-01
1.00100100e-02 9.98981602e-01 9.99012458e-01
1.10110110e-02 9.98877837e-01 9.98908689e-01
1.20120120e-02 9.98764194e-01 9.98795042e-01
1.30130130e-02 9.98640674e-01 9.98671518e-01
1.40140140e-02 9.98507278e-01 9.98538118e-01
1.50150150e-02 9.98364007e-01 9.98394842e-01
1.60160160e-02 9.98210863e-01 9.98241693e-01
1.70170170e-02 9.98047847e-01 9.98078672e-01
1.80180180e-02 9.97874961e-01 9.97905781e-01
1.90190190e-02 9.97692207e-01 9.97723021e-01
2.00200200e-02 9.97499586e-01 9.97530394e-01
2.10210210e-02 9.97297100e-01 9.97327903e-01
2.20220220e-02 9.97084752e-01 9.97115548e-01
2.30230230e-02 9.96862544e-01 9.96893332e-01
2.40240240e-02 9.96630477e-01 9.96661258e-01
2.50250250e-02 9.96388554e-01 9.96419328e-01
2.60260260e-02 9.96136777e-01 9.96167543e-01
2.70270270e-02 9.95875149e-01 9.95905907e-01
2.80280280e-02 9.95603673e-01 9.95634423e-01
2.90290290e-02 9.95322351e-01 9.95353092e-01
3.00300300e-02 9.95031185e-01 9.95061917e-01
3.10310310e-02 9.94730180e-01 9.94760902e-01
3.20320320e-02 9.94419337e-01 9.94450050e-01
3.30330330e-02 9.94098660e-01 9.94129363e-01
3.40340340e-02 9.93768152e-01 9.93798845e-01
3.50350350e-02 9.93427816e-01 9.93458498e-01
3.60360360e-02 9.93077656e-01 9.93108327e-01
3.70370370e-02 9.92717675e-01 9.92748335e-01
3.80380380e-02 9.92347876e-01 9.92378525e-01
3.90390390e-02 9.91968264e-01 9.91998902e-01
4.00400400e-02 9.91578842e-01 9.91609467e-01
4.10410410e-02 9.91179614e-01 9.91210227e-01
4.20420420e-02 9.90770584e-01 9.90801184e-01
4.30430430e-02 9.90351755e-01 9.90382343e-01
4.40440440e-02 9.89923133e-01 9.89953707e-01
4.50450450e-02 9.89484721e-01 9.89515282e-01
4.60460460e-02 9.89036523e-01 9.89067070e-01
4.70470470e-02 9.88578545e-01 9.88609078e-01
4.80480480e-02 9.88110790e-01 9.88141309e-01
4.90490490e-02 9.87633264e-01 9.87663767e-01
5.00500501e-02 9.87145970e-01 9.87176459e-01
5.10510511e-02 9.86648914e-01 9.86679388e-01
5.20520521e-02 9.86142101e-01 9.86172559e-01
5.30530531e-02 9.85625536e-01 9.85655977e-01
5.40540541e-02 9.85099223e-01 9.85129648e-01
5.50550551e-02 9.84563168e-01 9.84593577e-01
5.60560561e-02 9.84017377e-01 9.84047769e-01
5.70570571e-02 9.83461854e-01 9.83492229e-01
5.80580581e-02 9.82896606e-01 9.82926963e-01
5.90590591e-02 9.82321637e-01 9.82351976e-01
6.00600601e-02 9.81736954e-01 9.81767275e-01
