# t = 8.640000e+05 s = 1.000000e+01 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.519875e+07 1.500000e+02
5.050505e+00 1.509662e+07 1.489920e+02
1.010101e+01 1.499447e+07 1.479839e+02
1.515152e+01 1.489232e+07 1.469758e+02
2.020202e+01 1.479016e+07 1.459675e+02
2.525253e+01 1.468799e+07 1.449592e+02
3.030303e+01 1.458582e+07 1.439509e+02
3.535354e+01 1.448364e+07 1.429425e+02
4.040404e+01 1.438146e+07 1.419340e+02
4.545455e+01 1.427928e+07 1.409256e+02
5.050505e+01 1.417710e+07 1.399171e+02
5.555556e+01 1.407491e+07 1.389086e+02
6.060606e+01 1.397272e+07 1.379001e+02
6.565657e+01 1.387054e+07 1.368916e+02
7.070707e+01 1.376835e+07 1.358831e+02
7.575758e+01 1.366617e+07 1.348746e+02
8.080808e+01 1.356399e+07 1.338662e+02
8.585859e+01 1.346181e+07 1.328577e+02
9.090909e+01 1.335963e+07 1.318493e+02
9.595960e+01 1.325746e+07 1.308410e+02
1.010101e+02 1.315530e+07 1.298327e+02
1.060606e+02 1.305313e+07 1.288244e+02
1.111111e+02 1.295097e+07 1.278162e+02
1.161616e+02 1.284882e+07 1.268080e+02
1.212121e+02 1.274667e+07 1.257999e+02
1.262626e+02 1.264453e+07 1.247918e+02
1.313131e+02 1.254239e+07 1.237838e+02
1.363636e+02 1.244026e+07 1.227759e+02
1.414141e+02 1.233814e+07 1.217680e+02
1.464646e+02 1.223602e+07 1.207601e+02
1.515152e+02 1.213390e+07 1.197523e+02
1.565657e+02 1.203179e+07 1.187445e+02
1.616162e+02 1.192969e+07 1.177368e+02
1.666667e+02 1.182758e+07 1.167292e+02
1.717172e+02 1.172549e+07 1.157215e+02
1.767677e+02 1.162339e+07 1.147140e+02
1.818182e+02 1.152130e+07 1.137064e+02
1.868687e+02 1.141921e+07 1.126989e+02
1.919192e+02 1.131712e+07 1.116913e+02
1.969697e+02 1.121504e+07 1.106838e+02
2.020202e+02 1.111295e+07 1.096763e+02
2.070707e+02 1.101087e+07 1.086688e+02
2.121212e+02 1.090878e+07 1.076613e+02
2.171717e+02 1.080670e+07 1.066538e+02
2.222222e+02 1.070461e+07 1.056462e+02
2.272727e+02 1.060251e+07 1.046387e+02
2.323232e+02 1.050041e+07 1.036310e+02
2.373737e+02 1.039831e+07 1.026234e+02
2.424242e+02 1.029620e+07 1.016156e+02
2.474747e+02 1.019409e+07 1.006078e+02
2.525253e+02 1.009197e+07 9.959997e+01
2.575758e+02 9.989835e+06 9.859201e+01
2.626263e+02 9.887695e+06 9.758396e+01
2.676768e+02 9.785544e+06 9.657581e+01
2.727273e+02 9.683382e+06 9.556755e+01
2.777778e+02 9.581207e+06 9.455916e+01
2.828283e+02 9.479020e+06 9.355065e+01
2.878788e+02 9.376818e+06 9.254200e+01
2.929293e+02 9.274602e+06 9.153321e+01
2.979798e+02 9.172371e+06 9.052426e+01
3.030303e+02 9.070123e+06 8.951515e+01
3.080808e+02 8.967858e+06 8.850587e+01
3.131313e+02 8.865575e+06 8.749642e+01
3.181818e+02 8.763273e+06 8.648678e+01
3.232323e+02 8.660953e+06 8.547696e+01
3.282828e+02 8.558612e+06 8.446694e+01
3.333333e+02 8.456252e+06 8.345672e+01
3.383838e+02 8.353870e+06 8.244629e+01
3.434343e+02 8.251467e+06 8.143565e+01
3.484848e+02 8.149042e+06 8.042480e+01
3.535354e+02 8.046596e+06 7.941372e+01
3.585859e+02 7.944126e+06 7.840243e+01
3.636364e+02 7.841634e+06 7.739091e+01
3.686869e+02 7.739119e+06 7.637917e+01
3.737374e+02 7.636581e+06 7.536720e+01
3.787879e+02 7.534020e+06 7.435499e+01
3.838384e+02 7.431435e+06 7.334256e+01
3.888889e+02 7.328828e+06 7.232990e+01
3.939394e+02 7.226197e+06 7.131701e+01
3.989899e+02 7.123543e+06 7.030390e+01
4.040404e+02 7.020866e+06 6.929056e+01
4.090909e+02 6.918166e+06 6.827699e+01
4.141414e+02 6.815444e+06 6.726321e+01
4.191919e+02 6.712700e+06 6.624920e+01
4.242424e+02 6.609935e+06 6.523499e+01
4.292929e+02 6.507148e+06 6.422056e+01
4.343434e+02 6.404341e+06 6.320593e+01
4.393939e+02 6.301513e+06 6.219110e+01
4.444444e+02 6.198666e+06 6.117608e+01
4.494949e+02 6.095800e+06 6.016087e+01
4.545455e+02 5.992915e+06 5.914548e+01
4.595960e+02 5.890013e+06 5.812991e+01
4.646465e+02 5.787094e+06 5.711418e+01
4.696970e+02 5.684159e+06 5.609828e+01
4.747475e+02 5.581208e+06 5.508224e+01
4.797980e+02 5.478242e+06 5.406605e+01
4.848485e+02 5.375263e+06 5.304972e+01
4.898990e+02 5.272271e+06 5.203327e+01
4.949495e+02 5.169266e+06 5.101669e+01
5.000000e+02 5.066250e+06 5.000000e+01
