# t = 8.640000e+04 s = 1.000000e+00 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.519875e+07 1.500000e+02
5.050505e+00 1.497789e+07 1.478202e+02
1.010101e+01 1.475766e+07 1.456467e+02
1.515152e+01 1.453874e+07 1.434862e+02
2.020202e+01 1.432179e+07 1.413451e+02
2.525253e+01 1.410747e+07 1.392299e+02
3.030303e+01 1.389639e+07 1.371467e+02
3.535354e+01 1.368914e+07 1.351013e+02
4.040404e+01 1.348628e+07 1.330993e+02
4.545455e+01 1.328833e+07 1.311456e+02
5.050505e+01 1.309575e+07 1.292450e+02
5.555556e+01 1.290897e+07 1.274017e+02
6.060606e+01 1.272837e+07 1.256193e+02
6.565657e+01 1.255427e+07 1.239010e+02
7.070707e+01 1.238694e+07 1.222496e+02
7.575758e+01 1.222659e+07 1.206671e+02
8.080808e+01 1.207340e+07 1.191552e+02
8.585859e+01 1.192746e+07 1.177149e+02
9.090909e+01 1.178886e+07 1.163470e+02
9.595960e+01 1.165759e+07 1.150515e+02
1.010101e+02 1.153364e+07 1.138281e+02
1.060606e+02 1.141692e+07 1.126762e+02
1.111111e+02 1.130732e+07 1.115946e+02
1.161616e+02 1.120471e+07 1.105818e+02
1.212121e+02 1.110888e+07 1.096362e+02
1.262626e+02 1.101965e+07 1.087555e+02
1.313131e+02 1.093678e+07 1.079376e+02
1.363636e+02 1.086001e+07 1.071800e+02
1.414141e+02 1.078908e+07 1.064799e+02
1.464646e+02 1.072370e+07 1.058347e+02
1.515152e+02 1.066359e+07 1.052414e+02
1.565657e+02 1.060844e+07 1.046972e+02
1.616162e+02 1.055796e+07 1.041990e+02
1.666667e+02 1.051184e+07 1.037438e+02
1.717172e+02 1.046979e+07 1.033288e+02
1.767677e+02 1.043149e+07 1.029508e+02
1.818182e+02 1.039667e+07 1.026071e+02
1.868687e+02 1.036502e+07 1.022948e+02
1.919192e+02 1.033628e+07 1.020112e+02
1.969697e+02 1.031017e+07 1.017534e+02
2.020202e+02 1.028641e+07 1.015190e+02
2.070707e+02 1.026477e+07 1.013054e+02
2.121212e+02 1.024499e+07 1.011102e+02
2.171717e+02 1.022682e+07 1.009309e+02
2.222222e+02 1.021005e+07 1.007653e+02
2.272727e+02 1.019443e+07 1.006112e+02
2.323232e+02 1.017976e+07 1.004664e+02
2.373737e+02 1.016582e+07 1.003288e+02
2.424242e+02 1.015240e+07 1.001964e+02
2.474747e+02 1.013929e+07 1.000670e+02
2.525253e+02 1.012629e+07 9.993867e+01
2.575758e+02 1.011319e+07 9.980941e+01
2.626263e+02 1.009979e+07 9.967718e+01
2.676768e+02 1.008588e+07 9.953993e+01
2.727273e+02 1.007126e+07 9.939562e+01
2.777778e+02 1.005571e+07 9.924212e+01
2.828283e+02 1.003901e+07 9.907729e+01
2.878788e+02 1.002093e+07 9.889890e+01
2.929293e+02 1.000125e+07 9.870467e+01
2.979798e+02 9.979727e+06 9.849225e+01
3.030303e+02 9.956112e+06 9.825919e+01
3.080808e+02 9.930152e+06 9.800298e+01
3.131313e+02 9.901581e+06 9.772101e+01
3.181818e+02 9.870130e+06 9.741061e+01
3.232323e+02 9.835516e+06 9.706900e+01
3.282828e+02 9.797455e+06 9.669337e+01
3.333333e+02 9.755653e+06 9.628081e+01
3.383838e+02 9.709811e+06 9.582838e+01
3.434343e+02 9.659629e+06 9.533312e+01
3.484848e+02 9.604803e+06 9.479203e+01
3.535354e+02 9.545031e+06 9.420213e+01
3.585859e+02 9.480015e+06 9.356048e+01
3.636364e+02 9.409462e+06 9.286417e+01
3.686869e+02 9.333088e+06 9.211041e+01
3.737374e+02 9.250621e+06 9.129653e+01
3.787879e+02 9.161806e+06 9.041999e+01
3.838384e+02 9.066406e+06 8.947848e+01
3.888889e+02 8.964210e+06 8.846988e+01
3.939394e+02 8.855032e+06 8.739237e+01
3.989899e+02 8.738717e+06 8.624443e+01
4.040404e+02 8.615145e+06 8.502487e+01
4.090909e+02 8.484235e+06 8.373289e+01
4.141414e+02 8.345947e+06 8.236810e+01
4.191919e+02 8.200288e+06 8.093055e+01
4.242424e+02 8.047309e+06 7.942076e+01
4.292929e+02 7.887113e+06 7.783975e+01
4.343434e+02 7.719856e+06 7.618905e+01
4.393939e+02 7.545744e+06 7.447070e+01
4.444444e+02 7.365039e+06 7.268728e+01
4.494949e+02 7.178054e+06 7.084189e+01
4.545455e+02 6.985157e+06 6.893814e+01
4.595960e+02 6.786766e+06 6.698017e+01
4.646465e+02 6.583345e+06 6.497257e+01
4.696970e+02 6.375408e+06 6.292038e+01
4.747475e+02 6.163507e+06 6.082909e+01
4.797980e+02 5.948234e+06 5.870451e+01
4.848485e+02 5.730212e+06 5.655280e+01
4.898990e+02 5.510091e+06 5.438037e+01
4.949495e+02 5.288542e+06 5.219385e+01
5.000000e+02 5.066250e+06 5.000000e+01
