# t = 4.320000e+04 s = 5.000000e-01 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.519875e+07 1.500000e+02
5.050505e+00 1.488139e+07 1.468679e+02
1.010101e+01 1.456603e+07 1.437555e+02
1.515152e+01 1.425472e+07 1.406832e+02
2.020202e+01 1.394944e+07 1.376703e+02
2.525253e+01 1.365203e+07 1.347351e+02
3.030303e+01 1.336418e+07 1.318942e+02
3.535354e+01 1.308736e+07 1.291622e+02
4.040404e+01 1.282286e+07 1.265518e+02
4.545455e+01 1.257171e+07 1.240731e+02
5.050505e+01 1.233471e+07 1.217342e+02
5.555556e+01 1.211244e+07 1.195405e+02
6.060606e+01 1.190522e+07 1.174953e+02
6.565657e+01 1.171316e+07 1.155999e+02
7.070707e+01 1.153617e+07 1.138532e+02
7.575758e+01 1.137400e+07 1.122527e+02
8.080808e+01 1.122621e+07 1.107941e+02
8.585859e+01 1.109226e+07 1.094721e+02
9.090909e+01 1.097147e+07 1.082800e+02
9.595960e+01 1.086312e+07 1.072106e+02
1.010101e+02 1.076640e+07 1.062561e+02
1.060606e+02 1.068048e+07 1.054081e+02
1.111111e+02 1.060451e+07 1.046584e+02
1.161616e+02 1.053766e+07 1.039986e+02
1.212121e+02 1.047908e+07 1.034205e+02
1.262626e+02 1.042797e+07 1.029161e+02
1.313131e+02 1.038358e+07 1.024779e+02
1.363636e+02 1.034516e+07 1.020988e+02
1.414141e+02 1.031206e+07 1.017721e+02
1.464646e+02 1.028364e+07 1.014916e+02
1.515152e+02 1.025934e+07 1.012518e+02
1.565657e+02 1.023862e+07 1.010474e+02
1.616162e+02 1.022103e+07 1.008738e+02
1.666667e+02 1.020615e+07 1.007268e+02
1.717172e+02 1.019359e+07 1.006029e+02
1.767677e+02 1.018303e+07 1.004986e+02
1.818182e+02 1.017417e+07 1.004112e+02
1.868687e+02 1.016676e+07 1.003381e+02
1.919192e+02 1.016057e+07 1.002771e+02
1.969697e+02 1.015542e+07 1.002262e+02
2.020202e+02 1.015113e+07 1.001839e+02
2.070707e+02 1.014757e+07 1.001487e+02
2.121212e+02 1.014460e+07 1.001194e+02
2.171717e+02 1.014212e+07 1.000950e+02
2.222222e+02 1.014004e+07 1.000744e+02
2.272727e+02 1.013827e+07 1.000570e+02
2.323232e+02 1.013675e+07 1.000420e+02
2.373737e+02 1.013541e+07 1.000288e+02
2.424242e+02 1.013420e+07 1.000168e+02
2.474747e+02 1.013307e+07 1.000056e+02
2.525253e+02 1.013196e+07 9.999463e+01
2.575758e+02 1.013082e+07 9.998343e+01
2.626263e+02 1.012961e+07 9.997150e+01
2.676768e+02 1.012828e+07 9.995834e+01
2.727273e+02 1.012676e+07 9.994339e+01
2.777778e+02 1.012500e+07 9.992602e+01
2.828283e+02 1.012293e+07 9.990556e+01
2.878788e+02 1.012046e+07 9.988121e+01
2.929293e+02 1.011751e+07 9.985206e+01
2.979798e+02 1.011396e+07 9.981705e+01
3.030303e+02 1.010970e+07 9.977497e+01
3.080808e+02 1.010458e+07 9.972441e+01
3.131313e+02 1.009843e+07 9.966371e+01
3.181818e+02 1.009106e+07 9.959098e+01
3.232323e+02 1.008225e+07 9.950404e+01
3.282828e+02 1.007174e+07 9.940038e+01
3.333333e+02 1.005926e+07 9.927714e+01
3.383838e+02 1.004446e+07 9.913107e+01
3.434343e+02 1.002697e+07 9.895848e+01
3.484848e+02 1.000638e+07 9.875526e+01
3.535354e+02 9.982214e+06 9.851680e+01
3.585859e+02 9.953963e+06 9.823798e+01
3.636364e+02 9.921055e+06 9.791320e+01
3.686869e+02 9.882867e+06 9.753631e+01
3.737374e+02 9.838728e+06 9.710069e+01
3.787879e+02 9.787917e+06 9.659923e+01
3.838384e+02 9.729671e+06 9.602439e+01
3.888889e+02 9.663188e+06 9.536825e+01
3.939394e+02 9.587638e+06 9.462263e+01
3.989899e+02 9.502175e+06 9.377917e+01
4.040404e+02 9.405948e+06 9.282949e+01
4.090909e+02 9.298121e+06 9.176532e+01
4.141414e+02 9.177891e+06 9.057874e+01
4.191919e+02 9.044507e+06 8.926234e+01
4.242424e+02 8.897296e+06 8.780949e+01
4.292929e+02 8.735689e+06 8.621455e+01
4.343434e+02 8.559241e+06 8.447314e+01
4.393939e+02 8.367662e+06 8.258240e+01
4.444444e+02 8.160838e+06 8.054121e+01
4.494949e+02 7.938854e+06 7.835040e+01
4.545455e+02 7.702013e+06 7.601296e+01
4.595960e+02 7.450848e+06 7.353415e+01
4.646465e+02 7.186132e+06 7.092161e+01
4.696970e+02 6.908879e+06 6.818534e+01
4.747475e+02 6.620340e+06 6.533768e+01
4.797980e+02 6.321986e+06 6.239315e+01
4.848485e+02 6.015491e+06 5.936828e+01
4.898990e+02 5.702699e+06 5.628126e+01
4.949495e+02 5.385592e+06 5.315166e+01
5.000000e+02 5.066250e+06 5.000000e+01
