# t = 2.160000e+04 s = 2.500000e-01 days
# x(m) p(Pa) p(atm)
0.000000e+00 1.519875e+07 1.500000e+02
5.050505e+00 1.473485e+07 1.454216e+02
1.010101e+01 1.427785e+07 1.409114e+02
1.515152e+01 1.383450e+07 1.365359e+02
2.020202e+01 1.341077e+07 1.323540e+02
2.525253e+01 1.301159e+07 1.284144e+02
3.030303e+01 1.264070e+07 1.247540e+02
3.535354e+01 1.230058e+07 1.213973e+02
4.040404e+01 1.199252e+07 1.183570e+02
4.545455e+01 1.171673e+07 1.156351e+02
5.050505e+01 1.147252e+07 1.132249e+02
5.555556e+01 1.125847e+07 1.111125e+02
6.060606e+01 1.107267e+07 1.092788e+02
6.565657e+01 1.091282e+07 1.077012e+02
7.070707e+01 1.077645e+07 1.063553e+02
7.575758e+01 1.066103e+07 1.052162e+02
8.080808e+01 1.056406e+07 1.042592e+02
8.585859e+01 1.048315e+07 1.034606e+02
9.090909e+01 1.041607e+07 1.027986e+02
9.595960e+01 1.036081e+07 1.022532e+02
1.010101e+02 1.031553e+07 1.018064e+02
1.060606e+02 1.027865e+07 1.014424e+02
1.111111e+02 1.024874e+07 1.011472e+02
1.161616e+02 1.022462e+07 1.009092e+02
1.212121e+02 1.020525e+07 1.007180e+02
1.262626e+02 1.018976e+07 1.005651e+02
1.313131e+02 1.017742e+07 1.004433e+02
1.363636e+02 1.016763e+07 1.003467e+02
1.414141e+02 1.015990e+07 1.002704e+02
1.464646e+02 1.015381e+07 1.002103e+02
1.515152e+02 1.014903e+07 1.001631e+02
1.565657e+02 1.014528e+07 1.001262e+02
1.616162e+02 1.014237e+07 1.000974e+02
1.666667e+02 1.014009e+07 1.000750e+02
1.717172e+02 1.013833e+07 1.000576e+02
1.767677e+02 1.013697e+07 1.000441e+02
1.818182e+02 1.013592e+07 1.000337e+02
1.868687e+02 1.013511e+07 1.000257e+02
1.919192e+02 1.013449e+07 1.000196e+02
1.969697e+02 1.013401e+07 1.000149e+02
2.020202e+02 1.013364e+07 1.000113e+02
2.070707e+02 1.013336e+07 1.000085e+02
2.121212e+02 1.013315e+07 1.000064e+02
2.171717e+02 1.013299e+07 1.000048e+02
2.222222e+02 1.013286e+07 1.000035e+02
2.272727e+02 1.013276e+07 1.000026e+02
2.323232e+02 1.013268e+07 1.000018e+02
2.373737e+02 1.013262e+07 1.000012e+02
2.424242e+02 1.013257e+07 1.000007e+02
2.474747e+02 1.013252e+07 1.000002e+02
2.525253e+02 1.013248e+07 9.999978e+01
2.575758e+02 1.013243e+07 9.999932e+01
2.626263e+02 1.013238e+07 9.999880e+01
2.676768e+02 1.013232e+07 9.999819e+01
2.727273e+02 1.013224e+07 9.999743e+01
2.777778e+02 1.013214e+07 9.999647e+01
2.828283e+02 1.013202e+07 9.999523e+01
2.878788e+02 1.013185e+07 9.999361e+01
2.929293e+02 1.013164e+07 9.999151e+01
2.979798e+02 1.013136e+07 9.998876e+01
3.030303e+02 1.013100e+07 9.998516e+01
3.080808e+02 1.013052e+07 9.998047e+01
3.131313e+02 1.012990e+07 9.997434e+01
3.181818e+02 1.012909e+07 9.996638e+01
3.232323e+02 1.012804e+07 9.995603e+01
3.282828e+02 1.012669e+07 9.994263e+01
3.333333e+02 1.012493e+07 9.992531e+01
3.383838e+02 1.012267e+07 9.990298e+01
3.434343e+02 1.011976e+07 9.987428e+01
3.484848e+02 1.011603e+07 9.983750e+01
3.535354e+02 1.011127e+07 9.979050e+01
3.585859e+02 1.010521e+07 9.973062e+01
3.636364e+02 1.009750e+07 9.965461e+01
3.686869e+02 1.008776e+07 9.955844e+01
3.737374e+02 1.007548e+07 9.943721e+01
3.787879e+02 1.006005e+07 9.928501e+01
3.838384e+02 1.004077e+07 9.909467e+01
3.888889e+02 1.001675e+07 9.885768e+01
3.939394e+02 9.986992e+06 9.856394e+01
3.989899e+02 9.950278e+06 9.820161e+01
4.040404e+02 9.905221e+06 9.775693e+01
4.090909e+02 9.850222e+06 9.721413e+01
4.141414e+02 9.783469e+06 9.655534e+01
4.191919e+02 9.702944e+06 9.576061e+01
4.242424e+02 9.606428e+06 9.480807e+01
4.292929e+02 9.491540e+06 9.367422e+01
4.343434e+02 9.355781e+06 9.233438e+01
4.393939e+02 9.196607e+06 9.076345e+01
4.444444e+02 9.011530e+06 8.893688e+01
4.494949e+02 8.798241e+06 8.683189e+01
4.545455e+02 8.554766e+06 8.442898e+01
4.595960e+02 8.279639e+06 8.171368e+01
4.646465e+02 7.972095e+06 7.867846e+01
4.696970e+02 7.632258e+06 7.532453e+01
4.747475e+02 7.261321e+06 7.166367e+01
4.797980e+02 6.861669e+06 6.771941e+01
4.848485e+02 6.436949e+06 6.352774e+01
4.898990e+02 5.992032e+06 5.913676e+01
4.949495e+02 5.532874e+06 5.460522e+01
5.000000e+02 5.066250e+06 5.000000e+01
